region_code,region_name,lat,lon
11,Seoul,37.56268,126.98614
26,Busan,35.195715,129.037424
27,Daegu,35.816266,128.570648
28,Incheon,37.571486,125.719533
29,Gwangju,35.156456,126.829818
30,Daejeon,36.351685,127.39413
31,Ulsan,35.520233,129.246048
36,Sejong,36.583068,127.273847
41,Gyeonggi,37.568444,127.15189
42,Gangwon,37.810052,128.225985
43,Chungbuk,36.624647,127.910143
44,Chungnam,36.515249,126.877354
45,Jeonbuk,35.726681,127.053997
46,Jeonnam,34.791916,126.544746
47,Gyeongbuk,36.572759,129.390797
48,Gyeongnam,35.249296,128.409993
50,Jeju,33.600205,126.587274
