region_code,region_name,lat,lon
11,Seoul,37.5665,126.9780
21,Busan,35.1796,129.0756
22,Daegu,35.8714,128.6014
23,Incheon,37.4563,126.7052
24,Gwangju,35.1595,126.8526
25,Daejeon,36.3504,127.3845
26,Ulsan,35.5384,129.3114
29,Sejong,36.4800,127.2890
31,Gyeonggi,37.2636,127.0286
32,Gangwon,37.8228,128.1555
33,Chungbuk,36.6358,127.4913
34,Chungnam,36.6588,126.6728
35,Jeonbuk,35.8242,127.1479
36,Jeonnam,34.8679,126.9910
37,Gyeongbuk,36.5760,128.5056
38,Gyeongnam,35.4606,128.2132
39,Jeju,33.4996,126.5312
