date,region_code,max_temp_c,precipitation_mm
2021-01-01,11,-0.8,0.0
2021-01-02,11,-2.8,0.0
2021-01-03,11,-2.2,0.0
2021-01-04,11,0.5,0.2
2021-01-05,11,-3.0,0.0
2021-01-06,11,-3.8,1.0
2021-01-07,11,-7.9,0.1
2021-01-08,11,-12.1,0.0
2021-01-09,11,-8.6,0.0
2021-01-10,11,-3.5,0.0
2021-01-11,11,-3.5,0.0
2021-01-12,11,1.3,0.8
2021-01-13,11,7.8,0.3
2021-01-14,11,6.3,0.0
2021-01-15,11,8.2,2.0
2021-01-16,11,-2.3,0.0
2021-01-17,11,-2.6,0.0
2021-01-18,11,0.2,1.0
2021-01-19,11,-3.3,0.0
2021-01-20,11,6.4,0.0
2021-01-21,11,4.8,8.4
2021-01-22,11,8.1,0.0
2021-01-23,11,8.4,0.0
2021-01-24,11,10.9,0.0
2021-01-25,11,11.1,0.0
2021-01-26,11,7.8,0.6
2021-01-27,11,4.9,0.0
2021-01-28,11,1.5,1.7
2021-01-29,11,-5.1,0.0
2021-01-30,11,5.2,0.6
2021-01-31,11,9.8,0.0
2021-02-01,11,8.7,5.8
2021-02-02,11,-3.8,0.0
2021-02-03,11,1.1,2.8
2021-02-04,11,0.2,1.2
2021-02-05,11,6.3,0.0
2021-02-06,11,9.9,0.0
2021-02-07,11,6.8,0.0
2021-02-08,11,-1.0,0.0
2021-02-09,11,2.9,0.0
2021-02-10,11,7.1,0.0
2021-02-11,11,8.3,0.0
2021-02-12,11,11.8,0.0
2021-02-13,11,13.1,0.0
2021-02-14,11,13.2,0.0
2021-02-15,11,4.8,0.2
2021-02-16,11,-2.5,1.6
2021-02-17,11,-5.8,0.0
2021-02-18,11,-0.6,0.0
2021-02-19,11,8.1,0.0
2021-02-20,11,12.0,0.0
2021-02-21,11,16.0,0.0
2021-02-22,11,11.0,0.0
2021-02-23,11,3.3,0.0
2021-02-24,11,7.3,0.0
2021-02-25,11,6.4,0.0
2021-02-26,11,13.2,0.0
2021-02-27,11,13.1,0.0
