gemeentenaam,gemeentecode,mate_van_stedelijkheid,omgevingsadressendichtheid
Aa en Hunze,GM1680,5,283
Aalsmeer,GM0358,4,940
Aalten,GM0197,4,778
Achtkarspelen,GM0059,5,434
Alblasserdam,GM0482,2,1527
Albrandswaard,GM0613,3,1044
Alkmaar,GM0361,2,2314
Almelo,GM0141,2,1604
Almere,GM0034,2,1620
Alphen aan den Rijn,GM0484,2,1884
Alphen-Chaam,GM1723,5,324
Altena,GM1959,4,508
Ameland,GM0060,5,260
Amersfoort,GM0307,2,2378
Amstelveen,GM0362,1,2509
Amsterdam,GM0363,1,6142
Apeldoorn,GM0200,2,1776
Arnhem,GM0202,2,2284
Assen,GM0106,2,1588
Asten,GM0743,3,1000
Baarle-Nassau,GM0744,5,353
Baarn,GM0308,2,1624
Barendrecht,GM0489,2,1680
Barneveld,GM0203,4,889
Beek,GM0888,4,892
Beekdaelen,GM1954,4,500
Beesel,GM0889,4,758
Berg en Dal,GM1945,4,651
Bergeijk,GM1724,4,511
Bergen (L.),GM0893,5,318
Bergen (NH.),GM0373,4,821
Bergen op Zoom,GM0748,2,1860
Berkelland,GM1859,4,657
Bernheze,GM1721,4,692
Best,GM0753,3,1452
Beuningen,GM0209,3,1006
Beverwijk,GM0375,1,2753
De Bilt,GM0310,3,1277
Bladel,GM1728,4,698
Blaricum,GM0376,3,1088
Bloemendaal,GM0377,3,1091
Bodegraven-Reeuwijk,GM1901,3,1150
Boekel,GM0755,4,560
Borger-Odoorn,GM1681,5,262
Borne,GM0147,3,1247
Borsele,GM0654,5,323
Boxtel,GM0757,3,1168
Breda,GM0758,2,2219
Brielle,GM0501,4,911
Bronckhorst,GM1876,5,381
Brummen,GM0213,4,781
Brunssum,GM0899,2,1669
Bunnik,GM0312,4,677
Bunschoten,GM0313,3,1202
Buren,GM0214,5,294
Capelle aan den IJssel,GM0502,2,2324
Castricum,GM0383,3,1349
Coevorden,GM0109,4,502
Cranendonck,GM1706,4,597
Culemborg,GM0216,3,1482
Dalfsen,GM0148,4,514
Dantumadiel,GM1891,5,458
Delft,GM0503,1,3606
Deurne,GM0762,4,898
Deventer,GM0150,2,1836
Diemen,GM0384,1,2907
Dijk en Waard,GM1980,3,1449
Dinkelland,GM1774,5,472
Doesburg,GM0221,4,797
Doetinchem,GM0222,3,1166
Dongen,GM0766,3,1235
Dordrecht,GM0505,1,2526
Drechterland,GM0498,4,508
Drimmelen,GM1719,4,795
Dronten,GM0303,4,781
Druten,GM0225,4,810
Duiven,GM0226,3,1158
Echt-Susteren,GM1711,4,716
Edam-Volendam,GM0385,3,1320
Ede,GM0228,2,1581
Eemnes,GM0317,4,960
Eemsdelta,GM1979,4,706
Eersel,GM0770,4,586
Eijsden-Margraten,GM1903,5,467
Eindhoven,GM0772,1,2766
Elburg,GM0230,4,687
Emmen,GM0114,4,861
Enkhuizen,GM0388,3,1384
Enschede,GM0153,2,2200
Epe,GM0232,4,732
Ermelo,GM0233,4,921
Etten-Leur,GM0777,2,1675
De Fryske Marren,GM1940,4,557
Geertruidenberg,GM0779,3,1115
Geldrop-Mierlo,GM1771,3,1372
Gemert-Bakel,GM1652,4,792
Gennep,GM0907,4,651
Gilze en Rijen,GM0784,3,1091
Goeree-Overflakkee,GM1924,4,632
Goes,GM0664,3,1366
Goirle,GM0785,3,1188
Gooise Meren,GM1942,2,1908
Gorinchem,GM0512,2,1739
Gouda,GM0513,1,2549
's-Gravenhage,GM0518,1,5016
Groningen,GM0014,1,3373
Gulpen-Wittem,GM1729,5,285
Haaksbergen,GM0158,3,1042
Haarlem,GM0392,1,3611
Haarlemmermeer,GM0394,2,1528
Halderberge,GM1655,4,760
Hardenberg,GM0160,4,568
Harderwijk,GM0243,2,1567
Hardinxveld-Giessendam,GM0523,4,987
Harlingen,GM0072,3,1068
Hattem,GM0244,4,849
Heemskerk,GM0396,2,2352
Heemstede,GM0397,2,1782
Heerde,GM0246,4,625
Heerenveen,GM0074,3,1092
Heerlen,GM0917,2,1830
Heeze-Leende,GM1658,4,585
Heiloo,GM0399,3,1376
Den Helder,GM0400,2,1692
Hellendoorn,GM0163,4,825
Hellevoetsluis,GM0530,2,1528
Helmond,GM0794,2,1811
Hendrik-Ido-Ambacht,GM0531,2,1862
Hengelo,GM0164,2,1860
's-Hertogenbosch,GM0796,2,1998
Heumen,GM0252,4,797
Heusden,GM0797,3,1108
Hillegom,GM0534,2,1580
Hilvarenbeek,GM0798,4,593
Hilversum,GM0402,1,2781
Hoeksche Waard,GM1963,4,834
Hof van Twente,GM1735,4,608
Het Hogeland,GM1966,5,415
Hollands Kroon,GM1911,5,439
Hoogeveen,GM0118,3,1222
Hoorn,GM0405,2,1709
Horst aan de Maas,GM1507,4,576
