shid,spid,stid,ssid,sidp,sidn,syearid,spidno,stseqno,sseqno,shaboro,shiwt,spiwt,shiwtwkd,spiwtwkd,shiwtttwkd,spiwtttwkd,spiwtlul,smode,samode,semode,swalkdur,sbchs,sinttype,srdsht,srdshtp,srsdiffmode,sociox,socioxb,soaboro,sofarezn,soccz,sdciox,sdcioxb,sdaboro,sdfarezn,sdccz,sodcioxba1,sodcioxba2,slen100m,sdur5,sspeed5,staxib
19027221,800001,190272210101,19027221010101,-1,-1,19,1,1,1,16,484.8415943,474.6804417,642.4218433,595.2932511,1238.80482,932.7666664,0,3,-1,-1,-1,-1,11,-1,-1,-1,3,3,16,0,0,3,3,18,0,0,4,8,2.0999999,10,10,-1
19027221,800001,190272210102,19027221010201,-1,-1,19,1,2,1,16,484.8415943,474.6804417,642.4218433,595.2932511,1238.80482,932.7666664,0,3,-1,-1,-1,-1,11,-1,-1,-1,3,3,18,0,0,3,3,16,0,0,4,8,2.0999999,10,10,-1
19027221,800001,190272210103,19027221010301,-1,-1,19,1,3,1,16,484.8415943,474.6804417,642.4218433,595.2932511,1238.80482,932.7666664,0,3,-1,-1,-1,-1,11,-1,-1,-1,3,3,16,0,0,3,3,16,0,0,4,8,0.5,5,5,-1
19027221,800001,190272210104,19027221010401,-1,-1,19,1,4,1,16,484.8415943,474.6804417,642.4218433,595.2932511,1238.80482,932.7666664,0,3,-1,-1,-1,-1,11,-1,-1,-1,3,3,16,0,0,3,3,16,0,0,4,8,0.5,5,0,-1
19027221,800002,190272210201,19027221020101,-1,19027221020102,19,2,1,1,16,484.8415943,531.4293845,642.4218433,703.6532317,1238.80482,1441.238984,0,1,-1,19,10,-1,4,-1,-1,-1,3,3,16,0,0,3,3,16,0,0,4,8,0.40000001,5,0,-1
19027221,800002,190272210201,19027221020102,19027221020101,19027221020103,19,2,1,2,16,484.8415943,531.4293845,642.4218433,703.6532317,1238.80482,1441.238984,0,19,1,1,-1,-1,4,-1,-1,-1,3,3,16,0,0,1,1,2,0,0,5,1,14.9,35,20,-1
19027221,800002,190272210201,19027221020103,19027221020102,-1,19,2,1,3,16,484.8415943,531.4293845,642.4218433,703.6532317,1238.80482,1441.238984,0,1,19,-1,10,-1,11,-1,-1,-1,1,1,2,0,0,1,1,2,0,0,1,4,0.2,5,0,-1
19027221,800002,190272210202,19027221020201,-1,19027221020202,19,2,2,1,16,484.8415943,531.4293845,642.4218433,703.6532317,1238.80482,1441.238984,0,1,-1,19,10,-1,4,-1,-1,-1,1,1,2,0,0,1,1,2,0,0,1,4,0.2,5,0,-1
19027221,800002,190272210202,19027221020202,19027221020201,19027221020203,19,2,2,2,16,484.8415943,531.4293845,642.4218433,703.6532317,1238.80482,1441.238984,0,19,1,1,-1,-1,4,-1,-1,-1,1,1,2,0,0,3,3,16,0,0,5,6,14.9,35,20,-1
19027221,800002,190272210202,19027221020203,19027221020202,19027221020204,19,2,2,3,16,484.8415943,531.4293845,642.4218433,703.6532317,1238.80482,1441.238984,0,1,19,4,0,-1,1,-1,-1,-1,3,3,16,0,0,3,3,16,0,0,4,8,0.0,0,0,-1
