thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,tt1fhm,twalkatw,tcycatw,thmmode,tppw,tcmode,tsdaddr,toland,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtoth,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,tjpurp,tdpurp,tdbmmode,topurp
900002,800003,190760310103,190760310102,190760310104,19,2,19,268.016258,270.2355085,0.0,0.0,0.0,0.0,-1,2,2,3,1,13,4,5,9,10,2,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,7,-1,-1,3,3,19,0,0,4,5,52,0,0,7,9,45,20.0,30,0,0,0,0,0,0,0,05 Leisure,05 Leisure,06 Car (+van/lorry) driver,04 Shopping and personal business
900002,800004,190760310203,190760310202,-1,19,2,19,268.016258,292.4619873,0.0,0.0,0.0,0.0,-1,2,2,3,1,13,1,5,9,10,2,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,7,-1,-1,3,3,19,0,0,3,3,19,0,0,4,8,20,4.0,10,0,0,0,0,0,0,0,04 Shopping and personal business,07 Home,06 Car (+van/lorry) driver,04 Shopping and personal business
900003,800008,192172010203,192172010202,192172010204,19,2,5,905.1347969,952.3870752,1183.17314,1193.385169,1566.51859,1598.15445,-1,2,2,13,2,10,1,6,11,11,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,6,0,0,2,2,5,0,0,3,5,40,6.0,5,0,0,0,0,0,0,0,02 Other work related,07 Home,03 Bus (+sch/ wk bus/coach & tram),02 Other work related
900003,800009,192172010302,192172010301,-1,19,2,5,905.1347969,789.0636926,1183.17314,1037.767396,1566.51859,1512.132796,-1,2,2,13,2,11,3,1,3,3,6,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,5,0,0,1,1,2,0,0,3,2,45,7.0,5,0,0,0,0,0,0,0,01 Usual workplace,01 Usual workplace,03 Bus (+sch/ wk bus/coach & tram),07 Home
900001,800001,190272210101,-1,190272210102,19,1,16,484.8415943,474.6804417,642.4218433,595.2932511,1238.80482,932.7666664,1,2,2,3,1,13,4,-1,12,12,3,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,5,-1,-1,3,3,16,0,0,3,3,18,0,0,4,8,10,2.0,10,0,0,0,0,0,0,0,04 Shopping and personal business,04 Shopping and personal business,06 Car (+van/lorry) driver,07 Home
900001,800001,190272210102,190272210101,190272210103,19,1,16,484.8415943,474.6804417,642.4218433,595.2932511,1238.80482,932.7666664,-1,2,2,3,1,13,1,5,14,14,3,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,7,-1,-1,3,3,18,0,0,3,3,16,0,0,4,8,10,2.0,10,0,0,0,0,0,0,0,04 Shopping and personal business,07 Home,06 Car (+van/lorry) driver,04 Shopping and personal business
900001,800001,190272210103,190272210102,190272210104,19,1,16,484.8415943,474.6804417,642.4218433,595.2932511,1238.80482,932.7666664,-1,2,2,3,1,13,4,1,17,17,4,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,8,-1,-1,3,3,16,0,0,3,3,16,0,0,4,8,5,0.5,5,0,0,0,0,0,0,0,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),06 Car (+van/lorry) driver,07 Home
900001,800001,190272210104,190272210103,-1,19,1,16,484.8415943,474.6804417,642.4218433,595.2932511,1238.80482,932.7666664,-1,2,2,3,1,13,1,11,17,17,4,0,1,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,7,-1,-1,3,3,16,0,0,3,3,16,0,0,4,8,5,0.5,0,0,0,0,0,0,0,0,06 Other (inc Escort/ Worship),07 Home,06 Car (+van/lorry) driver,06 Other (inc Escort/ Worship)
900001,800002,190272210201,-1,190272210202,19,2,16,484.8415943,531.4293845,642.4218433,703.6532317,1238.80482,1441.238984,1,2,2,19,2,1,3,-1,7,7,2,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,3,3,16,0,0,1,1,2,0,0,5,1,50,10.0,15,0,0,0,0,0,0,0,01 Usual workplace,01 Usual workplace,01 National Rail/ Overground,07 Home
900001,800002,190272210202,190272210201,-1,19,3,16,484.8415943,531.4293845,642.4218433,703.6532317,1238.80482,1441.238984,-1,2,2,19,2,1,1,2,17,17,4,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,1,1,2,0,0,3,3,16,0,0,5,6,45,10.0,20,0,0,0,0,0,0,0,01 Usual workplace,07 Home,01 National Rail/ Overground,01 Usual workplace
900002,800003,190760310101,-1,190760310102,19,1,19,268.016258,270.2355085,0.0,0.0,0.0,0.0,1,2,2,3,1,13,4,-1,7,7,2,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,5,-1,-1,3,3,19,0,0,3,3,19,0,0,4,8,15,5.0,20,0,0,0,0,0,0,0,04 Shopping and personal business,04 Shopping and personal business,06 Car (+van/lorry) driver,07 Home
