phid,ppid,pdlcar,pdlmc,ppdlcar,ppdlmc,pdlpsv,pdlhgv,pdlnone,pltd,pcarclub,peurdsh,ppoap,ppstaff,ppnofre,pfrbus,pfrtura,predbus,predtura,pnopass,ppoyster,pbppay,ptcpay,pssspay,ppopmbus,ppopmtc,ppopmsss,ppopmnone,ppkncp,ppkboro,ppkoth,ppknone,pncpcost,pborodcost,pothcost,pncppay,pboropay,pbluepay,pothpay,pemplos,pmanager,pwknum,pnumemp,psupvise,poccupa,pewdrv,pewu,pewarrs,pewarrw,pewflex,pewshif,psttaddr,ptermt,phomesh,pstfreq,pwscard,pwssvd,pwsmcr,pwscyc,pwscarp,pwssvp,pwsmcp,pwsbus,pwsug,pwsovg,pwsnr,pwsdlr,pwstram,pwstaxi,pwswalk,pwsminicab,pwstflrail,pwsomode,pwsmmode,pwspknr,pwspkv,pwspkvo,pwspkc,pwspkco,pwkyear,pwkmonth,pawfh,pofwk,poftrwk,poftrwkdiff,poftrwkhm,pwrkhomesd,pwhdmon,pwhdtue,pwhdwed,pwhdthu,pwhdfri,pwhdsat,pwhdsun,pwhdref,psechm,ptimead,pborn,pout,prntuw,prnthj,prntlh,prntwfh,prnttwc,prntstdy,prntcare,prntatcw,prntoth,pnotrips,ptmore,pnowktrp,pleavemon,pleavetue,pleavewed,pleavethu,pleavefri,pleavesat,pleavesun,pphysactspt,pphysactwlk,pphysactcyc,pphysactsptmin,pphysactwlkmin,pphysactcycmin,pnocyctrp,pofwk12,poftrwk12,poftrwkdiff12,poftrwkhm12,pdel,pdeltak,pdelgro,pdelclo,pdelbook,pdelelec,pdteltick,pdhhhditap,pdhealth,pdeloth,pdelhom,pdelwork,pdelclck,pdellocoth
900001,800001,1,2,2,2,2,2,1,-1,-1,2,2,2,1,2,2,2,2,2,2,-1,-1,-1,1,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,1,2,-1,2,1,9,1,-1,2,2,2,-1,-1,2,-1,2,2,2,2,2,2,1,2,-1,-1,2,-1,2,-1,2,0,0,2,9,-1,1,-1,-1,-1,-1,-1,4,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,-1,2,-1,2,2,3,-1,1,-1,2,1,2,1,1,2,2,2,-1,-1,-1,,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
900001,800002,2,2,1,2,2,2,1,-1,-1,2,2,2,1,2,2,2,2,1,2,3,-1,-1,1,2,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,2,6,9,1,1,2,2,2,-1,-1,2,-1,2,2,2,2,2,2,2,1,2,-1,1,2,2,2,2,0,2,2,8,-1,-1,-1,-1,-1,1,6,4,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,2,2,-1,1,2,-1,-1,-1,-1,-1,2,3,-1,-1,-1,1,1,1,1,1,2,2,2,-1,-1,-1,,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1
900002,800003,2,2,2,2,2,2,1,-1,2,2,2,2,1,2,2,2,1,1,1,-1,-1,-1,2,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,2,5,9,-1,1,2,2,1,-1,-1,2,-1,2,-1,2,2,2,2,2,-1,2,2,2,2,2,2,2,0,2,-1,-1,1,-1,-1,-1,-1,2,-1,4,5,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,2,-1,-1,-1,-1,-1,-1,2,2,2,3,-1,1,1,2,-1,1,1,1,2,2,2,-1,-1,-1,,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
900002,800004,1,2,2,2,2,2,1,-1,-1,2,2,2,1,2,2,2,2,1,1,3,-1,-1,2,2,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,2,1,9,1,1,2,2,-1,-1,-1,2,-1,2,2,2,2,-1,2,-1,2,2,2,2,2,-1,2,2,2,0,2,9,1,-1,-1,-1,-1,19,-1,4,3,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,1,-1,-1,-1,2,2,2,-1,-1,-1,2,3,-1,1,-1,2,1,1,1,1,2,2,2,-1,-1,-1,,5,5,0,0,-1,-1,-1,-1,9,9,-1,-1,-1,-1,-1,-1,-1,-1
900002,800005,1,2,2,2,2,2,2,-1,2,2,1,2,2,2,2,2,2,1,2,-1,-1,-1,2,2,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,1,5,9,1,1,2,2,2,-1,-1,2,-1,1,-1,2,2,2,2,2,-1,2,2,-1,2,2,2,-1,-1,0,2,8,-1,-1,-1,-1,-1,1,-1,4,5,5,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,3,-1,1,1,1,1,1,1,-1,2,2,2,-1,-1,-1,,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
900002,800006,2,2,2,2,2,2,1,-1,-1,2,1,2,1,2,2,2,2,1,1,-1,-1,-1,1,1,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,4,-1,1,1,-1,2,-1,-1,-1,2,-1,2,2,-1,-1,-1,2,2,2,-1,2,2,2,2,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,3,2,6,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,1,1,1,-1,1,2,1,2,2,2,-1,-1,-1,,-1,3,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
900003,800007,2,2,2,2,2,2,1,-1,-1,2,2,2,1,2,2,2,2,1,1,3,-1,-1,2,2,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,1,9,2,-1,1,2,2,-1,-1,2,-1,-1,2,2,2,2,2,-1,1,1,2,2,2,-1,2,2,0,0,2,1,-1,-1,-1,-1,-1,1,-1,4,-1,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,-1,1,-1,1,1,1,1,1,-1,2,2,2,-1,-1,-1,,6,5,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
900003,800008,2,2,2,2,2,2,2,5,2,2,2,2,1,2,2,2,2,1,1,-1,-1,-1,1,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,2,7,9,1,1,2,-1,1,-1,-1,2,-1,-1,2,2,2,2,-1,2,2,2,2,2,2,2,2,-1,2,-1,2,7,1,-1,-1,-1,-1,-1,-1,4,5,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,2,2,2,-1,-1,-1,,5,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
900003,800009,2,2,2,2,2,2,2,-1,-1,2,2,2,1,2,2,2,2,2,2,-1,3,-1,2,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,2,1,-1,2,6,9,1,2,2,-1,1,-1,-1,2,-1,2,2,2,2,2,2,2,1,2,2,2,-1,2,2,2,0,2,2,8,-1,1,-1,-1,-1,4,-1,4,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,1,1,-1,2,-1,1,1,1,2,2,2,-1,-1,-1,,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
900003,800010,2,2,1,2,2,2,2,-1,-1,1,2,2,1,2,2,2,2,1,1,-1,-1,-1,2,2,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,2,6,9,1,2,-1,2,2,-1,-1,2,-1,1,2,2,2,2,2,2,1,2,2,-1,2,2,2,2,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,1,-1,-1,-1,-1,-1,-1,2,-1,-1,4,-1,1,1,1,1,1,1,2,1,2,2,2,-1,-1,-1,,3,-1,0,0,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
