phid,ppid,pyearid,phaboro,phiwt,ppiwt,phiwtwkd,ppiwtwkd,phiwtttwkd,ppiwtttwkd,psex,pstaym25,prelrsp,prelrspi,pdeng,pfrtram,pfrbus,pfrdlr,pfrug,pfrovg,pfrnr,pfrcard,pfrcarp,pfrmc,pfrltaxi,pfrtaxio,pfrwalk,pfrtflrail,pridesharep,pcfrtram,pcfrbus,pcfrdlr,pcfrug,pcfrovg,pcfrnr,pcfrcard,pcfrcarp,pcfrmc,pcfrltaxi,pcfrtaxio,pcfrwalk,pcftfl,pcfovall,pchcjow,pchcsw,pchcmwl,pchcmtl,pchcscu,pchccscu,pchchfc,pchcveh,pchcdrl,pchcnon,pafmjow,pafmsw,pafmmwl,pafmmtl,pafmscu,pafmcscu,pafmhfc,pafmveh,pafmdrl,pafmnon,pothchats,pcmuser,pmcmuser,pwsaboro,pwsciox,pwscioxb,pwsfarezn,pwsccz,plen,pfrcycle,pesttram,pestbus,pestdlr,pestug,pestovg,pestnr,pestcard,pestcarp,pestmc,pestltaxi,pesttaxio,pestwalk,pestcycle,pesttflrail,plessmove,plessaffor,plessunrel,plessjob,plesshome,plessconv,plessdiff,plescrow,plessnnee,plessother,plesswa,plessund,plesslo,plessnr,plessdlr,plesscard,plesscarp,plesstaxi,plessmoto,plessbike,plesstram,plessemir,plessriv,plessminicab,plesstflrail,pmho,pmaff,pmtime,pmjob,pmhome,pmsho,pmcon,pmpref,pmcrow,pmtmo,pmother,pexp,pbusfut,pwkstat1,page1,pegroup1
900001,800001,19,19,905.1347969123416,720.328476822558,1183.173139983344,0.0,1566.518590044024,0.0,2,1,-1,3,2,9,1,9,3,9,7,1,9,9,9,9,1,9,-1,3,3,5,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,1,0,14,3,1,0,0,4.0,8,-1,12,-1,6,-1,-1,9,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,1 FT Worker,25-44,"02 Mixed, Other and Arab"
900001,800002,19,5,790.7865672952405,952.3870752262022,642.4218433012278,0.0,1566.518590044024,0.0,1,1,4,2,2,9,4,9,6,9,8,3,4,9,9,6,1,9,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,0,0,2,1,3,0,0,7.0,9,-1,6,-1,12,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,3,3,1 FT Worker,17-24,"02 Mixed, Other and Arab"
900002,800003,19,29,905.1347969123416,789.063692571943,0.0,1078.712424842615,0.0,1441.238983508656,1,1,3,-1,2,9,3,7,4,9,4,9,8,9,9,9,1,9,1,3,3,3,3,3,3,3,5,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,1,0,-1,1,2,0,0,3.0,9,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,3,2 PT Worker,25-44,01 White
900002,800004,19,29,905.1347969123416,736.5237685763063,0.0,954.05826721905,0.0,932.7666663806913,2,1,1,3,2,9,2,9,1,9,9,9,9,9,9,9,1,9,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,0,0,0,19,1,3,-1,0,-1.0,9,-1,9,-1,9,-1,6,12,9,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,3,3,1 FT Worker,45-59,01 White
900002,800005,19,19,905.1347969123416,720.328476822558,0.0,990.2109638943557,1566.518590044024,1599.536895450082,2,1,-1,-1,2,7,2,9,8,9,8,9,4,9,9,8,1,9,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,0,0,0,-1,1,1,0,0,10.0,9,-1,12,-1,12,-1,7,6,-1,-1,-1,-1,10,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,3,3,2 PT Worker,17-24,01 White
900002,800006,19,5,484.8415942970883,244.5770893791603,1183.173139983344,990.2109638943557,0.0,0.0,1,1,4,1,2,9,1,9,1,7,9,9,7,8,9,6,1,9,-1,3,3,3,5,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,1,0,2,-1,-1,-1,0,7.0,9,-1,12,-1,12,-1,6,9,6,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,3,1 FT Worker,25-44,01 White
900003,800007,19,16,268.0162580337189,474.6804416653299,1183.173139983344,703.6532316981977,0.0,1281.678285015331,1,1,-1,4,2,9,8,9,7,9,8,9,3,9,9,8,3,9,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,1,0,32,3,3,0,0,-1.0,9,-1,6,-1,12,-1,-1,-1,-1,-1,-1,12,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2 PT Worker,45-59,01 White
900003,800008,19,19,484.8415942970883,531.429384542857,0.0,0.0,1238.804820300076,1281.678285015331,1,1,1,-1,2,9,4,9,6,9,7,9,9,9,8,7,1,9,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,13,3,2,0,-1,7.0,9,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,12,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,2,-1,-1,6,3,1 FT Worker,17-24,01 White
900003,800009,19,5,268.0162580337189,794.7315215375323,1122.150176713496,1303.092105226188,1566.518590044024,0.0,2,1,2,4,2,9,8,9,4,9,9,9,9,9,8,7,1,9,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,2,1,3,0,0,10.0,9,-1,-1,-1,12,-1,-1,9,-1,-1,-1,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2 PT Worker,65+,"02 Mixed, Other and Arab"
900003,800010,19,16,905.1347969123416,292.461987298783,642.4218433012278,0.0,1238.804820300076,1598.154449729143,2,1,1,2,2,9,1,7,8,9,8,9,4,9,8,9,1,9,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,11,2,1,0,0,1.0,2,-1,12,-1,6,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2 PT Worker,25-44,"02 Mixed, Other and Arab"
