thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,tt1fhm,twalkatw,tcycatw,tppw,tcmode,tsdaddr,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtoth,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,tosect,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,tjpurp,tdpurp,tdbmmode1,topurp
900001,800003,221870410301,-1,221870410302,22,1,3,636.8226380965693,664.2059026878923,0.0,0.0,0.0,0.0,1,1,2,0,16,4,13,13,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,3,0,0,2,2,3,0,0,2,8,5,0.60000002,5,0,0,0,0,0,0,0,04 Shopping and personal business,04 Shopping and personal business,09 Walk,07 Home
900002,800004,222100710102,222100710101,-1,22,1,4,503.2361409442344,505.2160482262663,660.6605311803039,750.6393901422294,0.0,0.0,-1,1,2,0,16,1,14,14,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,7,18,0,0,3,3,18,0,0,4,8,0,0.30000001,5,0,0,0,0,0,0,0,04 Shopping and personal business,07 Home,09 Walk,04 Shopping and personal business
900003,800008,222252910105,222252910104,222252910106,22,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,-1,1,2,0,16,4,15,15,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,0,0.1,0,0,0,0,0,0,0,0,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),09 Walk,07 Home
900003,800009,222252910202,222252910201,222252910203,22,4,5,283.0818897189592,280.8820776524207,398.1291032828286,384.6439495124753,576.3296595732904,534.171469225518,-1,2,2,2,15,4,8,9,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,3,0,0,2,8,60,7.0,5,0,0,0,0,0,0,0,02 Other work related,02 Other work related,02 Underground/ DLR,06 Other (inc Escort/ Worship)
900003,800011,222252910401,-1,222252910402,22,2,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,1,2,2,2,11,2,7,8,2,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,30,1.0,0,0,0,0,0,0,0,0,03 Education,03 Education,03 Bus (+sch/ wk bus/coach & tram),07 Home
900003,800012,222252910501,-1,222252910502,22,1,5,283.0818897189592,227.6158203411302,398.1291032828286,267.1375614964848,576.3296595732904,389.6940614961417,1,1,2,0,16,2,8,8,2,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,0,0.1,0,0,0,0,0,0,0,0,03 Education,03 Education,09 Walk,07 Home
900004,800014,223612310202,223612310201,-1,22,1,29,268.5560473148145,181.6733979002976,0.0,0.0,0.0,0.0,-1,1,2,0,16,1,15,16,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,29,0,0,3,3,29,0,0,4,8,30,0.2,0,0,0,0,0,0,0,0,05 Leisure,07 Home,09 Walk,05 Leisure
900002,800004,222100710101,-1,222100710102,22,1,4,503.2361409442344,505.2160482262663,660.6605311803039,750.6393901422294,0.0,0.0,1,1,2,0,16,4,14,14,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,7,18,0,0,3,3,18,0,0,4,8,0,0.30000001,5,0,0,0,0,0,0,0,04 Shopping and personal business,04 Shopping and personal business,09 Walk,07 Home
900002,800005,222100710201,-1,222100710202,22,1,4,503.2361409442344,520.6192097708343,660.6605311803039,594.2732428035657,0.0,0.0,2,1,2,0,16,4,11,11,3,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,3,0,0,2,2,3,0,0,2,8,10,1.0,5,0,0,0,0,0,0,0,05 Leisure,05 Leisure,09 Walk,06 Other (inc Escort/ Worship)
900002,800005,222100710202,222100710201,-1,22,2,4,503.2361409442344,520.6192097708343,660.6605311803039,594.2732428035657,0.0,0.0,-1,2,2,2,1,1,12,13,3,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,3,0,0,3,3,18,0,0,6,7,60,10.0,10,0,0,0,0,0,0,0,05 Leisure,07 Home,01 National Rail/ Overground,05 Leisure
