phid,ppid,pdlcar,pdlmc,ppdlcar,ppdlmc,pdlpsv,pdlhgv,pdlnone,pltd,pcarclub,peurdsh,ppoap,ppstaff,ppnofre,pfrbus,pfrtura,predbus,predtura,pnopass,ppoyster,pbppay,ppopmbus,ppopmtc,ptcpay,ppopmsss,pssspay,ppopmnone,ppkncp,ppkboro,ppkoth,ppknone,pncpcost,pborodcost,pothcost,pemplos,pncppay,poccupa,pboropay,pindustry,pbluepay,pothpay,pewu,psttaddr,ptermt,phomesh,pmanager,pstfreq,pwknum,pnumemp,pwscard,psupvise,pwssvd,pwsmcr,pwscyc,pwscarp,pwssvp,pewarrs,pwsmcp,pewarrw,pwsbus,pewflex,pwsug,pewshif,pwsovg,pwsnr,pwsdlr,pwstram,pwstaxi,pwswalk,pwsminicab,pwstflrail,pwsescooter,pwsriver,pwsomode,pwsmodeo,pwsmmode,pwspknr,pwspkv,pwspkvo,pwspkc,pwspkco,pempyear,pempmonth,pwkyear,pawfh,pofwk,poftrwk,poftrwkdiff,poftrwkhm,pwrkhomesd,pwhdmon,pwhdtue,pwhdwed,pwhdthu,pwhdfri,pwhdsat,pwhdsun,pwhdref,pemplexpect,pworkpref,psechm,ptimead,pborn,pout,pphysactwlk,prntuw,pphysactcyc,prnthj,prntlh,pphysactwlkmin,prntwfh,pphysactcycmin,prnttwc,prntstdy,prntcare,prntatcw,prntoth,pnotrips,ptmore,pnowktrp,pphysactspt,pphysactsptmin,pnocyctrp,pleavemon,pleavetue,pleavewed,pstudy,pleavethu,pleavefri,pleavesat,pleavesun,pofwk12,poftrwk12,poftrwkdiff12,poftrwkhm12,pdel,pdeltak,pdelgro,pdelclo,pdelbooks,pdeloth1,pdteltick,pdhhhditap,pdhealth,pdeloth,pdelotho,pdelhom,pdelwork,pdelclck,pdellocoth,pdellocotho,pdummywfh
900002,800004,1,2,-1,-1,2,-1,-1,-1,-1,2,2,2,2,1,2,2,2,1,2,,2,2,,2,,1,2,2,2,1,-1,-1,-1,-1,,-1,,-1,,,2,-1,-1,2,0,1,0,0,2,0,2,2,-1,-1,-1,,2,,-1,,-1,,2,2,2,2,2,1,2,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2,3,-1,2,-1,,,,,-1,,,,,-1,-1,-1,-1,5,4,8,8,8,0,8,8,8,8,,0,0,0,0,,0
900002,800005,-1,2,-1,-1,2,2,2,-1,-1,-1,1,2,1,2,2,2,2,1,2,,2,2,,2,,1,2,2,2,2,-1,-1,-1,-1,,-1,,-1,,,-1,1,1,2,0,1,0,0,2,0,2,2,2,2,2,,-1,,2,,-1,,2,2,-1,2,2,-1,2,2,-1,2,2,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,1,,-1,0,-1,-1,0,-1,,-1,-1,-1,-1,-1,4,3,-1,2,-1,,,,,2,,,,,-1,-1,0,0,5,8,8,8,8,0,8,6,8,8,,0,0,0,0,,0
900002,800006,1,-1,2,2,-1,-1,-1,-1,-1,2,2,2,1,2,2,2,2,1,2,,2,2,,2,,1,2,2,2,1,-1,-1,-1,1,,-1,,-1,,,-1,1,-1,2,0,2,0,0,-1,0,2,2,2,2,2,,2,,-1,,2,,1,2,2,2,-1,1,2,-1,2,2,2,-1,8,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,3,3,-1,1,-1,,,,,1,,,,,-1,-1,-1,0,2,8,8,8,7,0,8,8,8,8,,0,0,0,0,,0
900002,800007,1,2,2,-1,2,2,-1,-1,-1,1,2,2,1,2,2,2,1,1,2,,2,2,,2,,1,2,2,2,1,-1,-1,-1,-1,,-1,,13,,,1,-1,2,2,0,1,0,0,2,0,-1,-1,-1,2,2,,2,,1,,-1,,-1,2,-1,2,2,2,-1,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,3,1,,-1,,-1,-1,,-1,0,-1,-1,-1,-1,-1,2,2,-1,2,30,,,,,2,,,,,-1,-1,-1,-1,5,8,2,8,5,0,8,2,8,8,,0,0,0,0,,0
900003,800008,2,-1,-1,2,2,2,-1,-1,2,2,2,2,1,2,2,2,2,2,2,,2,2,,2,,1,2,2,2,2,-1,-1,-1,-1,,1,,-1,,,-1,1,-1,2,0,-1,0,0,-1,0,2,-1,2,-1,2,,-1,,2,,2,,-1,2,2,-1,2,-1,2,-1,2,2,2,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,3,1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2,3,-1,2,-1,,,,,-1,,,,,-1,5,-1,0,5,8,8,4,8,0,8,8,8,8,,0,0,0,0,,0
900003,800009,-1,-1,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,2,1,2,,2,2,,2,,1,2,2,2,1,-1,-1,-1,1,,7,,14,,,-1,-1,-1,2,0,1,0,0,2,0,2,2,2,-1,-1,,2,,1,,2,,2,-1,2,-1,2,2,2,2,-1,2,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2,3,-1,2,30,,,,,2,,,,,-1,5,0,-1,5,7,8,8,8,0,8,8,8,8,,0,0,0,0,,0
900003,800010,-1,-1,2,2,-1,2,-1,2,2,-1,2,2,1,2,2,2,2,1,2,,2,2,,2,,1,2,2,2,1,-1,-1,-1,-1,,-1,,11,,,1,1,-1,2,0,-1,0,0,2,0,-1,2,2,2,2,,2,,2,,2,,2,-1,-1,2,-1,2,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,3,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,4,1,-1,2,-1,,,,,2,,,,,5,-1,-1,-1,5,5,8,8,6,0,8,8,8,8,,0,0,0,0,,0
900003,800011,-1,2,-1,2,2,2,2,-1,2,-1,2,2,1,2,2,2,2,1,2,,2,2,,2,,1,2,2,2,1,-1,-1,-1,-1,,1,,-1,,,-1,1,1,2,0,1,0,0,2,0,2,-1,-1,2,2,,2,,1,,2,,-1,2,2,2,-1,2,2,2,2,-1,-1,-1,-1,2,-1,-1,-1,-1,15,-1,15,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,8,3,-1,2,-1,,,,,2,,,,,-1,4,-1,0,5,8,8,8,8,0,8,8,8,8,,0,0,0,0,,0
900003,800012,1,-1,2,-1,2,-1,1,-1,2,-1,1,2,1,2,2,2,2,1,2,,2,2,,2,,1,2,1,2,2,-1,-1,-1,-1,,-1,,-1,,,-1,-1,1,2,0,-1,0,0,-1,0,2,2,-1,-1,-1,,-1,,-1,,2,,2,2,2,-1,2,-1,2,-1,2,2,2,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,0,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2,-1,-1,2,120,,,,,1,,,,,-1,-1,0,-1,5,5,8,8,8,0,8,8,8,8,,0,0,0,0,,0
900004,800013,-1,2,2,2,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,2,1,2,,2,2,,2,,1,2,2,1,1,-1,-1,-1,1,,8,,13,,,-1,1,1,2,0,-1,0,0,2,0,2,-1,2,2,2,,2,,2,,2,,2,-1,2,2,-1,2,-1,2,2,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,1,,-1,0,-1,-1,,-1,,-1,-1,-1,-1,-1,2,2,-1,2,-1,,,,,-1,,,,,5,5,-1,-1,5,8,8,8,8,0,8,8,8,8,,0,0,0,0,,0
900004,800014,-1,2,-1,2,-1,2,-1,-1,2,2,1,2,1,2,2,2,2,2,2,,2,2,,2,,1,2,2,2,1,-1,-1,-1,-1,,-1,,-1,,,1,-1,-1,2,0,-1,0,0,-1,0,-1,-1,2,2,2,,-1,,-1,,-1,,2,-1,2,2,2,-1,-1,2,2,2,2,-1,8,-1,-1,-1,1,-1,-1,-1,-1,-1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,1,1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,2,3,7,1,-1,,,,,-1,,,,,4,-1,0,-1,5,8,8,8,8,0,8,8,8,8,,0,0,0,0,,0
