phid,ppid,pyearid,phaboro,phiwt,ppiwt,phiwtwkd,ppiwtwkd,phiwtttwkd,ppiwtttwkd,psex,pstaym25,prelrsp,prelrspi,pfrtram,pfrbus,pfrdlr,pfrug,pfrovg,pfrnr,pfrcard,pfrcarp,pfrmc,pfrltaxi,pfrtaxio,pfrwalk,pfrcycle1,pfrtflrail,pfrescooter,pfrriver,pcfrtram,pcfrbus,pcfrdlr,pcfrug,pcfrovg,pcfrnr,pcfrcard,pcfrcarp,pcfrmc,pcfrltaxi,pcfrtaxio,pcfrwalk,pcftfl,pcescooter,pcriver,pcfovall,pchcjow,pchcsw,pchcmwl,pchcmtl,pchcscu,pchccscu,pchchfc,pchcveh,pchcdrl,pchcnon,pafmjow,pafmsw,pafmmwl,pafmmtl,pafmscu,pafmcscu,pafmhfc,pafmveh,pafmdrl,pafmnon,pothchats,pcmuser,pmcmuser,pwsaboro,pwsciox,pwscioxb,pwsfarezn,pwsccz,plen,pfrcycle,pesttram,pestbus,pestdlr,pestug,pestovg,pestnr,pestcard,pestcarp,pestmc,pestltaxi,pesttaxio,pestwalk,pestcycle,pesttflrail,plessmove,plessaffor,plessunrel,plessjob,plesshome,plessconv,plessdiff,plescrow,plessnnee,plesswa,plessund,plesslo,plessnr,plessdlr,plesscard,plesscarp,plesstaxi,plessmoto,plessbike,plesstram,pwkstat,pegroup,page
900003,800009,22,4,283.0818897189592,354.5993072272907,398.1291032828286,0.0,576.3296595732904,0.0,1,1,3,0,9,2,8,6,5,9,1,9,9,8,9,1,0,9,9,9,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,2,-1,2,2,2,-1,2,-1,1,2,2,-1,-1,2,2,-1,2,2,-1,0,0,0,4,2,2,-1,-1,-1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 PT Worker,03 Asian,05-16
900001,800001,22,5,268.5560473148145,457.6659189654318,398.1291032828286,750.6393901422294,576.3296595732904,0.0,2,1,-1,0,9,1,8,8,9,7,9,4,9,8,9,1,0,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-1,2,2,2,2,2,-1,-1,-1,-1,2,2,2,2,-1,2,-1,2,1,0,0,0,5,2,2,-1,-1,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 Retired,01 White,05-16
900001,800002,22,29,503.2361409442344,395.914843881178,0.0,420.276369406844,0.0,0.0,2,1,1,0,9,5,7,8,2,9,2,1,9,7,7,1,0,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,-1,-1,2,2,-1,1,2,2,2,2,-1,-1,2,2,2,1,0,0,0,5,2,-1,-1,-1,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 Retired,03 Asian,25-44
900001,800003,22,5,283.0818897189592,227.6158203411302,660.6605311803039,267.1375614964848,0.0,534.171469225518,1,1,1,0,9,8,9,6,5,9,1,2,9,9,8,1,0,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-1,-1,2,2,2,2,2,2,-1,-1,-1,-1,-1,2,2,-1,2,-1,-1,0,0,0,-1,2,-1,-1,-1,-1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 FT Worker,16 Refused,65+
900002,800004,22,3,503.2361409442344,181.6733979002976,0.0,594.2732428035657,576.3296595732904,519.4651213500523,1,1,1,0,9,5,9,1,6,9,9,4,9,8,7,1,0,9,9,9,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,-1,-1,-1,2,2,2,-1,1,2,2,-1,-1,2,2,-1,-1,2,1,0,0,0,4,2,2,-1,-1,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 FT Worker,01 White,45-59
900002,800005,22,5,283.0818897189592,520.6192097708343,660.6605311803039,469.0113907839257,576.3296595732904,0.0,2,1,4,0,9,1,8,5,7,9,9,2,9,7,9,1,0,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,-1,-1,-1,2,2,2,-1,2,2,2,-1,-1,2,-1,2,-1,2,2,2,-1,0,1,0,-1,2,2,-1,-1,-1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 Under 16,16 Refused,05-16
900002,800006,22,5,636.8226380965693,280.8820776524207,398.1291032828286,0.0,0.0,680.8984745766935,2,1,3,0,9,5,7,6,7,1,9,4,9,9,9,1,0,9,9,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,-1,2,2,2,-1,2,1,2,2,-1,-1,2,2,2,2,-1,2,0,0,0,4,2,-1,-1,-1,3.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 Under 16,01 White,05-16
900002,800007,22,4,636.8226380965693,713.7814097995229,660.6605311803039,0.0,0.0,0.0,1,1,-1,0,9,1,8,5,6,7,9,4,9,9,7,1,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,-1,2,2,-1,-1,-1,-1,2,2,1,2,2,2,2,2,-1,2,-1,2,1,0,0,0,-1,-1,2,-1,-1,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 Under 16,01 White,65+
900003,800008,22,4,503.2361409442344,320.9907490760419,0.0,0.0,0.0,389.6940614961417,1,1,3,0,9,9,7,5,7,7,9,4,9,9,8,1,0,9,9,9,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,-1,2,2,2,-1,-1,2,-1,2,-1,2,2,-1,2,2,-1,-1,-1,0,0,0,-1,2,2,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 FT Worker,01 White,05-16
900003,800010,22,3,283.0818897189592,664.2059026878923,0.0,594.2732428035657,576.3296595732904,0.0,2,1,-1,0,9,5,9,6,5,7,7,6,9,9,7,1,0,9,9,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,2,-1,-1,2,2,-1,-1,-1,0,0,0,3,2,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 Not Working,03 Asian,25-44
