shid,spid,stid,ssid,sidp,sidn,syearid,spidno,stseqno,sseqno,shaboro,spiwtlul,smode,samode,semode,swalkdur,sbchs,sinttype,srdsht,srdshtp,srsdiffmode,sociox,socioxb,sosect,soaboro,sofarezn,soccz,sowez,sdciox,sdcioxb,sdsect,sdaboro,sdfarezn,sdccz,sdwez,sodcioxba1,sodcioxba2,slenn,slen100m,sdur5,sspeed5,staxib,shiwt,spiwt,shiwtwkd,spiwtwkd,shiwtttwkd,spiwtttwkd
23084161,800001,230841610101,23084161010101,-1,23084161010102,23,1,1,1,1,0,1,-1,13,0,-1,2,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,0.170000002,0.100000001,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610101,23084161010102,23084161010101,23084161010103,23,1,1,2,1,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,2,1,0,0,0,1,1,0,1,0,0,0,3,2,4.500999928,4.5,30,5,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610101,23084161010103,23084161010102,-1,23,1,1,3,1,0,1,13,-1,5,-1,11,-1,-1,-1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,4,0.70599997,0.699999988,10,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610102,23084161010201,-1,23084161010202,23,1,2,1,1,0,1,-1,13,5,-1,2,-1,-1,-1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,4,0.70599997,0.699999988,5,5,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610102,23084161010202,23084161010201,23084161010203,23,1,2,2,1,0,13,1,1,-1,-1,2,-1,-1,-1,1,1,0,1,0,0,0,2,2,2,1,0,0,0,3,5,4.507999897,4.5,20,10,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610102,23084161010203,23084161010202,-1,23,1,2,3,1,0,1,13,-1,0,-1,11,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,0.195999995,0.100000001,0,5,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610103,23084161010301,-1,23084161010302,23,1,3,1,1,0,1,-1,13,0,-1,2,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,0.170000002,0.100000001,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610103,23084161010302,23084161010301,23084161010303,23,1,3,2,1,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,2.993999958,2.900000095,15,5,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610103,23084161010303,23084161010302,-1,23,1,3,3,1,0,1,13,-1,5,-1,11,-1,-1,-1,2,2,2,1,0,0,0,1,1,0,1,0,0,0,3,2,0.211999997,0.200000003,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610104,23084161010401,-1,23084161010402,23,1,4,1,1,0,1,-1,13,5,-1,2,-1,-1,-1,1,1,0,1,0,0,0,2,2,2,1,0,0,0,3,5,0.275000006,0.200000003,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610104,23084161010402,23084161010401,23084161010403,23,1,4,2,1,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,2.858999968,2.799999952,10,10,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800001,230841610104,23084161010403,23084161010402,-1,23,1,4,3,1,0,1,13,-1,0,-1,11,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,0.112999998,0.100000001,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800002,230841610201,23084161020101,-1,-1,23,2,1,1,1,0,1,-1,-1,0,-1,11,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,0.143999994,0.100000001,0,-2,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800002,230841610202,23084161020201,-1,-1,23,2,2,1,1,0,1,-1,-1,0,-1,11,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,0.143999994,0.100000001,0,-2,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800002,230841610203,23084161020301,-1,23084161020302,23,2,3,1,1,0,1,-1,13,0,-1,2,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,0.170000002,0.100000001,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800002,230841610203,23084161020302,23084161020301,23084161020303,23,2,3,2,1,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,2.993999958,2.900000095,15,5,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800002,230841610203,23084161020303,23084161020302,-1,23,2,3,3,1,0,1,13,-1,5,-1,11,-1,-1,-1,2,2,2,1,0,0,0,1,1,0,1,0,0,0,3,2,0.211999997,0.200000003,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800002,230841610204,23084161020401,-1,23084161020402,23,2,4,1,1,0,1,-1,13,5,-1,2,-1,-1,-1,1,1,0,1,0,0,0,2,2,2,1,0,0,0,3,5,0.275000006,0.200000003,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800002,230841610204,23084161020402,23084161020401,23084161020403,23,2,4,2,1,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,2.858999968,2.799999952,10,10,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23084161,800002,230841610204,23084161020403,23084161020402,-1,23,2,4,3,1,0,1,13,-1,0,-1,11,-1,-1,-1,2,2,2,1,0,0,0,2,2,2,1,0,0,0,2,8,0.112999998,0.100000001,0,0,-1,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964
23217191,800003,232171910101,23217191010101,-1,23217191010102,23,1,1,1,5,0,1,-1,19,10,-1,4,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.412,0.400000006,15,0,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910101,23217191010102,23217191010101,23217191010103,23,1,1,2,5,0,19,1,1,-1,-1,4,-1,-1,-1,2,2,3,5,0,0,0,1,1,0,2,0,0,0,3,2,6.660999775,6.599999905,30,10,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910101,23217191010103,23217191010102,23217191010104,23,1,1,3,5,0,1,19,25,8,-1,15,-1,-1,-1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,1,4,0.501999974,0.5,15,0,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910101,23217191010104,23217191010103,23217191010105,23,1,1,4,5,0,25,1,1,-1,-1,15,-1,-1,-1,1,1,0,2,0,0,0,1,1,0,6,0,0,0,1,4,1.636000037,1.600000024,5,10,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910101,23217191010105,23217191010104,-1,23,1,1,5,5,0,1,25,-1,3,-1,11,-1,-1,-1,1,1,0,6,0,0,0,1,1,0,6,0,0,0,1,4,0.034000002,0.0,0,0,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910102,23217191010201,-1,23217191010202,23,1,2,1,5,0,1,-1,25,3,-1,15,-1,-1,-1,1,1,0,6,0,0,0,1,1,0,6,0,0,0,1,4,0.034000002,0.0,0,0,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910102,23217191010202,23217191010201,23217191010203,23,1,2,2,5,0,25,1,1,-1,-1,15,-1,-1,-1,1,1,0,6,0,0,0,1,1,0,2,0,0,0,1,4,1.636000037,1.600000024,5,15,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910102,23217191010203,23217191010202,23217191010204,23,1,2,3,5,0,1,25,19,8,-1,4,-1,-1,-1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,1,4,0.501999974,0.5,10,0,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910102,23217191010204,23217191010203,23217191010205,23,1,2,4,5,0,19,1,1,-1,-1,4,-1,-1,-1,1,1,0,2,0,0,0,2,2,3,5,0,0,0,3,5,6.660999775,6.599999905,15,20,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800003,232171910102,23217191010205,23217191010204,-1,23,1,2,5,5,0,1,19,-1,10,-1,11,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.412,0.400000006,5,0,-1,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589
23217191,800004,232171910201,23217191020101,-1,23217191020102,23,2,1,1,5,0,1,-1,19,10,-1,4,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,5,0,0,0,2,8,0.412,0.400000006,10,0,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
23217191,800004,232171910201,23217191020102,23217191020101,23217191020103,23,2,1,2,5,0,19,1,1,-1,-1,4,-1,-1,-1,2,2,3,5,0,0,0,2,2,3,6,0,0,0,2,8,3.492000103,3.400000095,10,15,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
23217191,800004,232171910201,23217191020103,23217191020102,23217191020104,23,2,1,3,5,0,1,19,17,1,-1,3,-1,-1,-1,2,2,3,6,0,0,0,2,2,3,6,0,0,0,2,8,0.0,0.0,0,-2,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
23217191,800004,232171910201,23217191020104,23217191020103,23217191020105,23,2,1,4,5,0,17,1,1,-1,-1,3,-1,-1,-1,2,2,3,6,0,0,0,1,1,0,14,0,0,0,3,2,4.339000225,4.300000191,15,10,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
23217191,800004,232171910201,23217191020105,23217191020104,-1,23,2,1,5,5,0,1,17,-1,7,-1,11,-1,-1,-1,1,1,0,14,0,0,0,1,1,0,14,0,0,0,1,4,0.314999998,0.300000012,5,0,-1,858.9610862,850.5512937,1222.118143,1321.946661,1714.101685,1827.34401
