thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,tt1fhm,twalkatw,tcycatw,thmmode,tppw,tcmode,tsdaddr,toland,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtoth,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,tosect,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,tjpurp1,tdpurp1,tdbmmode1,topurp1
900001,800002,230841610201,-1,230841610202,23,1,1,1,1,2,1,0,16,3,6,6,6,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,2,1,0,0,2,2,1,0,0,2,8,0,0.1,-2,0,0,0,0,0,0,0,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964,03 Education,03 Education,10 Walk,07 Home
900003,800007,232940910101,-1,232940910102,23,2,6,1,1,2,3,1,13,4,1,16,17,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,1,8,-1,-1,2,2,3,6,0,0,2,2,5,0,0,2,8,30,3.0,5,0,0,0,0,0,0,0,637.8334485,579.3995393,,,,,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),07 Car (+van/lorry) passenger,02 Other work related
900001,800002,230841610203,230841610202,230841610204,23,2,1,-1,2,2,13,2,10,4,1,19,19,5,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,2,1,0,0,1,1,1,0,0,3,2,25,3.0,5,0,0,0,0,0,0,0,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964,05 Leisure,05 Leisure,09 Cycle,07 Home
900001,800002,230841610204,230841610203,-1,23,2,1,-1,2,2,13,2,10,1,1,23,23,6,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,0,1,0,0,2,2,1,0,0,3,5,20,3.0,5,0,0,0,0,0,0,0,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964,05 Leisure,07 Home,09 Cycle,05 Leisure
900001,800001,230841610101,-1,230841610102,23,2,1,1,2,2,13,2,10,2,4,9,9,2,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,2,1,0,0,1,1,1,0,0,3,2,45,3.0,0,0,0,0,0,0,0,0,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964,02 Other work related,07 Home,10 Walk,02 Other work related
900001,800001,230841610102,230841610101,230841610103,23,2,1,-1,2,2,13,2,10,1,1,13,13,3,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,0,1,0,0,2,2,1,0,0,3,5,30,3.0,5,0,0,0,0,0,0,0,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964,05 Leisure,05 Leisure,01 National Rail/ Overground,07 Home
900001,800001,230841610103,230841610102,230841610104,23,2,1,-1,2,2,13,2,10,4,1,19,19,5,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,2,1,0,0,1,1,1,0,0,3,2,25,3.0,5,0,0,0,0,0,0,0,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964,05 Leisure,05 Leisure,03 Bus (+sch/ wk bus/coach & tram),05 Leisure
900001,800001,230841610104,230841610103,-1,23,2,1,-1,2,2,13,2,10,1,1,23,23,6,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,0,1,0,0,2,2,1,0,0,3,5,20,3.0,5,0,0,0,0,0,0,0,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964,05 Leisure,07 Home,02 Underground/ DLR,05 Leisure
900001,800002,230841610202,230841610201,230841610203,23,1,1,-1,1,2,1,0,16,1,1,16,16,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,2,1,0,0,2,2,1,0,0,2,8,0,0.1,-2,0,0,0,0,0,0,0,534.3441386,443.7625544,915.1118196,828.6582132,1646.149694,1233.149964,03 Education,07 Home,10 Walk,03 Education
900002,800003,232171910101,-1,232171910102,23,3,5,1,2,2,19,2,2,4,2,6,7,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,1,1,6,0,0,3,2,75,6.0,5,0,0,0,0,0,0,0,858.9610862,1164.787209,1222.118143,1722.029578,1714.101685,2450.491589,04 Shopping and personal business,07 Home,10 Walk,04 Shopping and personal business
