phid,ppid,pdlcar,pdlmc,ppdlcar,ppdlmc,pdlpsv,pdlhgv,pdlnone,pltd,pcarclub,peurdsh,ppoap,ppstaff,ppnofre,pfrbus,pfrtura,predbus,predtura,pnopass,ppoyster,ppopmbus,ppopmtc,ppopmsss,ppopmnone,ppkncp,ppkboro,ppkoth,ppknone,pncpcost,pborodcost,pothcost,pemplos,poccupa,pindustry,pewdrv,pewu,psttaddr,ptermt,phomesh,pmanager,pstfreq,pwknum,pnumemp,pwscard,psupvise,pwssvd,pwsmcr,pwscyc,pwscarp,pwssvp,pwsmcp,pwsbus,pwsug,pwsovg,pwsnr,pwsdlr,pwstram,pwstaxi,pwswalk,pwsminicab,pwstflrail,pwsescooter,pwsriver,pwsomode,pwsmodeo,pwsmmode,pwspknr,pwspkv,pwspkvo,pwspkc,pwspkco,pempyear,pempmonth,pwkyear,pawfh,pofwk,poftrwk,poftrwkdiff,poftrwkhm,pwrkhomesd,pwhdmon,pwhdtue,pwhdwed,pwhdthu,pwhdfri,pwhdsat,pwhdsun,pwhdref,pemplexpect,pworkpref,psechm,ptimead,pborn,pout,prntuw,prnthj,prntlh,prntwfh,prnttwc,prntstdy,prntcare,prntatcw,prntoth,pnotrips,ptmore,pnowktrp,pphysactspt,pphysactsptmin,pofwk12,poftrwk12,poftrwkdiff12,poftrwkhm12,pdel,pdeltak,pdelgro,pdelclo,pdelbooks,pdeloth1,pdteltick,pdhhhditap,pdhealth,psuptravelday1workday,psuptravelday1leave,psuptravelday1work,psuptravelday1shopping,psuptravelday1leisure,psuptravelday2workday,psuptravelday2leave,psuptravelday2work,psuptravelday2shopping,psuptravelday2leisure,psuptravelday3workday,psuptravelday3leave,psuptravelday3work,pdeloth,psuptravelday3shopping,psuptravelday3leisure,pdelhom,pdelwork,psuptravelday4workday,pdelclck,psuptravelday4leave,pdellocoth,psuptravelday4work,psuptravelday4shopping,psuptravelday4leisure,psuptravelday5workday,psuptravelday5leave,psuptravelday5work,psuptravelday5shopping,psuptravelday5leisure,psuptravelday6workday,psuptravelday6leave,psuptravelday6work,psuptravelday6shopping,psuptravelday6leisure,pworkleavetot,pworkhometot,pshoppingleavetot,pshoppinghometot,pleisureleavetot,pleisurehometot,pleavehousetot,pdummywfh,pwkstat
900003,800007,-1,2,2,2,2,2,2,5,-1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,9,-1,1,-1,2,0,1,0,0,-1,0,2,2,-1,-1,2,2,1,2,2,-1,-1,2,-1,-1,-1,-1,2,2,2,-1,8,-1,-1,-1,-1,-1,1,-1,1,-1,4,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,6,-1,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,60,-1,1,0,0,5,8,8,3,8,0,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 Student
900003,800008,2,2,-1,2,-1,2,2,-1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,-1,-1,-1,-1,1,15,-1,1,-1,1,2,0,1,0,0,-1,0,-1,2,2,2,-1,2,-1,2,2,2,-1,-1,2,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,1,3,2,1,-1,-1,-1,-1,-1,-1,2,-1,-1,4,3,3,1,-1,-1,4,-1,4,5,3,8,8,3,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 Under 16
900003,800009,1,2,-1,-1,2,-1,2,-1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,-1,-1,-1,-1,6,-1,9,-1,-1,-1,2,0,1,0,0,-1,0,2,2,2,2,-1,-1,1,2,2,2,2,-1,2,2,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,1,0,12,-1,-1,-1,-1,-1,1,2,-1,-1,-1,2,1,3,1,1,-1,-1,-1,-1,1,-1,-1,2,-1,2,3,3,1,-1,5,5,-1,0,1,8,8,8,8,0,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 Under 16
900003,800010,2,-1,2,-1,2,2,1,-1,-1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,2,0,-1,0,0,2,0,2,2,-1,-1,2,2,-1,2,-1,-1,2,2,2,2,-1,2,-1,2,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,4,-1,-1,2,-1,-1,2,1,-1,-1,-1,-1,-1,3,1,3,1,1,-1,2,-1,-1,-1,-1,-1,2,2,-1,3,-1,2,-1,-1,-1,0,1,5,8,8,4,6,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 PT Worker
900003,800011,1,2,2,-1,-1,2,1,5,-1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,2,0,-1,0,0,-1,0,2,2,-1,2,2,-1,1,-1,-1,2,2,-1,-1,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,0,11,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,2,-1,-1,2,4,-1,-1,2,60,5,1,-1,-1,1,8,8,3,8,0,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 FT Worker
900004,800012,2,2,2,2,2,-1,2,-1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,0,1,0,0,2,0,-1,-1,2,2,2,-1,1,2,2,-1,-1,2,2,2,2,-1,2,2,2,-1,8,-1,-1,-1,-1,-1,5,-1,5,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,1,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,-1,5,-1,0,-1,1,8,8,8,8,0,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 FT Worker
900004,800013,1,2,2,2,2,2,1,-1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,1,-1,-1,-1,1,-1,13,9,5,1,1,2,0,-1,0,0,2,0,2,2,2,-1,2,-1,-1,-1,2,2,2,2,2,-1,2,2,-1,-1,2,-1,8,-1,-1,-1,-1,-1,-1,-1,5,-1,5,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,2,6,-1,1,3,1,2,-1,-1,1,2,1,-1,-1,-1,-1,-1,3,-1,2,-1,5,-1,0,-1,5,2,2,6,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 Under 16
900001,800001,-1,2,2,2,2,2,1,-1,-1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,-1,-1,-1,-1,8,9,9,4,1,1,2,0,-1,0,0,2,0,2,-1,2,2,2,-1,1,-1,2,2,2,-1,2,2,2,-1,2,2,-1,-1,8,-1,-1,-1,-1,-1,6,-1,-1,1,5,-1,0,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,3,-1,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,-1,-1,-1,-1,-1,5,8,8,5,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 FT Worker
900001,800002,1,2,-1,2,2,2,2,-1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,-1,-1,-1,-1,-1,13,-1,-1,1,-1,2,0,1,0,0,2,0,2,-1,2,2,-1,2,1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,2,2,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,2,4,2,1,3,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,3,-1,1,30,5,-1,-1,-1,5,8,8,4,5,0,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 Student
900002,800003,1,2,2,2,2,2,2,-1,-1,-1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,-1,-1,-1,-1,2,-1,-1,4,1,-1,2,0,-1,0,0,-1,0,-1,-1,2,-1,2,2,1,-1,-1,2,2,2,-1,2,2,2,2,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,1,1,2,2,-1,-1,-1,2,-1,-1,-1,2,-1,-1,1,-1,-1,-1,0,4,1,2,8,8,8,0,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 PT Worker
900002,800004,2,-1,2,2,2,-1,-1,5,-1,-1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,1,-1,-1,-1,1,3,-1,9,4,-1,1,2,0,1,0,0,2,0,-1,-1,-1,2,-1,2,1,2,2,-1,-1,2,-1,2,2,2,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,5,-1,10,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,1,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,1,2,-1,5,-1,-1,-1,5,8,6,4,5,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 Student
900002,800005,-1,-1,2,2,-1,2,-1,-1,2,-1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,1,-1,-1,-1,1,3,7,9,-1,1,-1,2,0,1,0,0,2,0,-1,2,2,-1,-1,2,-1,2,2,2,2,2,2,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,10,-1,0,-1,-1,5,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,2,1,-1,-1,-1,2,-1,-1,2,-1,-1,2,3,-1,2,30,-1,5,2,3,5,1,2,4,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 Student
900002,800006,1,2,2,2,2,2,-1,5,-1,2,1,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,-1,-1,-1,1,-1,4,-1,-1,1,1,2,0,-1,0,0,2,0,2,2,-1,2,2,2,-1,-1,-1,2,-1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,-1,-1,10,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,-1,-1,0,-1,-1,1,1,5,6,8,0,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 FT Worker
