phid,ppid,pyearid,phaboro,psex,pstaym25,pagecat,prelrsp,prelrspi,pfrtram,pfrbus,pfrdlr,pfrug,pfrovg,pfrnr,pfrcard,pfrcarp,pfrmc,pfrltaxi,pfrtaxio,pfrwalk,pfrcycle1,pfrtflrail,pfrescooter,pfrriver,pcfrtram,pcfrbus,pcfrdlr,pcfrug,pcfrovg,pcfrnr,pcfrcard,pcfrcarp,pcfrmc,pcfrltaxi,pcfrtaxio,pcfrwalk,pcftfl,pcescooter,pcriver,pcfovall,pchcjow,pchcsw,pchcmwl,pchcmtl,pchcother,pchccscu,pchchfc,pchcveh,pchwfhmore,pchwfhless,pchcnon,pafmjow,pafmsw,pafmmwl,pafmmtl,pafmother,pafmcscu,pafmhfc,pafmveh,pafwfhmore,pafwfhless,pafmnon,pothchats,pmobilityscoot,pcmuser,pmcmuser,pwsaboro,pwsciox,pwscioxb,pwsfarezn,pwsccz,plen,pfrcycle,pesttram,pestbus,pestdlr,pestug,pestovg,pestnr,pestcard,pestcarp,pestmc,pestltaxi,pesttaxio,pestwalk,pestcycle,pesttflrail,plessmove,plessaffor,plessunrel,plessjob,plesshome,plessconv,plessdiff,plescrow,plessnnee,plessother,plesswa,plessund,plesslo,plessnr,plessdlr,plesscard,plesscarp,plesstaxi,plessmoto,plessbike,plesstram,phiwt,ppiwt,phiwtwkd,ppiwtwkd,phiwtttwkd,ppiwtttwkd,pagei,pegroup
900001,800001,23,5,2,1,-1,1,0,8,1,7,7,7,7,9,4,9,8,7,1,0,7,9,9,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,2,2,2,-1,2,2,2,-1,2,1,2,-1,-1,-1,2,2,2,-1,-1,2,-1,2,0,2,0,0,32,3,3,0,0,8.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.3441386,785.4016573,915.1118196,,,,25-44,"02 Mixed, Other and Arab"
900001,800002,23,6,2,1,-1,3,0,8,1,8,7,7,8,9,2,9,8,5,1,0,2,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,2,-1,2,2,2,2,2,2,2,-1,2,2,2,-1,-1,2,2,2,2,1,1,0,2,0,0,16,1,2,-1,0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.9610862,266.7687913,1222.118143,1464.173936,1714.101685,,05-16,01 White
900002,800003,23,32,1,1,-1,3,0,7,2,9,5,7,3,9,7,9,8,7,1,0,9,9,9,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,5,2,-1,2,2,2,-1,2,2,2,-1,2,2,2,2,-1,2,2,2,-1,2,-1,2,0,2,1,0,6,3,3,0,0,3.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.9610862,928.2462262,,1321.946661,,,25-44,"02 Mixed, Other and Arab"
900002,800004,23,32,2,1,-1,-1,0,9,1,7,2,7,6,1,3,9,8,7,1,0,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,2,2,2,2,2,-1,2,-1,2,1,-1,2,2,2,2,2,2,2,2,2,-1,0,2,1,0,1,2,2,0,0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.8334485,443.7625544,915.1118196,1334.327143,1714.101685,1975.655567,65+,01 White
900002,800005,23,5,2,1,-1,-1,0,9,1,9,4,7,8,1,2,9,7,7,1,0,5,9,9,3,1,3,3,3,3,3,5,3,3,3,3,1,3,3,3,2,-1,1,2,2,2,2,2,-1,1,1,2,2,-1,2,2,2,2,2,2,2,1,0,2,0,0,6,2,2,0,0,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.8334485,974.4359193,,,1714.101685,,0-4,"02 Mixed, Other and Arab"
900002,800006,23,6,2,1,-1,3,0,9,1,7,7,2,8,9,4,9,8,8,1,0,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,-1,2,-1,2,2,2,1,2,2,2,2,-1,2,2,2,2,2,1,0,2,0,0,6,1,1,0,0,0.800000012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.4388396,579.3995393,1222.118143,1722.029578,,1233.149964,05-16,04 Black
900003,800007,23,1,2,1,-1,8,0,9,1,9,7,7,8,6,7,9,8,7,1,0,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,2,2,-1,-1,2,2,-1,2,2,2,2,2,-1,2,2,2,2,2,2,2,1,0,2,0,0,5,3,2,0,0,10.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.9610862,503.9374981,1222.118143,,,1827.34401,25-44,"02 Mixed, Other and Arab"
900003,800008,23,5,2,1,-1,-1,0,9,1,8,7,5,7,9,7,9,7,7,1,0,7,9,7,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,2,2,2,-1,2,-1,-1,2,2,2,1,2,2,2,2,2,2,2,2,-1,-1,1,0,2,0,0,5,-1,1,0,0,0.100000001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.8334485,1164.787209,,,1646.149694,,05-16,01 White
900003,800009,23,6,2,1,-1,1,0,9,8,9,7,7,8,4,5,9,8,6,1,0,7,9,7,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,-1,2,2,2,-1,-1,2,2,-1,-1,-1,2,-1,2,-1,0,2,0,0,6,2,2,0,0,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.3441386,443.7625544,,,1646.149694,2450.491589,25-44,01 White
900003,800010,23,1,2,1,-1,3,0,9,1,9,2,7,3,9,4,9,7,6,1,0,2,9,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,2,2,2,2,2,-1,-1,-1,2,2,2,2,2,-1,2,-1,2,2,1,0,2,2,0,-1,2,-1,0,0,0.800000012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.9610862,850.5512937,,828.6582132,,,45-59,"02 Mixed, Other and Arab"
