shid,spid,stid,ssid,sidp,sidn,syearid,spidno,stseqno,sseqno,shaboro,spiwtlul,smode,samode,semode,swalkdur,sbchs,sinttype,srdsht,srdshtp,srsdiffmode,sociox,socioxb,sosect,soaboro,sofarezn,soccz,sowez,sdciox,sdcioxb,sdsect,sdaboro,sdfarezn,sdccz,sdwez,sodcioxba1,sodcioxba2,slenn,slen100m,sdur5,sspeed5,staxib,shiwt,spiwt,shiwtwkd,spiwtwkd,shiwtttwkd,spiwtttwkd,shiwttuesthurs,spiwttuesthurs
24393231,800010,243932310101,24393231010101,-1,24393231010102,24,1,1,1,30,0,1,-1,13,5,-1,2,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.311,0.3,5,0,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310101,24393231010102,24393231010101,24393231010103,24,1,1,2,30,0,13,1,1,-1,-1,2,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.9,0.9,5,5,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310101,24393231010103,24393231010102,24393231010104,24,1,1,3,30,0,1,13,17,1,-1,3,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.114,0.1,0,0,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310101,24393231010104,24393231010103,24393231010105,24,1,1,4,30,0,17,1,1,-1,-1,3,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.828,0.8,0,15,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310101,24393231010105,24393231010104,-1,24,1,1,5,30,0,1,17,-1,4,-1,11,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.301,0.3,5,0,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310102,24393231010201,-1,24393231010202,24,1,2,1,30,0,1,-1,17,4,-1,3,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.301,0.3,0,5,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800011,243932310202,24393231020202,24393231020201,24393231020203,24,2,2,2,30,0,17,1,1,-1,-1,3,-1,-1,-1,1,1,0,2,0,0,0,3,3,8,30,0,0,0,5,6,16.487,16.4,40,20,-1,732.5973347428642,711.8642377135594,1204.549106165227,1163.155949812928,1411.271067447964,1464.059600704597,1861.228151308522,1683.494116579796
24393231,800011,243932310202,24393231020203,24393231020202,-1,24,2,2,3,30,0,1,17,-1,15,-1,11,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,1.115,1.1,15,0,-1,732.5973347428642,711.8642377135594,1204.549106165227,1163.155949812928,1411.271067447964,1464.059600704597,1861.228151308522,1683.494116579796
24393231,800012,243932310301,24393231030101,-1,24393231030102,24,3,1,1,30,0,1,-1,13,4,-1,2,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.311,0.3,5,0,-1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.228151308522,1951.26103953192
24393231,800012,243932310301,24393231030102,24393231030101,24393231030103,24,3,1,2,30,0,13,1,1,-1,-1,2,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.9,0.9,5,5,-1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.228151308522,1951.26103953192
24393231,800012,243932310301,24393231030103,24393231030102,24393231030104,24,3,1,3,30,0,1,13,17,1,-1,3,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.114,0.1,0,0,-1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.228151308522,1951.26103953192
24393231,800012,243932310301,24393231030104,24393231030103,24393231030105,24,3,1,4,30,0,17,1,1,-1,-1,3,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.828,0.8,0,15,-1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.228151308522,1951.26103953192
24393231,800012,243932310301,24393231030105,24393231030104,-1,24,3,1,5,30,0,1,17,-1,4,-1,11,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.301,0.3,5,0,-1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.228151308522,1951.26103953192
24393231,800012,243932310302,24393231030201,-1,24393231030202,24,3,2,1,30,0,1,-1,13,5,-1,2,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.245,0.2,0,0,-1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.228151308522,1951.26103953192
24393231,800012,243932310302,24393231030202,24393231030201,24393231030203,24,3,2,2,30,0,13,1,1,-1,-1,2,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,2.165,2.1,15,5,-1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.228151308522,1951.26103953192
24393231,800010,243932310102,24393231010202,24393231010201,24393231010203,24,1,2,2,30,0,17,1,1,-1,-1,3,-1,-1,-1,3,3,8,30,0,0,0,2,2,2,7,0,0,0,6,3,22.145,22.1,40,30,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310102,24393231010203,24393231010202,-1,24,1,2,3,30,0,1,17,-1,8,-1,11,-1,-1,-1,2,2,2,7,0,0,0,2,2,2,7,0,0,0,2,8,0.599,0.5,5,5,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310103,24393231010301,-1,24393231010302,24,1,3,1,30,0,1,-1,17,8,-1,3,-1,-1,-1,2,2,2,7,0,0,0,2,2,2,7,0,0,0,2,8,0.599,0.5,5,5,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310103,24393231010302,24393231010301,24393231010303,24,1,3,2,30,0,17,1,1,-1,-1,3,-1,-1,-1,2,2,2,7,0,0,0,3,3,8,30,0,0,0,6,7,22.661,22.6,45,25,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800010,243932310103,24393231010303,24393231010302,-1,24,1,3,3,30,0,1,17,-1,15,-1,11,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,1.115,1.1,10,0,-1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.228151308522,1940.367880875047
24393231,800011,243932310201,24393231020101,-1,24393231020102,24,2,1,1,30,0,1,-1,17,15,-1,3,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,1.115,1.1,10,5,-1,732.5973347428642,711.8642377135594,1204.549106165227,1163.155949812928,1411.271067447964,1464.059600704597,1861.228151308522,1683.494116579796
24393231,800011,243932310201,24393231020102,24393231020101,24393231020103,24,2,1,2,30,0,17,1,1,-1,-1,3,-1,-1,-1,3,3,8,30,0,0,0,1,1,0,2,0,0,0,5,1,16.487,16.4,35,25,-1,732.5973347428642,711.8642377135594,1204.549106165227,1163.155949812928,1411.271067447964,1464.059600704597,1861.228151308522,1683.494116579796
24393231,800011,243932310201,24393231020103,24393231020102,-1,24,2,1,3,30,0,1,17,-1,5,-1,11,-1,-1,-1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,1,4,0.123,0.1,0,5,-1,732.5973347428642,711.8642377135594,1204.549106165227,1163.155949812928,1411.271067447964,1464.059600704597,1861.228151308522,1683.494116579796
24393231,800011,243932310202,24393231020201,-1,24393231020202,24,2,2,1,30,0,1,-1,17,5,-1,3,-1,-1,-1,1,1,0,2,0,0,0,1,1,0,2,0,0,0,1,4,0.123,0.1,0,0,-1,732.5973347428642,711.8642377135594,1204.549106165227,1163.155949812928,1411.271067447964,1464.059600704597,1861.228151308522,1683.494116579796
24393231,800012,243932310302,24393231030203,24393231030202,-1,24,3,2,3,30,0,1,13,-1,4,-1,11,-1,-1,-1,3,3,8,30,0,0,0,3,3,8,30,0,0,0,4,8,0.311,0.3,5,0,-1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.228151308522,1951.26103953192
24040311,800001,240403110101,24040311010101,-1,-1,24,1,1,1,17,0,3,-1,-1,-1,-1,11,-1,-1,-1,3,3,4,17,0,0,0,3,3,4,23,0,0,0,4,8,4.033,4.0,15,15,-1,741.1762318382898,695.5124568849158,988.9682240335372,1037.576961675772,1261.8471445228,1297.208038904117,1616.023377715669,1818.404596099136
24040311,800001,240403110102,24040311010201,-1,-1,24,1,2,1,17,0,3,-1,-1,-1,-1,11,-1,-1,-1,3,3,4,23,0,0,0,3,3,4,17,0,0,0,4,8,4.033,4.0,10,15,-1,741.1762318382898,695.5124568849158,988.9682240335372,1037.576961675772,1261.8471445228,1297.208038904117,1616.023377715669,1818.404596099136
24040311,800001,240403110103,24040311010301,-1,24040311010302,24,1,3,1,17,0,3,-1,1,-1,-1,1,-1,-1,-1,3,3,4,17,0,0,0,3,3,9,23,0,0,0,4,8,4.084,4.0,25,5,-1,741.1762318382898,695.5124568849158,988.9682240335372,1037.576961675772,1261.8471445228,1297.208038904117,1616.023377715669,1818.404596099136
24040311,800002,240403110201,24040311020103,24040311020102,24040311020104,24,2,1,3,17,0,19,1,1,-1,-1,4,-1,-1,-1,3,3,4,23,0,0,0,1,1,0,6,0,0,0,5,1,16.03,16.0,45,20,-1,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.023377715669,1757.013833644183
24040311,800002,240403110201,24040311020104,24040311020103,-1,24,2,1,4,17,0,1,19,-1,5,-1,11,-1,-1,-1,1,1,0,6,0,0,0,1,1,0,6,0,0,0,1,4,0.067,0.0,0,0,-1,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.023377715669,1757.013833644183
24040311,800002,240403110202,24040311020201,-1,24040311020202,24,2,2,1,17,0,1,-1,19,6,-1,4,-1,-1,-1,1,1,0,6,0,0,0,1,1,0,6,0,0,0,1,4,0.067,0.0,0,0,-1,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.023377715669,1757.013833644183
24040311,800002,240403110202,24040311020202,24040311020201,24040311020203,24,2,2,2,17,0,19,1,1,-1,-1,4,-1,-1,-1,1,1,0,6,0,0,0,3,3,9,23,0,0,0,5,6,12.661,12.6,25,25,-1,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.023377715669,1757.013833644183
24040311,800002,240403110202,24040311020203,24040311020202,24040311020204,24,2,2,3,17,0,1,19,13,6,-1,2,-1,-1,-1,3,3,9,23,0,0,0,3,3,9,23,0,0,0,4,8,0.33,0.3,5,0,-1,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.023377715669,1757.013833644183
24040311,800002,240403110202,24040311020204,24040311020203,24040311020205,24,2,2,4,17,0,13,1,1,-1,-1,2,-1,-1,-1,3,3,9,23,0,0,0,3,3,4,17,0,0,0,4,8,3.974,3.9,20,5,-1,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.023377715669,1757.013833644183
24040311,800002,240403110202,24040311020205,24040311020204,-1,24,2,2,5,17,0,1,13,-1,6,-1,11,-1,-1,-1,3,3,4,17,0,0,0,3,3,4,17,0,0,0,4,8,0.238,0.2,0,0,-1,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.023377715669,1757.013833644183
24040311,800003,240403110301,24040311030101,-1,-1,24,3,1,1,17,0,1,-1,-1,15,-1,11,-1,-1,-1,3,3,4,17,0,0,0,3,3,4,17,0,0,0,4,8,0.54,0.5,15,0,-1,741.1762318382898,694.3973322246102,988.9682240335372,814.6732793028635,1261.8471445228,1102.260132703135,1616.023377715669,1115.313646290702
