thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,tt1fhm,twalkatw,tcycatw,tdbmmode,thmmode,tppw,tcmode,tsdaddr,topurp,topurpi,tdpurp,tjpurpi,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,tosect,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tdummy,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,toland,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,thiwttuesthurs,tpiwttuesthurs
900001,800004,240403110401,-1,240403110402,24,1,17,1,1,2,Walk,1,0,16,2,06 Home,06 Home,02 Education (inc escort education),02 Education (inc escort education),8,8,2,0,2,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,4,17,0,0,3,3,17,0,0,4,8,15,0.5,0,2,,,,,,,,1,741.1762318382898,625.1080976675815,988.9682240335372,875.3072804770752,1261.8471445228,1064.181920881717,1616.0233777,1301.0455136
900001,800004,240403110402,240403110401,-1,24,1,17,-1,1,2,Walk,1,0,16,1,02 Education (inc escort education),02 Education (inc escort education),06 Home,02 Education (inc escort education),15,15,3,0,2,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,4,17,0,0,3,3,17,0,0,4,8,15,0.5,0,2,,,,,,,,4,741.1762318382898,625.1080976675815,988.9682240335372,875.3072804770752,1261.8471445228,1064.181920881717,1616.0233777,1301.0455136
900001,800005,240403110501,-1,240403110502,24,1,17,1,1,2,Walk,1,0,16,2,06 Home,06 Home,02 Education (inc escort education),02 Education (inc escort education),8,8,2,0,2,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,4,17,0,0,3,3,17,0,0,4,8,15,0.5,0,2,,,,,,,,1,741.1762318382898,625.1080976675815,988.9682240335372,875.3072804770752,1261.8471445228,1064.181920881717,1616.0233777,1301.0455136
900001,800003,240403110301,-1,240403110302,24,1,17,1,1,2,Walk,1,0,16,2,06 Home,06 Home,02 Education (inc escort education),02 Education (inc escort education),8,8,2,0,2,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,4,17,0,0,3,3,17,0,0,4,8,15,0.5,0,2,,,,,,,,1,741.1762318382898,694.3973322246102,988.9682240335372,814.6732793028635,1261.8471445228,1102.260132703135,1616.0233777,1115.3136463
900001,800003,240403110302,240403110301,-1,24,1,17,-1,1,2,Walk,1,0,16,1,02 Education (inc escort education),02 Education (inc escort education),06 Home,02 Education (inc escort education),15,15,3,0,2,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,4,17,0,0,3,3,17,0,0,4,8,15,0.5,0,2,,,,,,,,4,741.1762318382898,694.3973322246102,988.9682240335372,814.6732793028635,1261.8471445228,1102.260132703135,1616.0233777,1115.3136463
900001,800001,240403110101,-1,240403110102,24,1,17,1,2,2,Car driver,3,1,13,4,06 Home,06 Home,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),8,8,2,0,2,0,2,2,1,2,2,2,2,2,2,2,2,1,3,9,-1,-1,3,3,4,17,0,0,3,3,23,0,0,4,8,15,4.0,15,2,,,,,,,,1,741.1762318382898,695.5124568849158,988.9682240335372,1037.576961675772,1261.8471445228,1297.208038904117,1616.0233777,1818.4045961
900001,800005,240403110502,240403110501,-1,24,1,17,-1,1,2,Walk,1,0,16,1,02 Education (inc escort education),02 Education (inc escort education),06 Home,02 Education (inc escort education),15,15,3,0,2,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,4,17,0,0,3,3,17,0,0,4,8,15,0.5,0,2,,,,,,,,4,741.1762318382898,625.1080976675815,988.9682240335372,875.3072804770752,1261.8471445228,1064.181920881717,1616.0233777,1301.0455136
900002,800006,241011510103,241011510102,-1,24,2,20,-1,2,2,Car driver,3,1,13,1,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),06 Home,06 Other (inc Escort/ Worship),16,16,4,0,1,0,2,2,1,2,2,2,2,2,2,2,2,1,2,7,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,10,1.0,5,2,,,,,,,,1,650.0441747491577,723.394478821047,843.8243719463068,1027.805401841207,969.0313189313644,1133.790800358399,1301.6199004,1744.4403436
900002,800007,241011510201,-1,241011510202,24,1,20,1,2,2,Car driver,3,1,13,4,06 Home,06 Home,02 Education (inc escort education),02 Education (inc escort education),7,7,2,0,1,0,2,2,1,2,2,2,2,2,2,2,2,1,2,9,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,10,2.0,10,2,,,,,,,,1,650.0441747491577,651.7464300600901,843.8243719463068,804.7909241819751,969.0313189313644,865.754835064204,1301.6199004,1181.4573358
900002,800009,241011510403,241011510402,-1,24,1,20,-1,2,2,Car passenger,4,1,16,1,03 Leisure,03 Leisure,06 Home,03 Leisure,16,16,4,0,1,0,2,2,2,2,1,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,10,1.0,5,2,,,,,,,,1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.6199004,1639.2657472
900003,800010,243932310101,-1,243932000000,24,5,30,1,2,2,Bus/tram,17,2,8,4,06 Home,06 Home,02 Education (inc escort education),02 Education (inc escort education),8,8,2,0,1,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,8,30,0,0,3,3,30,0,0,4,8,25,2.0,5,2,,,,,,,,1,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.2281513,1940.3678809
900003,800012,243932310301,-1,243932000000,24,5,30,1,2,2,Bus/tram,17,2,8,2,06 Home,06 Home,02 Education (inc escort education),02 Education (inc escort education),8,8,2,0,1,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,8,30,0,0,3,3,30,0,0,4,8,25,2.0,5,2,,,,,,,,1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.2281513,1951.2610395
900002,800006,241011510102,241011510101,241011510103,24,2,20,-1,2,2,Car driver,3,1,13,4,01 Usual/ other work,01 Usual/ other work,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),16,16,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,3,-1,-1,4,5,11,52,0,0,3,3,20,0,0,7,9,30,9.0,15,2,,,,,,,,3,650.0441747491577,723.394478821047,843.8243719463068,1027.805401841207,969.0313189313644,1133.790800358399,1301.6199004,1744.4403436
