phid,ppid,pdlcar,pdlmc,ppdlcar,ppdlmc,pdlpsv,pdlhgv,pdlnone,pdlage,pltd,pcarclub,ppoap,ppstaff,ppnofre,pfrbus,pfrtura,predbus,predtura,pnopass,ppoyster,ppopmbus,ppopmtc,ppopmsss,ppopmnone,ppkncp,ppkboro,ppkoth,ppknone,pncpcost,pborodcost,pothcost,pwkstat,pemplos,poccupa,pindustry,pewdrv,pewu,psttaddr,ptermt,phomesh,pstfreq,pwscard,pwssvd,pwsmcr,pwscyc,pwscarp,pwssvp,pwsmcp,pwsbus,pwsug,pwsovg,pwsnr,pwsdlr,pwstram,pwstaxi,pwswalk,pwsminicab,pwstflrail,pwsescooter,pwsriver,pwsomode,pwsmodeo,pwsmmode,pwspknr,pwspkv,pwspkvo,pwspkc,pwspkco,pwkyear,pwkmonth,pempyear,pawfh,pofwk,poftrwk,poftrwkdiff,poftrwkhm,pwrkhomesd,pwhdmon,pwhdtue,pwhdwed,pwhdthu,pwhdfri,pwhdsat,pwhdsun,pwhdref,pemplexpect,pworkpref,psechm,ptimead,pborn,pout,prntuw,prnthj,prntlh,prntwfh,prnttwc,prntstdy,prntcare,prntatcw,prntoth,pnotrips,ptmore,pnowktrp,pphysactspt,pphysactsptmin,pdel,pdeltak,pdelgro,pdelclo,pdelbooks,pdteltick,pdhhhditap,pdhealth,pdeloth,pcarclubf
900003,800010,-1,2,-1,2,2,-1,2,-1,-1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,-1,-1,-1,FT Worker,-1,-1,-1,-1,-1,-1,-1,2,-1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,-1,2,-1,-1,2,2,-1,14,-1,-1,-1,-1,-1,-1,-1,18,2,5,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,2,-1,5,8,5,8,2,8,8,8,8,-1
900003,800011,-1,2,-1,-1,-1,-1,-1,20,-1,-1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,-1,-1,-1,Under 16,1,1,16,9,2,-1,-1,2,2,2,2,-1,2,-1,2,2,2,2,2,2,2,2,2,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,2,-1,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,-1,1,8,8,8,6,8,4,8,8,-1
900003,800012,-1,2,2,2,2,-1,2,18,2,-1,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,1,-1,-1,-1,Student,-1,-1,15,-1,-1,-1,-1,2,1,2,2,-1,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,-1,2,-1,4,-1,-1,-1,-1,-1,1,-1,-1,4,5,-1,-1,10,1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,-1,2,-1,1,2,8,3,8,8,8,8,8,-1
900004,800013,1,2,2,-1,2,2,2,20,-1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,-1,-1,-1,FT Worker,1,-1,4,-1,3,1,2,2,1,2,2,2,2,2,2,-1,-1,1,2,2,2,-1,-1,2,2,2,2,-1,2,-1,14,-1,-1,-1,-1,-1,-1,9,-1,-1,5,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,-1,1,8,8,5,8,8,8,8,8,-1
900004,800014,2,-1,1,-1,-1,2,-1,-1,-1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1,-1,-1,-1,FT Worker,-1,-1,-1,-1,1,-1,-1,2,1,2,2,-1,2,2,2,-1,1,2,2,2,-1,2,2,2,2,-1,2,2,2,-1,1,-1,-1,-1,1,-1,-1,-1,18,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,-1,2,70,5,8,8,3,8,8,8,5,8,-1
900002,800006,2,2,2,2,2,2,2,-1,-1,-1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,-1,-1,-1,FT Worker,-1,-1,-1,-1,1,1,-1,2,-1,-1,2,2,2,2,-1,2,2,2,-1,2,2,2,-1,-1,2,2,2,2,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,4,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,-1,5,8,2,8,1,8,8,8,8,-1
900002,800007,1,-1,2,2,-1,2,-1,-1,-1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,-1,-1,-1,Under 16,3,7,8,-1,-1,1,1,2,-1,2,-1,2,2,2,2,2,-1,1,2,2,2,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,1,30,1,8,8,5,8,8,6,8,8,-1
900002,800008,-1,2,2,2,2,2,2,17,-1,-1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,1,-1,-1,-1,FT Worker,-1,4,13,9,-1,-1,-1,2,-1,2,2,2,2,2,2,2,2,1,-1,2,-1,2,2,1,2,2,2,2,2,-1,14,-1,-1,-1,-1,-1,2,-1,5,-1,5,5,0,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,-1,1,8,8,8,8,8,8,8,8,-1
900002,800009,1,2,-1,2,2,2,1,21,-1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,-1,-1,-1,Under 16,1,3,15,9,1,-1,1,2,-1,-1,-1,2,-1,2,2,2,2,2,2,2,2,-1,-1,1,-1,2,2,-1,-1,-1,8,-1,-1,-1,-1,-1,0,-1,16,4,-1,5,-1,-1,2,-1,-1,1,-1,-1,2,-1,-1,-1,2,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,-1,2,-1,5,8,8,8,8,8,8,8,8,-1
900001,800001,1,2,2,2,2,-1,2,17,-1,-1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,-1,-1,-1,Under 16,3,7,-1,9,-1,-1,-1,2,-1,2,2,2,2,-1,-1,2,-1,2,2,2,2,-1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,5,1,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,1,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,1,-1,1,8,8,4,8,8,2,8,8,-1
