phid,ppid,pyearid,phaboro,psex,pstaym25,pagei,pagecat,prelrsp,prelrspi,pegroup,pfrtram,pfrbus,pfrdlr,pfrug,pfrovg,pfrnr,pfrcard,pfrcarp,pfrmc,pfrltaxi,pfrtaxio,pfrwalk,pfrtflrail,pfrescooter,pfrriver,pcfrtram,pcfrbus,pcfrdlr,pcfrug,pcfrovg,pcfrnr,pcfrcard,pcfrcarp,pcfrmc,pcfrltaxi,pcfrtaxio,pcfrwalk,pcftfl,pcescooter,pcriver,pcfovall,pchcjowsw,pchcscu,pchcmwl,pchcmtl,pchcother,pchccscu,pchchfc,pchcveh,pchwfhmore,pchwfhless,pchcnon,pafmjowsw,pafmscu,pafmmwl,pafmmtl,pafmother,pafmcscu,pafmhfc,pafmveh,pafwfhmore,pafwfhless,pafmnon,pmobilityscoot,pdiffescooter,pdiffriver,pcmuser,pmcmuser,pwsaboro,pwsciox,pwscioxb,pwsfarezn,pwsccz,plen,pfrcycle,phiwt,ppiwt,phiwtwkd,ppiwtwkd,phiwtttwkd,ppiwtttwkd,phiwttuesthurs,ppiwttuesthurs
900003,800012,24,17,1,1,45-59,-2,-1,3,,9,2,9,1,8,4,1,7,9,9,9,1,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,-1,-1,-1,2,2,2,2,-1,-1,-1,1,-1,2,-1,-1,2,2,2,2,-1,-1,1,2,3,3,0,0,14,3,3,0,0,,7,732.5973347428642,625.1080976675815,477.4579508546382,875.3072804770752,1411.271067447964,1403.404161227808,1616.023377715669,1940.367880875047
900001,800005,24,17,2,1,05-16,-2,-1,3,,9,8,9,7,9,2,1,6,9,8,7,3,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,2,-1,-1,-1,2,-1,2,-1,-1,2,-1,2,2,2,2,-1,-1,2,-1,2,-1,2,3,3,0,0,7,3,-1,0,0,,9,741.1762318382898,692.4343147718516,843.8243719463068,778.7360581214667,564.7154294769159,1102.260132703135,1861.228151308522,1683.494116579796
900001,800004,24,20,1,1,05-16,-2,-1,3,,9,8,9,4,8,4,1,3,9,9,9,1,4,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,1,2,-1,-1,2,-1,-1,2,2,1,2,1,-1,-1,-1,-1,-1,2,2,-1,2,2,3,3,0,0,-1,-1,3,0,0,-1,8,732.5973347428642,651.7464300600901,843.8243719463068,875.3072804770752,564.7154294769159,1133.790800358399,,
900002,800009,24,17,2,1,05-16,-2,3,3,"02 Mixed, Other and Arab",9,6,8,1,7,7,9,7,9,9,7,4,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,2,2,-1,2,2,-1,-1,2,2,-1,2,-1,2,-1,-1,2,2,-1,2,2,1,2,3,3,0,0,13,1,2,0,-1,,9,650.0441747491577,311.0834645587338,988.9682240335372,1027.233856061794,969.0313189313644,1257.022829504672,1301.619900387857,1301.045513572652
900001,800003,24,20,2,1,05-16,-2,1,-1,,9,1,8,7,8,7,9,3,9,9,9,1,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,-1,2,-1,2,2,-1,2,2,2,2,-1,-1,-1,2,-1,-1,2,2,1,2,3,3,2,0,17,1,3,0,0,,1,349.4639876363681,589.2985564138564,988.9682240335372,1027.805401841207,1411.271067447964,1297.208038904117,1616.023377715669,
900002,800008,24,30,5,1,17-24,-2,1,1,"02 Mixed, Other and Arab",8,2,8,1,9,8,9,4,9,9,7,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,2,-1,-1,-1,2,2,-1,2,2,2,-1,2,-1,2,2,-1,2,2,2,2,-1,2,3,3,0,0,30,3,1,-1,0,,8,741.1762318382898,686.301558950905,1204.549106165227,814.6732793028635,1261.8471445228,1064.181920881717,1301.619900387857,1951.26103953192
900004,800014,24,30,2,1,25-44,-2,3,-1,,9,4,9,5,7,4,9,9,9,9,7,3,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-1,2,2,2,2,-1,2,2,-1,-1,2,-1,2,2,-1,-1,2,-1,2,2,2,2,3,3,0,0,20,3,3,0,0,,8,650.0441747491577,725.2277881032364,988.9682240335372,804.7909241819751,1261.8471445228,1464.059600704597,1616.023377715669,1757.013833644183
900004,800013,24,20,2,1,17-24,-2,3,1,,8,8,9,4,8,8,9,1,9,9,6,1,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,2,-1,2,2,2,2,-1,2,2,2,2,2,2,-1,-1,2,-1,2,2,3,3,0,0,20,2,1,0,0,-1,9,741.1762318382898,625.1080976675815,843.8243719463068,590.7296624657617,1261.8471445228,1485.57058682717,1861.228151308522,1639.265747163898
900003,800011,24,31,2,1,45-59,-2,-1,1,"02 Mixed, Other and Arab",9,1,9,2,9,7,9,3,9,9,9,1,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-1,2,1,-1,-1,2,2,2,-1,1,2,2,2,-1,2,-1,2,2,-1,-1,1,2,3,3,1,0,52,2,2,0,0,,9,349.4639876363681,695.5124568849158,477.4579508546382,778.7360581214667,1261.8471445228,860.4826895991307,1616.023377715669,1181.457335776992
900003,800010,24,17,2,1,05-16,-2,3,-1,04 Black,9,4,8,7,7,6,9,1,9,8,9,1,7,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-1,-1,2,2,2,2,2,2,2,1,-1,1,-1,1,2,2,2,2,2,2,1,2,3,3,0,0,17,-1,5,0,-1,,9,741.1762318382898,428.7823274203158,843.8243719463068,907.4937930125824,1411.271067447964,865.754835064204,1616.023377715669,1639.265747163898
