HOUSEID,PERSONID,TDCASEID,TDTRPNUM,MSACAT,RAIL,CDIVMSAR,TRPTRANS,TRPPUB,PSGR_FLG,DRVR_FLG,VEHUSED,WHODROVE,TRPHHVEH,HHMEMDRV,URBRUR,WHYFROM,HTHUR,HBHUR,IMPTAGE,IMPTSEX,IMPTRACE,IMPTMILE,IMPTMIN,IMPTHOWN,IMPTHTYP,IMPTENTM,IMPTSTTM,IMPTTPUB,IMPTTRIP,TDMSDTRP,TPOVRLAP,AWAYHOME,DRIVER,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,ONTD_P11,ONTD_P12,PASSPURP,PUBTYPE,R_RELAT,TRACC1,TRACC2,TRACC3,TRACC4,TRACC5,TREGR1,TREGR2,TREGR3,TREGR4,TREGR5,WORKER,TRPHHACC,WHYTO,TDWKND,ONTD_P13,ONTD_P14,WHYTRP1S,STRTTIME,TRPDIST,ENDHOUR,TRACCTM,TRWAITTM,TRPBLKS,EDUC,OUTOFTWN,PROXY,PROXCAT,HHR_HISP,HHR_RACE,HHR_DRVR,HHR_WRKR,R_SEX,TRAVDAY,TDAYDATE,TDBOA911,SMPLAREA,SMPLFIRM,SMPLSRCE,HOMEOWN,HOMETYPE,HHR_EDUC,LANG,HHRESP,HHFAMINC,HHSIZE,URBAN,MSASIZE,CENSUS_R,CENSUS_D,HH_ONTD,NUMONTRP,DWELTIME,EDITMODE,EDITPURP,EDITSTTM,EDITENTM,EDITMILE,EDITMIN,FLGNXTDY,STRTHR,STRTMIN,ENDMIN,WHYTRP90,TRVL_MIN,WHYTRP01,TRVLCMIN,HHINCTTL,TRPNUMSQ,WTTRDNTL,EXPFLTDN,WTTRDFIN,EXPFLLTD,NONHHCNT,TRPMILES,TREGRTM,HHSTATE,HHSTFIPS,HHC_MSA,ENDTIME,VEHID,HTPPOPDN,HTHRESDN,HBPPOPDN,HBHRESDN,HBHTNRNT,HTEEMPDN,HTHTNRNT,VEHTYPE,PRMACT,R_AGEWGT,TRIPPURP,ENDTRAV,BEGTRAV,OCCAT,NUMADLT,HHVEHCNT,WRKCOUNT,R_AGE,LIF_CYC,DRVRCNT,MSAPOP
10578085,1,105780850101,1,4,2,34,2,-1,1,2,1,2,1,1,2,1,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,30,2,-1,-1,5,1320,12,13,-1,-1,-1,2,-1,1,5,2,1,1,1,2,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,4,4,21,2,2,2,2,2,2,2,13,20,49,6,29,30,29,11,1,2109747.3879,2626888.5193,1977768.7925,2372357.3143,0,12.0,-1,IN,18,9999,1349,1,50,25,50,25,5,25,5,2,1,38,4,200106,200105,1,2,3,2,38,6,2,-1
10578085,1,105780850102,2,4,2,34,2,-1,1,2,1,2,1,1,2,30,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,41,2,-1,-1,6,1410,1,14,-1,-1,1,2,-1,1,5,2,1,1,1,2,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,4,4,34,2,2,2,2,2,2,2,14,10,11,3,1,41,1,11,2,2109747.3879,2626888.5193,1977768.7925,2372357.3143,0,0.1111111111,-1,IN,18,9999,1411,1,50,25,50,25,5,25,5,2,1,38,5,200106,200105,1,2,3,2,38,6,2,-1
10578085,1,105780850103,3,4,2,34,2,-1,1,2,1,2,1,1,2,41,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,41,2,-1,-1,6,1445,15,15,-1,-1,-1,2,-1,1,5,2,1,1,1,2,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,4,4,55,2,2,2,2,2,2,2,14,45,10,3,25,41,25,11,3,2109747.3879,2626888.5193,1977768.7925,2372357.3143,0,15.0,-1,IN,18,9999,1510,1,50,25,50,25,5,25,5,2,1,38,5,200106,200105,1,2,3,2,38,6,2,-1
10578085,1,105780850104,4,4,2,34,2,-1,1,2,1,2,1,1,2,41,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,12,1605,28,16,-1,-1,-1,2,-1,1,5,2,1,1,1,2,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,4,4,-1,2,2,2,2,2,2,2,16,5,50,3,45,1,45,11,4,2109747.3879,2626888.5193,1977768.7925,2372357.3143,0,28.0,-1,IN,18,9999,1650,1,50,25,50,25,5,25,5,2,1,38,2,200106,200105,1,2,3,2,38,6,2,-1
10578085,2,105780850201,1,4,2,34,2,-1,1,2,1,-1,1,1,2,1,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,52,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,73,2,-1,-1,10,730,4,7,-1,-1,-1,2,-1,2,4,2,1,1,1,1,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,3,3,210,2,2,2,2,2,2,2,7,30,35,4,5,73,5,11,1,2280605.5283,2702295.8318,2160160.5411,2460392.351,0,4.0,-1,IN,18,9999,735,1,50,25,50,25,5,25,5,2,1,38,4,200106,200105,1,2,3,2,38,6,2,-1
10578085,2,105780850202,2,4,2,34,2,-1,1,2,1,-1,1,1,2,73,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,12,1105,4,11,-1,-1,-1,2,-1,2,4,2,1,1,1,1,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,3,3,130,2,2,2,2,2,2,2,11,5,10,4,5,1,5,11,2,2280605.5283,2702295.8318,2160160.5411,2460392.351,0,4.0,-1,IN,18,9999,1110,1,50,25,50,25,5,25,5,2,1,38,4,200106,200105,1,2,3,2,38,6,2,-1
10578085,2,105780850203,3,4,2,34,2,-1,2,1,1,2,1,1,2,1,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,41,2,-1,-1,6,1320,12,13,-1,-1,-1,2,-1,2,4,2,1,1,1,1,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,4,4,21,2,2,2,2,2,2,2,13,20,49,3,29,41,29,11,3,2280605.5283,2702295.8318,2160160.5411,2460392.351,0,12.0,-1,IN,18,9999,1349,1,50,25,50,25,5,25,5,2,1,38,2,200106,200105,1,2,3,2,38,6,2,-1
10578085,2,105780850204,4,4,2,34,2,-1,2,1,1,2,1,1,2,41,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,41,2,-1,-1,6,1410,1,14,-1,-1,1,2,-1,2,4,2,1,1,1,1,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,4,4,34,2,2,2,2,2,2,2,14,10,11,3,1,41,1,11,4,2280605.5283,2702295.8318,2160160.5411,2460392.351,0,0.1111111111,-1,IN,18,9999,1411,1,50,25,50,25,5,25,5,2,1,38,5,200106,200105,1,2,3,2,38,6,2,-1
10578085,2,105780850205,5,4,2,34,2,-1,2,1,1,2,1,1,2,41,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,41,2,-1,-1,6,1445,15,15,-1,-1,-1,2,-1,2,4,2,1,1,1,1,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,4,4,55,2,2,2,2,2,2,2,14,45,10,3,25,41,25,11,5,2280605.5283,2702295.8318,2160160.5411,2460392.351,0,15.0,-1,IN,18,9999,1510,1,50,25,50,25,5,25,5,2,1,38,5,200106,200105,1,2,3,2,38,6,2,-1
10578085,2,105780850206,6,4,2,34,2,-1,2,1,1,2,1,1,2,41,R,R,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,12,1605,28,16,-1,-1,-1,2,-1,2,4,2,1,1,1,1,5,200106,1,10,1,1,1,1,2,1,1,11,4,4,6,2,3,4,4,205,2,2,2,2,2,2,2,16,5,50,3,45,1,45,11,6,2280605.5283,2702295.8318,2160160.5411,2460392.351,0,28.0,-1,IN,18,9999,1650,1,50,25,50,25,5,25,5,2,1,38,2,200106,200105,1,2,3,2,38,6,2,-1
