HOUSEID,PERSONID,FRSTHM,OUTOFTWN,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,ONTD_P11,ONTD_P12,ONTD_P13,ONTD_P14,ONTD_P15,TDCASEID,HH_HISP,HH_RACE,DRIVER,R_SEX,WORKER,DRVRCNT,HHFAMINC,HHSIZE,HHVEHCNT,NUMADLT,FLAG100,LIF_CYC,TRIPPURP,AWAYHOME,CDIVMSAR,CENSUS_D,CENSUS_R,DROP_PRK,DRVR_FLG,EDUC,ENDTIME,HH_ONTD,HHMEMDRV,HHRESP,HHSTATE,HHSTFIPS,INTSTATE,MSACAT,MSASIZE,NONHHCNT,NUMONTRP,PAYTOLL,PRMACT,PROXY,PSGR_FLG,R_AGE,RAIL,STRTTIME,TRACC1,TRACC2,TRACC3,TRACC4,TRACC5,TRACCTM,TRAVDAY,TREGR1,TREGR2,TREGR3,TREGR4,TREGR5,TREGRTM,TRPACCMP,TRPHHACC,TRPHHVEH,TRPTRANS,TRVL_MIN,TRVLCMIN,TRWAITTM,URBAN,URBANSIZE,URBRUR,USEINTST,USEPUBTR,VEHID,WHODROVE,WHYFROM,WHYTO,WHYTRP1S,WRKCOUNT,DWELTIME,WHYTRP90,TDTRPNUM,TDWKND,TDAYDATE,TRPMILES,WTTRDFIN,VMT_MILE,PUBTRANS,HOMEOWN,HOMETYPE,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,GASPRICE,VEHTYPE,HH_CBSA,HHC_MSA
22711175,1,1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227111750101,2,1,1,2,1,2,17,2,2,2,1,2,HBW,-1,54,5,3,-1,1,3,715,1,-1,1,NC,37,1,4,6,0,1,2,1,2,2,47,2,615,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,0,1,3,60,60,-1,4,6,2,1,2,1,1,1,11,10,2,590,1,1,2,200810,51.0,107183.09651,51.0,2,1,1,TC,50,20,50,25,50,20,50,366.4,3,XXXXX,-1
22711175,1,1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227111750102,2,1,1,2,1,2,17,2,2,2,1,2,HBW,-1,54,5,3,-1,1,3,1800,1,-1,1,NC,37,1,4,6,0,1,2,1,2,2,47,2,1705,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,0,1,3,55,55,-1,4,6,2,1,2,1,1,11,1,1,2,-9,1,2,2,200810,51.0,107183.09651,51.0,2,1,1,TC,50,20,50,25,50,20,50,366.4,3,XXXXX,-1
22711175,2,1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227111750201,2,1,1,1,1,2,17,2,2,2,1,2,HBW,-1,54,5,3,-1,1,2,700,1,-1,1,NC,37,-1,4,6,0,1,-1,1,1,2,48,2,545,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,0,1,4,75,75,-1,4,6,2,2,2,2,2,1,11,10,2,255,1,1,2,200810,71.0,122808.61999,71.0,2,1,1,TC,50,20,50,25,50,20,50,366.4,4,XXXXX,-1
22711175,2,1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227111750202,2,1,1,1,1,2,17,2,2,2,1,2,NHB,-1,54,5,3,-1,-1,2,1215,1,-1,1,NC,37,-1,4,6,-1,1,-1,1,1,-1,48,2,1115,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,2,97,60,60,-1,4,6,2,2,2,-1,-1,11,12,10,2,225,1,2,2,200810,13.0,122808.61999,-1.0,2,1,1,TC,50,20,50,25,50,20,50,366.4,-1,XXXXX,-1
22711175,2,1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227111750203,2,1,1,1,1,2,17,2,2,2,1,2,HBW,-1,54,5,3,-1,1,2,1700,1,-1,1,NC,37,-1,4,6,0,1,-1,1,1,2,48,2,1600,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,0,1,4,60,60,-1,4,6,2,2,2,2,2,12,1,1,2,-9,1,3,2,200810,71.0,122808.61999,71.0,2,1,1,TC,50,20,50,25,50,20,50,366.4,4,XXXXX,-1
28523763,1,1,-1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630101,2,1,1,2,2,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,1,3,805,2,1,1,GA,13,-1,4,6,0,2,-1,4,1,2,36,2,803,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,4,6,2,2,2,2,1,1,73,70,1,0,4,1,2,200810,1.0,189149.87598,1.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,1,1,-1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630102,2,1,1,2,2,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,1,3,812,2,1,1,GA,13,-1,4,6,0,2,-1,4,1,2,36,2,805,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,1,1,1,7,7,-1,4,6,2,2,2,2,1,73,1,1,1,376,4,2,2,200810,1.0,189149.87598,1.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,1,1,-1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630103,2,1,1,2,2,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,1,3,1430,1,-1,1,GA,13,-1,4,6,0,1,-1,4,1,2,36,2,1428,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,0,1,1,2,2,-1,4,6,2,2,2,2,1,1,71,70,1,20,4,3,2,200810,1.0,189149.87598,1.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,1,1,-1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630104,2,1,1,2,2,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,1,3,1453,2,1,1,GA,13,-1,4,6,0,2,-1,4,1,2,36,2,1450,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,1,1,1,3,3,-1,4,6,2,2,2,2,1,71,1,1,1,-9,4,4,2,200810,1.0,189149.87598,1.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,2,1,-1,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630201,2,1,1,1,1,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,1,5,746,2,1,1,GA,13,1,4,6,0,2,2,1,1,2,40,2,730,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,1,1,1,16,16,-1,4,6,2,1,2,1,2,1,73,70,1,2,4,1,2,200810,14.0,301676.44117,14.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
