HOUSEID,PERSONID,TDTRPNUM,STRTTIME,ENDTIME,TRVLCMIN,TRPMILES,TRPTRANS,TRPACCMP,TRPHHACC,VEHID,TRWAITTM,NUMTRANS,TRACCTM,DROP_PRK,TREGRTM,WHODROVE,WHYFROM,LOOP_TRIP,TRPHHVEH,HHMEMDRV,HH_ONTD,NONHHCNT,NUMONTRP,PSGR_FLG,PUBTRANS,TRIPPURP,DWELTIME,TDWKND,VMT_MILE,DRVR_FLG,WHYTRP1S,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,ONTD_P11,ONTD_P12,ONTD_P13,TDCASEID,TRACC_WLK,TRACC_POV,TRACC_BUS,TRACC_CRL,TRACC_SUB,TRACC_OTH,TREGR_WLK,TREGR_POV,TREGR_BUS,TREGR_CRL,TREGR_SUB,TREGR_OTH,WHYTO,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,GASPRICE,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,R_AGE,EDUC,R_SEX,PRMACT,PROXY,WORKER,DRIVER,WTTRDFIN,WHYTRP90,TRPMILAD,R_AGE_IMP,R_SEX_IMP,VEHTYPE,OBHUR,DBHUR,OTHTNRNT,OTPPOPDN,OTRESDN,OTEEMPDN,OBHTNRNT,OBPPOPDN,OBRESDN,DTHTNRNT,DTPPOPDN,DTRESDN,DTEEMPDN,DBHTNRNT,DBPPOPDN,DBRESDN
30056209,1,1,645,730,45,28.392,3,0,0,1,-1,-1,-1,-1,-1,1,1,2,1,1,1,0,1,2,2,HBW,540,2,28.392,1,10,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,47,5,1,1,2,1,1,229167.951288647,1,30.478812,47,1,1,U,S,30,7000,3000,3000,30,7000,3000,90,1500,300,350,90,3000,300
30056209,1,2,1630,1745,75,28.293,3,0,0,1,-1,-1,-1,-1,-1,1,3,2,1,1,1,0,1,2,2,HBW,-9,2,28.293,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,47,5,1,1,2,1,1,229167.951288647,1,30.3725355,47,1,1,S,U,90,1500,300,350,90,3000,300,30,7000,3000,3000,30,7000,3000
30056209,2,1,940,1015,35,18.494,6,0,0,3,-1,-1,-1,-1,-1,2,16,2,1,1,1,0,1,2,2,NHB,525,2,18.494,1,10,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,53,3,2,1,2,1,1,213391.778124613,1,19.853309,53,2,4,U,T,30,7000,3000,3000,30,7000,3000,30,300,50,75,5,750,300
30056209,2,2,1900,1935,35,18.407,6,0,0,3,-1,-1,-1,-1,-1,2,3,2,1,1,1,0,1,2,2,HBW,-9,2,18.407,1,1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,53,3,2,1,2,1,1,213391.778124613,1,19.7599145,53,2,4,T,U,30,300,50,75,5,750,300,30,7000,3000,3000,30,7000,3000
30056209,3,1,1135,1158,23,2.509,2,0,0,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,1,0,1,-1,2,HBO,77,2,-1.0,-1,20,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,18,2,1,5,1,2,1,366938.481264483,5,2.509,18,1,-1,U,S,30,7000,3000,3000,30,7000,3000,40,1500,750,750,50,1500,750
30056209,3,2,1315,1325,10,2.509,2,0,0,-1,-1,-1,-1,-1,-1,-1,8,2,2,-1,1,0,1,-1,2,HBO,-9,2,-1.0,-1,1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,18,2,1,5,1,2,1,366938.481264483,5,2.509,18,1,-1,S,U,40,1500,750,750,50,1500,750,30,7000,3000,3000,30,7000,3000
30056209,4,1,800,1300,300,3.098,3,0,0,2,-1,-1,-1,-1,-1,4,1,2,1,1,1,0,1,2,2,HBSHOP,60,2,3.098,1,40,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,77,2,2,6,1,2,1,219411.787068033,3,3.4545798,77,2,1,U,U,30,7000,3000,3000,30,7000,3000,60,7000,1500,1500,80,7000,3000
30056209,4,2,1400,1410,10,2.784,3,0,0,2,-1,-1,-1,-1,-1,4,11,2,1,1,1,0,1,2,2,NHB,10,2,2.784,1,80,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,77,2,2,6,1,2,1,219411.787068033,10,3.1044384,77,2,1,U,U,60,7000,1500,1500,80,7000,3000,30,7000,3000,3000,30,7000,1500
30056209,4,3,1420,1430,10,0.401,3,0,0,2,-1,-1,-1,-1,-1,4,13,2,1,1,1,0,1,2,2,HBSHOP,-9,2,0.401,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300562090403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,274.3,9,4,92,1,2,40900,2,77,2,2,6,1,2,1,219411.787068033,3,0.4471551,77,2,1,U,U,30,7000,3000,3000,30,7000,1500,30,7000,3000,3000,30,7000,3000
30176280,1,1,900,920,20,7.243,3,0,0,1,-1,-1,-1,-1,-1,1,1,2,1,1,1,0,1,2,2,HBSOCREC,340,2,7.243,1,50,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301762800101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,3,2,2,1,1,1,GA,13,2,0,201609,1,2,3,3,2,1,2,1,228.1,5,3,53,2,2,XXXXX,2,54,2,2,97,1,2,1,42155.0281080581,8,8.0766693,54,2,1,S,C,80,3000,1500,1500,70,7000,3000,50,300,50,25,60,3000,1500
