DayID	IndividualID	HouseholdID	PSUID	PersNo	TravDay	TravelYear	TravelWeekDay_B01ID	TravelWeekDay_B02ID	TravelWeekDay_B03ID	TravelDayType_B01ID	TravelDayTypeOld_B01ID	SurveyYear
700015	800003	900003	2010000217	1	3	2010	1	1	1	2	-10	2010
700040	800008	900006	2024000309	1	1	2024	2	1	1	3	-10	2024
700038	800007	900005	2016000514	2	5	2016	1	1	1	3	-10	2016
700045	800009	900006	2024000309	2	2	2024	3	1	1	3	-10	2024
700009	800002	900002	2005000292	1	3	2005	6	2	2	-10	1	2005
700019	800004	900003	2010000217	2	2	2010	7	3	2	1	-10	2010
700035	800007	900005	2016000514	2	1	2016	4	1	1	3	-10	2016
700029	800006	900005	2016000514	1	2	2016	5	1	1	3	-10	2016
700011	800002	900002	2005000292	1	5	2005	1	1	1	-10	2	2005
700020	800004	900003	2010000217	2	3	2010	1	1	1	2	-10	2010
700043	800008	900006	2024000309	1	7	2024	1	1	1	2	-10	2024
700002	800001	900001	2003000111	1	2	2003	2	1	1	-10	2	2003
700016	800003	900003	2010000217	1	4	2010	2	1	1	3	-10	2010
700008	800002	900002	2005000292	1	2	2005	5	1	1	-10	2	2005
700007	800002	900002	2005000292	1	1	2005	4	1	1	-10	2	2005
700041	800008	900006	2024000309	1	2	2024	3	1	1	3	-10	2024
700001	800001	900001	2003000111	1	1	2003	1	1	1	-10	2	2003
700044	800009	900006	2024000309	2	1	2024	2	1	1	3	-10	2024
700024	800005	900004	2011000058	1	3	2011	1	1	1	3	-10	2011
700034	800006	900005	2016000514	1	7	2016	3	1	1	3	-10	2016
700022	800004	900003	2010000217	2	6	2010	4	1	1	3	-10	2010
700033	800006	900005	2016000514	1	6	2016	2	1	1	3	-10	2016
700004	800001	900001	2003000111	1	4	2003	4	1	1	-10	2	2003
700028	800006	900005	2016000514	1	1	2016	4	1	1	3	-10	2016
700014	800003	900003	2010000217	1	2	2010	7	3	2	1	-10	2010
700023	800004	900003	2010000217	2	7	2010	5	1	1	3	-10	2010
700017	800003	900003	2010000217	1	7	2010	5	1	1	3	-10	2010
700032	800006	900005	2016000514	1	5	2016	1	1	1	3	-10	2016
700012	800002	900002	2005000292	1	6	2005	2	1	1	-10	2	2005
700047	800009	900006	2024000309	2	7	2024	1	1	1	2	-10	2024
700003	800001	900001	2003000111	1	3	2003	3	1	1	-10	2	2003
700013	800002	900002	2005000292	1	7	2005	3	1	1	-10	2	2005
700025	800005	900004	2011000058	1	5	2011	3	1	1	3	-10	2011
700039	800007	900005	2016000514	2	7	2016	3	1	1	3	-10	2016
700042	800008	900006	2024000309	1	3	2024	4	1	1	3	-10	2024
700010	800002	900002	2005000292	1	4	2005	7	3	2	-10	1	2005
700005	800001	900001	2003000111	1	5	2003	5	1	1	-10	2	2003
700036	800007	900005	2016000514	2	2	2016	5	1	1	3	-10	2016
700037	800007	900005	2016000514	2	3	2016	6	2	2	1	-10	2016
700018	800004	900003	2010000217	2	1	2010	6	2	2	1	-10	2010
700006	800001	900001	2003000111	1	6	2003	6	2	2	-10	1	2003
700030	800006	900005	2016000514	1	3	2016	6	2	2	1	-10	2016
700031	800006	900005	2016000514	1	4	2016	7	3	2	1	-10	2016
700021	800004	900003	2010000217	2	4	2010	2	1	1	3	-10	2010
700046	800009	900006	2024000309	2	3	2024	4	1	1	3	-10	2024
700026	800005	900004	2011000058	1	6	2011	4	1	1	3	-10	2011
700027	800005	900004	2011000058	1	7	2011	5	1	1	3	-10	2011
