StageID	TripID	DayID	IndividualID	HouseholdID	PSUID	VehicleID	IndTicketID	PersNo	TravDay	JourSeq	StageSeq	StageDistance	StageDistance_B01ID	StageTime	StageTime_B01ID	StageMode_B03ID	StageMode_B04ID	StageMode_B11ID	StageShortWalk_B01ID	NumBoardings	NumBoardings_B01ID	NumParty	NumParty_B01ID	NumPartyChild	NumPartyChild_B01ID	NumPartyAdult	NumPartyAdult_B01ID	StageVehicle	StageVehicle_B01ID	StageOccupant_B01ID	TicketNumber	TicketType_B01ID	StageFareCost	StageFareCost_B01ID	ShortWalkDay_B01ID	StagePassCost	StagePassCost_B01ID	StageCost	StageCost_B01ID	StageMain_B01ID	SSXSC	STTXSC	SD	WhereParked_B01ID	SurveyYear
500105	600103	700033	800006	2016004999	2016000514	2016006272		1	6	5	1	4.1	4	10	3	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	10	4.1	-10	2016
500045	600045	700019	800004	2010002833	2010000217	2010003460		2	2	2	1	4.0	4	12	3	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500110	600108	700035	800007	2016004999	2016000514	2016006273		2	1	1	1	0.7	1	3	2	5	3	5	2		-9	1	1		-9		-9	2	2	1	-9	-9		-9	2		-9		-9	1	1	3	0.7	-10	2016
500119	600117	700037	800007	2016004999	2016000514	2016006272		2	3	4	1	6.2	5	12	3	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	12	6.2	-10	2016
500125	600123	700039	800007	2016004999	2016000514	2016006272		2	7	1	1	13.3	6	30	5	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	30	13.3	-10	2016
500070	600069	700028	800006	2016004999	2016000514			1	1	4	2	0.17	1	3	2	1	1	1	1		-9	1	1		-9		-9		-9	-9	-9	-9		-9	2		-9		-9	2	7	21	1.19	-10	2016
500068	600068	700028	800006	2016004999	2016000514	2016006272		1	1	3	1	1.5	2	4	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	4	1.5	-10	2016
500041	600041	700017	800003	2010002833	2010000217	2010003460		1	7	2	1	3.0	4	20	4	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	-10		-9		-9	1	1	20	3.0	-10	2010
500109	600107	700034	800006	2016004999	2016000514	2016006272		1	7	4	1	5.4	5	10	3	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	10	5.4	-10	2016
500104	600102	700033	800006	2016004999	2016000514	2016006272		1	6	4	1	1.4	2	5	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	5	1.4	-10	2016
500113	600111	700035	800007	2016004999	2016000514	2016006273		2	1	4	1	0.7	1	3	2	5	3	5	2		-9	1	1		-9		-9	2	2	1	-9	-9		-9	2		-9		-9	1	1	3	0.7	-10	2016
500150	600144	700046	800009	2024002100	2024000309	2024002738		2	3	2	1	0.75	1	6	2	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	6	0.75	-10	2024
500096	600094	700032	800006	2016004999	2016000514	2016006272		1	5	4	1	4.1	4	12	3	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	12	4.1	-10	2016
500116	600114	700037	800007	2016004999	2016000514	2016006272		2	3	1	1	7.3	5	15	4	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	15	7.3	-10	2016
500027	600027	700012	800002	2005004016	2005000292			1	6	1	1	7.0	5	36	5	19	8	13	2	1	1	1	1		-9		-9		-9	-9	-9	1	0.4	6	-10	0.0	1	0.4	6	1	1	36	7.0	-9	2005
500029	600029	700013	800002	2005004016	2005000292			1	7	1	1	7.0	5	33	5	19	8	13	2	1	1	1	1		-9		-9		-9	-9	-9	1	0.4	6	-10	0.0	1	0.4	6	1	1	33	7.0	-9	2005
500004	600004	700002	800001	2003001535	2003000111		2003000912	1	2	2	1	9.0	5	33	5	22	10	16	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	1.64	10	1.64	10	1	1	33	9.0	-9	2003
500101	600099	700033	800006	2016004999	2016000514	2016006272		1	6	1	1	5.1	5	10	3	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	10	5.1	-10	2016
500057	600057	700023	800004	2010002833	2010000217	2010003460		2	7	4	1	3.0	4	20	4	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	20	3.0	-10	2010
500142	600136	700043	800008	2024002100	2024000309	2024002738		1	7	2	1	11.0	6	19	4	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	19	11.0	-10	2024
500017	600017	700008	800002	2005004016	2005000292		2005002517	1	2	2	1	7.0	5	33	5	19	8	13	2	1	1	1	1		-9		-9		-9	-9	1	15	0.0	1	-10	0.0	1	0.0	1	1	1	33	7.0	-9	2005
500148	600142	700045	800009	2024002100	2024000309	2024002738		2	2	4	1	2.5	3	15	4	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	15	2.5	-10	2024
500128	600126	700039	800007	2016004999	2016000514	2016006272		2	7	4	1	5.4	5	10	3	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	10	5.4	-10	2016
