TripID	DayID	IndividualID	HouseholdID	PSUID	PersNo	TravDay	JourSeq	HowComp_B01ID	SeriesCall_B01ID	ShortWalkTrip_B01ID	NumStages	NumStages_B01ID	MainMode_B03ID	MainMode_B04ID	MainMode_B11ID	TripPurpFrom_B01ID	TripPurpTo_B01ID	TripPurpose_B01ID	TripPurpose_B02ID	TripPurpose_B04ID	TripStartHours	TripStartMinutes	TripStart	TripStart_B01ID	TripStart_B02ID	TripEndHours	TripEndMinutes	TripEnd	TripEnd_B01ID	TripEnd_B02ID	TripDisIncSW	TripDisIncSW_B01ID	TripDisExSW	TripDisExSW_B01ID	TripTotalTime	TripTotalTime_B01ID	TripTravTime	TripTravTime_B01ID	TripOrigGOR_B02ID	TripDestGOR_B02ID	JJXSC	JOTXSC	JTTXSC	JD	W5	W5xHH	SurveyYear
600003	700002	800001	900001	2003000111	1	2	1	2	2	2	1	1	22	10	16	23	1	1	1	1	7	15	435	8	10	7	45	465	8	12	9.0	5	9.0	5	30	5	25	4	7	7	1	30	25	9.0	1.42997777462006	1.00761512141338	2003
600138	700044	800009	900006	2024000309	2	1	2	2	2	2	1	1	5	3	5	6	23	7	7	6	11	52	712	12	23	12	15	735	13	24	1.0	2	1.0	2	23	4	6	2	5	5	1	23	6	1.0	0.650519335909	1.0	2024
600126	700039	800007	900005	2016000514	2	7	4	2	2	2	1	1	7	4	6	10	23	10	8	7	18	23	1103	19	40	18	33	1113	19	41	5.4	5	5.4	5	10	3	10	3	2	2	1	10	10	5.4	0.89837274935743	1.09369682184992	2016
600093	700032	800006	900005	2016000514	1	5	3	2	2	2	1	1	5	3	5	10	23	10	8	7	11	4	664	12	22	11	6	666	12	22	0.7	1	0.7	1	2	1	2	1	2	2	1	2	2	0.7	0.84282367630119	1.02607027740968	2016
600073	700028	800006	900005	2016000514	1	1	8	2	2	1	1	1	1	1	1	5	5	6	5	4	16	9	969	17	32	16	16	976	17	32	0.17	1	0.0	1	7	2	7	2	2	2	7	49	49	1.19	0.83489772765656	1.01642107029267	2016
600095	700032	800006	900005	2016000514	1	5	5	2	2	2	1	1	5	3	5	22	12	13	10	7	15	10	910	16	30	15	25	925	16	30	5.7	5	5.7	5	15	4	15	4	2	2	1	15	15	5.7	0.84282367630119	1.02607027740968	2016
600120	700038	800007	900005	2016000514	2	5	3	2	2	2	1	1	7	4	6	10	23	10	8	7	11	4	664	12	22	11	6	666	12	22	0.7	1	0.7	1	2	1	2	1	2	2	1	2	2	0.7	0.84282367630119	1.02607027740968	2016
600106	700034	800006	900005	2016000514	1	7	3	2	2	2	1	1	5	3	5	5	10	10	8	7	15	15	915	16	30	15	49	949	16	31	10.3	6	10.3	6	34	5	34	5	2	2	1	34	34	10.3	0.89837274935743	1.09369682184992	2016
600026	700011	800002	900002	2005000292	1	5	2	2	2	2	1	1	5	3	5	1	23	1	1	1	15	31	931	16	31	15	51	951	16	31	7.0	5	7.0	5	20	4	20	4	11	11	1	20	20	7.0	0.9607612490654	1.07160427657815	2005
600050	700021	800004	900003	2010000217	2	4	2	2	2	2	1	1	5	3	5	23	14	15	12	7	19	0	1140	20	42	19	15	1155	20	42	4.0	4	4.0	4	15	4	12	3	8	8	1	15	12	4.0	0.77522155810472	1.0	2010
600030	700013	800002	900002	2005000292	1	7	2	2	2	2	1	1	19	8	13	1	23	1	1	1	15	30	930	16	31	15	55	955	16	31	7.0	5	7.0	5	25	4	25	4	11	11	1	25	25	7.0	0.98508137464523	1.09873021510202	2005
600141	700045	800009	900006	2024000309	2	2	3	2	2	2	1	1	5	3	5	23	22	23	6	5	15	40	940	16	31	15	55	955	16	31	2.5	3	2.5	3	15	4	15	4	5	5	1	15	15	2.5	0.650519335909	1.0	2024
600083	700029	800006	900005	2016000514	1	2	4	2	2	2	1	1	5	3	5	10	8	9	7	6	15	43	943	16	31	16	0	960	17	32	7.9	5	7.9	5	17	4	17	4	2	2	1	17	17	7.9	0.87313087419151	1.06296686185699	2016
