OP	OPID	Steekproef	Mode	HHPers	HHSam	HHPlOP	HHLft1	HHLft2	HHLft3	HHLft4	WoPC	WoGem	Sted	GemGr	Prov	Corop	BuurtAdam	MRA	Geslacht	Leeftijd	KLeeft	Herkomst	BetWerk	OnbBez	MaatsPart	Opleiding	HHBestInkG	HHGestInkG	HHLaagInk	HHSocInk	HHWelvG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto	HHAutoL	OPAuto	BrandstofPa1	XBrandstofPa1	BrandstofEPa1	BouwjaarPa1	KBouwjaarPa1	KGewichtPa1	TenaamPa1	BrandstofPa2	XBrandstofPa2	BrandstofEPa2	BouwjaarPa2	KBouwjaarPa2	KGewichtPa2	TenaamPa2	BrandstofPaL	XBrandstofPaL	BrandstofEPaL	BouwjaarPaL	KBouwjaarPaL	KGewichtPaL	HHMotor	OPMotor	HHBrom	OPBrom	HHSnor	OPSnor	HHEFiets	HHBezitVm	OPBezitVm	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqBrSnor	OVStKaart	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl	AantOVVpl	AantSVpl	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC	VertPCBL	VertGem	VertProv	VertCorop	VertMRA	AankGeb	AankPC	AankPCBL	AankGem	AankProv	AankCorop	AankMRA	PCG	GemG	PCBLG	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	SPlaats1	SPlaats2	SPlaats3	SPlaats4	SPlaats5	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RVertStat	RAankStat	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
1	900001	1	1	5	2	3	0	3	0	1	3572	344	4	4	2	17	0	18	1	79	13	1	5	0	4	7	10	9	8	9	6	2	0	2	1	0	1	1	1	0	1	0	0	2014	1	4	2	7	7	0	9995	9	7	3	7	0	0	9995	9	7	0	0	0	0	0	0	0	1	3	2	1	5	4	2	5	5	4	2018	2	45	7	3	0	1	0	0	0	0	6	0	0	1	2	2	2	4	4	2	4	2	4	2	4	2	3	2	3	2	3	11	85	220	0	""	5614768964501	1	0	1	6	5	1	3	12	1	0	2741	1	627	7	4	18	0	9101	1	58	9	37	18	0	0	0	190	9	1	4	5	15	0	8	15	10	30	7	120	0	9			 	 	 	 	 											0	0	1	560201142290101	1	100	0	8	1	1	2	7	7	45	7	10	10	0	000	000	13	0	0	168.3682262551706	273.8270648729569	126647.56680253826
1	900002	1	1	3	1	1	0	0	0	2	9137	627	2	4	7	33	0	18	2	55	17	2	5	9	1	1	10	4	8	9	9	2	0	2	1	0	0	3	0	0	3	0	0	2015	1	1	1	7	0	6	9995	9	7	2	7	0	6	9995	4	1	0	0	0	0	0	0	1	2	0	5	5	5	4	6	3	5	4	2018	5	21	25	4	0	1	0	0	0	0	4	0	0	5	1	4	2	2	2	4	2	4	2	4	2	3	3	3	3	3	3	11	25	540	0	""	5583449311101	1	0	1	7	6	8	1	12	1	0	4741	1	344	9	37	18	0	3511	1	758	11	4	18	0	0	0	100	4	9	4	7	10	45	3	8	45	30	3	420	0	9			 	 	 	 	 											0	0	1	558684100250101	1	40	0	5	14	4	11	1	7	0	11	55	30	0	000	000	13	0	0	69.39592701508946	346.9796350754473	116892.1336586407
1	900003	1	1	2	3	3	0	2	1	3	4741	58	4	8	12	4	0	18	1	10	12	1	2	2	7	7	3	10	8	9	9	1	0	2	0	0	1	2	0	1	1	0	0	2000	1	2	2	1	7	6	2011	9	3	2	1	7	6	2015	9	7	0	0	0	0	0	0	0	3	3	1	5	3	4	1	4	5	4	2018	3	6	7	4	0	1	0	0	0	0	2	0	0	5	1	1	4	4	2	4	2	2	2	2	2	2	1	3	3	3	3	11	110	410	0	""	5595831839501	1	0	1	10	7	5	3	12	1	0	3572	1	984	12	33	18	0	2741	1	344	12	28	18	0	0	0	10	3	14	4	1	7	45	5	7	0	15	8	65	0	9			 	 	 	 	 											0	0	1	558344931110101	1	30	0	3	9	4	2	5	10	45	7	0	45	0	000	000	13	0	0	106.75080699419242	336.7364525103412	99946.87867862926
1	900004	1	1	1	3	4	0	0	0	2	5809	984	1	4	9	37	0	18	2	11	2	2	0	0	1	4	9	7	8	9	7	2	0	1	0	0	0	1	1	1	1	1	0	2006	4	2	1	1	0	0	9995	3	2	3	7	7	6	2013	9	7	0	0	0	0	0	0	0	3	0	3	5	5	2	1	2	5	4	2018	7	9	17	6	0	1	0	0	0	0	5	0	0	5	4	4	2	2	2	2	4	2	4	2	2	2	3	3	3	3	3	11	265	20	0	""	5602011422901	1	1	1	8	1	9	3	12	1	0	9137	1	1655	2	17	18	0	5809	1	627	2	17	18	0	0	0	30	8	1	1	6	7	0	3	8	15	45	4	25	1	1			 	 	 	 	 											0	0	1	559583183950101	1	30	0	4	8	1	11	6	7	30	15	45	15	0	000	000	13	0	0	414.1855768945937	320.25242098257723	122908.80516627454
1	900005	1	1	5	3	4	0	0	0	2	2741	1655	4	4	11	28	0	18	2	52	2	1	2	9	4	4	9	10	8	9	10	2	0	2	1	0	1	2	0	1	1	0	0	2005	4	5	1	7	7	6	2000	1	7	3	1	7	0	9995	4	6	0	0	0	0	0	0	0	2	3	2	5	5	5	6	1	5	4	2018	11	29	4	1	0	1	0	0	0	0	4	1	0	5	4	2	4	1	4	2	2	4	2	4	4	1	3	3	2	3	2	4	125	384	0	""	5586841002501	1	0	2	2	9	4	3	12	1	0	5809	1	58	11	28	18	0	4811	1	984	7	33	18	0	0	0	30	4	8	1	1	7	30	3	11	0	10	7	390	0	9			 	 	 	 	 											0	0	1	561476896450101	1	10	0	4	1	4	11	1	15	0	8	0	10	0	000	000	13	0	0	54.76541297459138	414.1855768945937	151177.73556652668
1	900001	1	1	2	2	3	0	0	0	2	4741	1655	4	4	11	33	0	18	2	55	13	1	2	0	1	4	9	9	8	9	9	2	0	2	1	0	1	3	1	1	1	0	0	2015	4	1	1	1	0	0	2011	3	2	2	1	0	0	2015	4	1	0	0	0	0	0	0	0	1	3	3	5	5	2	1	2	5	4	2018	2	6	7	4	0	1	0	0	0	0	4	1	0	5	1	2	2	1	2	2	2	2	2	2	2	2	3	3	3	3	3	11	110	384	0	1	5583449311101	1	0	2	2	1	1	3	12	1	0	4741	1	1655	11	33	18	0	4811	1	758	11	33	18	0	0	0	190	9	1	1	1	7	45	3	8	15	30	7	420	0	1			 	 	 	 	 											0	0	1	558344931110101	1	40	0	5	1	1	2	1	7	45	7	55	10	0	000	000	13	0	0	168.3682262551706	336.7364525103412	122908.80516627454
0	900001	1	1	2	2	3	0	0	0	2	4741	1655	4	4	11	33	0	18	2	55	13	1	2	0	1	4	9	9	8	9	9	2	0	2	1	0	1	3	1	1	1	0	0	2015	4	1	1	1	0	0	2011	3	2	2	1	0	0	2015	4	1	0	0	0	0	0	0	0	1	3	3	5	5	2	1	2	5	4	2018	2	6	7	4	0	1	0	0	0	0	4	1	0	5	1	2	2	1	2	2	2	2	2	2	2	2	3	3	3	3	3	11	110	384	0	1	5583449311102	2	0	2	1	1	1	3	12	3	0	4811	1	758	11	33	18	0	4741	1	1655	11	33	18	0	0	0	144	8	2	4	3	15	15	8	15	35	20	5	10	0	9			 	 	 	 	 											0	0	1	558344931110201	1	104	0	8	2	4	11	3	15	15	15	25	10	0	375	374	2	0	0	168.3682262551706	336.7364525103412	122908.80516627454
0	900001	1	1	2	2	3	0	0	0	2	4741	1655	4	4	11	33	0	18	2	55	13	1	2	0	1	4	9	9	8	9	9	2	0	2	1	0	1	3	1	1	1	0	0	2015	4	1	1	1	0	0	2011	3	2	2	1	0	0	2015	4	1	0	0	0	0	0	0	0	1	3	3	5	5	2	1	2	5	4	2018	2	6	7	4	0	1	0	0	0	0	4	1	0	5	1	2	2	1	2	2	2	2	2	2	2	2	3	3	3	3	3	11	110	384	0	1	5583449311103	3	1	1	10	9	8	3	12	1	0	4741	1	1655	11	33	18	0	4741	1	1655	11	33	18	0	0	0	20	3	9	4	6	15	45	8	16	15	30	7	105	0	9			 	 	 	 	 											0	0	1	558344931110301	1	20	0	3	9	4	11	6	15	45	16	15	30	0	000	000	13	0	0	168.3682262551706	336.7364525103412	122908.80516627454
0	900001	1	1	2	2	3	0	0	0	2	4741	1655	4	4	11	33	0	18	2	55	13	1	2	0	1	4	9	9	8	9	9	2	0	2	1	0	1	3	1	1	1	0	0	2015	4	1	1	1	0	0	2011	3	2	2	1	0	0	2015	4	1	0	0	0	0	0	0	0	1	3	3	5	5	2	1	2	5	4	2018	2	6	7	4	0	1	0	0	0	0	4	1	0	5	1	2	2	1	2	2	2	2	2	2	2	2	3	3	3	3	3	11	110	384	0	1	5583449311104	4	1	1	10	9	8	3	12	4	0	4741	1	1655	11	33	18	0	4741	1	1655	11	33	18	0	0	0	30	4	9	4	6	18	0	11	18	30	30	7		0	9			 	 	 	 	 											0	0	1	558344931110401	1	30	0	4	9	4	11	6	18	0	18	30	30	0	000	000	13	0	0	168.3682262551706	336.7364525103412	122908.80516627454
1	900002	1	1	5	3	4	0	3	0	2	3572	344	1	8	7	17	0	18	1	11	2	2	5	9	4	7	10	10	8	9	10	2	0	2	0	0	0	1	0	0	1	0	0	2005	1	4	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	0	1	5	3	4	6	3	5	4	2018	3	9	4	1	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	25	20	0	1	5586841002501	1	0	1	6	5	9	3	12	1	0	3572	1	344	7	17	18	0	3511	1	344	7	17	18	0	0	0	10	3	8	4	5	15	0	8	15	10	10	3	65	0	9			 	 	 	 	 											0	0	1	558684100250101	1	10	0	3	8	4	11	5	15	0	15	10	10	0	000	000	13	0	0	54.76541297459138	273.8270648729569	99946.87867862926
