OP	OPID	Steekproef	Mode	HHPers	HHSam	HHPlOP	HHLft1	HHLft2	HHLft3	HHLft4	WoPC	WoGem	Sted	GemGr	Prov	Corop	BuurtAdam	MRA	MRDH	Geslacht	Leeftijd	KLeeft	Herkomst	BetWerk	OnbBez	MaatsPart	Opleiding	HHBestInkG	HHGestInkG	HHLaagInk	HHSocInk	HHWelvG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto	HHAutoL	OPAuto	BrandstofPa1	XBrandstofPa1	BrandstofEPa1	BouwjaarPa1	KBouwjaarPa1	KGewichtPa1	TenaamPa1	BrandstofPa2	XBrandstofPa2	BrandstofEPa2	BouwjaarPa2	KBouwjaarPa2	KGewichtPa2	TenaamPa2	BrandstofPaL	XBrandstofPaL	BrandstofEPaL	BouwjaarPaL	KBouwjaarPaL	KGewichtPaL	HHMotor	OPMotor	HHBrom	OPBrom	HHSnor	OPSnor	HHEFiets	HHBezitVm	OPBezitVm	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqBrSnor	OVStKaart	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl	AantOVVpl	AantSVpl	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC	VertPCBL	VertGem	VertProv	VertCorop	VertMRA	VertMRDH	AankGeb	AankPC	AankPCBL	AankGem	AankProv	AankCorop	AankMRA	AankMRDH	PCG	GemG	PCBLG	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	SPlaats1	SPlaats2	SPlaats3	SPlaats4	SPlaats5	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RVertStat	RAankStat	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
1	900001	1	1	9	3	3	0	3	0	5	6732	228	4	4	9	13	0	11	17	1	35	13	1	3	1	2	3	8	5	8	9	5	2	0	1	1	1	1	0	1	1	7	0	0	2012	3	2	2	7	7	6	2012	9	1	2	7	7	0	2015	4	6	0	0	0	0	0	0	0	0	3	2	5	5	4	1	5	1	0	2019	8	2	4	3	0	1	0	0	0	0	3	0	0	5	4	4	2	2	2	2	4	2	4	2	4	2	3	2	3	2	2	11	195	207	0	""	5908923221501	1	0	1	5	9	8	3	12	1	0	3755	1	228	9	30	11	17	0	3281	1	402	8	99	99	18	0	0	0	230	4	1	1	1	8	30	3	8	15	58	2	2	0	9			 	 	 	 	 											0	0	1	591233322460101	1	6	0	2	18	1	11	6	8	10	15	20	58	0	000	000	13	0	0	122.20163546912153	488.8065418764861	46877.498044264765
1	900002	1	1	1	7	2	1	0	2	2	3344	392	1	7	6	31	0	18	18	2	55	8	1	3	0	2	3	6	6	8	9	5	1	1	3	1	0	0	3	1	1	1	7	6	2003	9	7	1	7	0	0	9995	3	7	3	7	0	0	9995	9	6	0	1	0	0	0	0	0	2	3	5	5	5	4	1	5	5	3	2019	2	8	14	2	0	1	0	0	0	0	7	0	0	5	1	2	2	4	2	4	2	4	2	4	2	1	2	3	3	3	3	11	40	400	0	""	5893414516701	1	0	1	2	2	2	3	12	1	0	2033	1	392	7	13	18	18	0	4501	1	1963	6	24	18	17	0	0	0	95	10	1	2	7	8	0	4	8	20	5	9	105	0	1			 	 	 	 	 											0	0	1	590892322150101	1	230	0	7	1	4	4	2	8	30	8	15	5	0	000	000	13	2	0	54.72741416802517	609.3586321590428	178414.38778491743
1	900003	1	1	4	1	1	0	1	2	1	4501	531	5	6	7	30	0	18	18	1	41	10	1	3	0	3	5	10	6	8	9	7	5	1	5	1	0	1	2	0	0	2	0	0	2007	1	5	3	1	0	6	2007	9	7	3	2	0	6	2004	1	7	0	0	0	0	0	0	0	1	0	3	5	5	5	1	2	5	4	2019	1	33	8	3	0	1	0	0	0	0	4	0	0	5	4	2	2	4	2	2	4	4	4	4	2	2	3	2	3	2	2	9	118	460	0	""	5617872904601	1	0	1	3	1	1	3	12	1	0	6732	1	317	10	21	18	18	0	6732	1	9999	99	13	18	18	0	0	0	30	2	9	4	2	10	0	8	10	35	10	4	15	1	1			 	 	 	 	 											0	0	1	589651886910101	1	95	0	14	1	2	2	1	7	0	8	28	10	0	000	000	13	0	0	25.68630029822727	437.81931334420136	119577.94905444128
1	900004	1	1	5	3	3	0	0	0	5	3755	317	2	2	8	17	0	18	18	2	33	9	1	2	0	1	3	8	8	8	9	7	1	1	2	0	0	1	1	1	0	1	0	0	2007	1	4	1	7	7	0	9995	9	5	2	1	0	6	2004	1	7	0	0	0	0	0	0	0	1	0	1	5	4	5	5	2	5	4	2019	1	23	18	4	0	1	0	0	0	0	2	0	0	5	1	4	4	2	4	2	2	2	2	2	4	1	1	3	1	3	3	4	80	2030	0	""	5912333224601	1	0	1	10	4	2	3	12	1	0	4501	1	531	6	17	18	18	0	0000	1	228	10	31	14	18	0	0	0	940	7	18	1	1	7	10	5	15	15	75	3	25	0	9			 	 	 	 	 											0	0	1	589341451670101	1	30	0	10	1	4	11	1	10	0	10	35	75	0	000	000	13	0	0	121.87172643180857	327.6108193272364	222415.90073805064
1	900005	1	1	5	4	3	0	0	0	2	2033	1714	2	4	10	21	0	18	18	1	39	9	3	1	0	2	3	8	9	8	9	10	3	0	1	1	0	1	4	0	1	1	0	0	9995	1	3	1	1	7	6	9995	1	7	3	2	7	0	9995	9	3	1	0	0	0	2	2	0	3	3	2	5	5	5	2	3	5	0	2019	6	4	25	6	0	1	0	0	0	0	12	0	0	5	1	2	4	2	4	4	2	2	2	2	2	2	3	3	2	3	3	11	108	109	0	""	5896518869101	1	1	1	3	2	9	3	12	1	0	3344	1	1714	8	31	18	18	0	1213	1	1714	9	29	18	99	0	0	0	6	14	1	4	6	14	30	4	8	28	15	8	512	0	1			 	 	 	 	 											0	0	1	561787290460101	1	940	0	4	9	1	1	7	14	30	8	15	15	0	000	000	13	0	0	327.6108193272364	128.43150149113634	159804.0493706335
1	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904601	1	1	1	10	9	8	3	12	1	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	6	2	9	4	6	8	10	4	8	20	10	3	25	0	9			 	 	 	 	 											0	0	1	561787290460101	1	6	0	2	9	4	11	6	8	10	8	20	10	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904602	2	0	1	2	1	1	3	12	4	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	14	3	8	4	5	8	45	4	8	50	5	2	160	0	1			 	 	 	 	 											0	0	1	561787290460201	1	14	0	3	8	4	11	5	8	45	8	50	5	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904603	3	0	1	8	7	4	0	12	3	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	5	2	8	4	5	11	30	5	11	35	5	2	10	0	9			 	 	 	 	 											0	0	1	561787290460301	1	5	0	2	8	4	11	5	11	30	11	35	5	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904604	4	0	1	1	7	4	3	12	4	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	16	3	8	4	5	11	45	5	11	50	5	2	1	0	9			 	 	 	 	 											0	0	1	561787290460401	1	16	0	3	8	4	11	5	11	45	11	50	5	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
0	900001	1	1	4	3	3	0	0	2	2	4501	1714	5	4	10	31	0	18	18	2	35	9	1	2	0	1	3	8	6	8	9	5	1	1	1	0	0	0	0	0	0	7	7	6	9995	9	7	3	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	0	0	1	5	4	5	5	2	5	0	2019	1	2	8	3	0	1	0	0	0	0	12	0	0	5	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	9	108	109	0	1	5617872904605	5	1	1	10	9	8	3	12	1	0	4501	1	1714	10	31	18	18	0	4501	1	1714	10	31	18	18	0	0	0	6	2	9	4	6	11	51	5	12	4	13	3	48	0	9			 	 	 	 	 											0	0	1	561787290460501	1	6	0	2	9	4	11	6	11	51	12	4	13	0	000	000	13	0	0	122.20163546912153	488.8065418764861	178414.38778491743
