OP	OPID	Steekproef	Mode	HHPers	HHSam	HHPlOP	HHLft1	HHLft2	HHLft3	HHLft4	WoPC	WoGem	Sted	GemGr	Prov	Corop	BuurtAdam	MRA	MRDH	SPL	Utr	Geslacht	Leeftijd	KLeeft	Herkomst	BetWerk	OnbBez	MaatsPart	Opleiding	HHBestInkG	HHGestInkG	HHLaagInk	HHSocInk	HHWelvG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto	HHAutoL	OPAuto	BrandstofPa1	XBrandstofPa1	BrandstofEPa1	BouwjaarPa1	KBouwjaarPa1	KGewichtPa1	TenaamPa1	BrandstofPa2	XBrandstofPa2	BrandstofEPa2	BouwjaarPa2	KBouwjaarPa2	KGewichtPa2	TenaamPa2	BrandstofPaL	XBrandstofPaL	BrandstofEPaL	BouwjaarPaL	KBouwjaarPaL	KGewichtPaL	HHMotor	OPMotor	HHBrom	OPBrom	HHSnor	OPSnor	HHEFiets	HHBezitVm	OPBezitVm	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqBrSnor	OVStKaart	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl	AantOVVpl	AantSVpl	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC	VertPCBL	VertGem	VertProv	VertCorop	VertMRA	VertMRDH	VertSPL	VertUtr	AankGeb	AankPC	AankPCBL	AankGem	AankProv	AankCorop	AankMRA	AankMRDH	AankSPL	AankUtr	PCG	GemG	PCBLG	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	SPlaats1	SPlaats2	SPlaats3	SPlaats4	SPlaats5	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RVertStat	RAankStat	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
1	900001	1	1	2	3	3	0	0	0	2	6142	1883	2	4	11	39	0	18	18	5	21	2	74	8	2	0	0	1	4	4	2	8	3	1	3	0	2	0	0	0	1	0	0	1	0	0	9995	1	3	3	7	7	6	9995	9	7	3	7	7	6	9995	9	6	0	0	0	0	1	0	0	3	3	5	2	3	4	5	1	5	4	2020	7	5	20	5	0	1	0	0	0	0	2	2	0	5	2	1	4	4	2	2	2	2	4	4	4	3	1	2	3	2	2	11	10	2	0	""	6222037955801	1	0	1	2	11	1	0	12	1	0	6142	1	1674	9	33	18	18	6	21	0	2643	1	935	6	15	18	18	5	21	0	0	0	10	5	3	4	4	17	0	5	8	5	5	7	10	0	1			 	 	 	 	 											0	0	1	622823119780101	1	53	0	6	9	4	11	4	12	0	8	5	39	0	000	000	13	0	0	79.37419284774602	470.0840980884154	177784.62907829322
1	900002	1	1	3	2	3	0	0	1	3	4707	1926	2	5	12	15	0	18	18	6	21	2	56	13	1	0	1	6	3	4	5	5	9	4	1	1	2	1	0	1	0	0	0	1	7	0	2004	4	7	3	7	7	6	9995	9	7	3	7	7	6	9994	9	7	0	0	0	0	0	0	1	3	0	4	5	5	3	5	3	4	0	2020	10	30	30	2	0	1	0	0	0	0	2	0	0	5	4	1	2	4	4	2	2	4	2	4	4	2	3	3	3	3	3	11	6	860	0	""	6228231197801	1	0	1	8	7	7	0	12	1	0	2643	1	1883	11	39	18	18	6	21	0	6221	1	1674	11	39	18	18	6	21	0	0	0	1	6	1	4	2	10	30	4	10	33	39	1	307	0	9			 	 	 	 	 											0	0	1	622235387370101	1	3	0	5	1	4	4	6	8	0	12	39	3	0	000	000	13	0	0	121.43758816823308	281.86313823516883	172050.77990036004
1	900003	1	1	4	3	3	0	0	1	2	6987	1674	3	5	12	33	0	18	18	6	21	2	50	12	2	0	4	3	1	8	6	8	9	6	2	0	1	0	0	1	1	0	1	7	7	0	2001	1	7	2	7	7	6	9995	9	7	3	7	7	0	9995	9	7	0	0	0	0	1	0	0	0	6	1	1	4	5	3	2	5	4	2020	1	29	15	4	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	4	4	2	4	4	2	1	3	3	2	2	3	11	10	6	0	""	6218935869501	1	0	1	13	1	3	3	12	1	0	6221	1	1926	6	26	18	18	5	21	0	6142	1	1883	12	39	18	18	6	21	0	0	0	3	1	9	2	5	14	0	10	12	39	23	2	235	1	9			 	 	 	 	 											0	0	1	622203795580101	1	1	0	1	3	4	11	6	10	0	10	23	5	0	000	000	13	0	0	140.93156911758442	317.49677139098407	103161.90859407179
1	900004	1	1	2	3	3	1	0	0	2	6221	935	3	6	9	39	0	18	18	5	21	2	53	12	1	2	1	3	3	7	10	8	9	9	0	0	0	1	0	0	1	0	0	7	0	6	9995	9	5	2	7	7	6	9995	9	7	3	7	0	6	9995	8	7	0	0	1	0	0	1	1	3	0	5	5	5	3	4	2	5	4	2020	7	41	9	6	0	1	0	0	0	0	2	0	0	5	4	4	4	2	4	4	4	4	2	2	2	2	3	3	3	3	3	1	138	80	0	""	6222353873701	1	0	1	8	7	4	3	12	1	0	4707	1	935	12	39	18	7	6	21	0	6983	1	221	9	33	18	7	5	21	0	0	0	53	1	9	4	6	8	0	6	17	5	3	2	14	0	9			 	 	 	 	 											0	0	1	620341580010101	1	10	0	1	9	2	11	2	17	0	14	33	23	0	000	000	13	0	0	235.0420490442077	485.7503526729323	116203.81832910016
1	900005	1	1	4	2	3	0	0	0	3	2643	299	2	5	6	26	0	18	7	6	21	2	34	16	3	3	0	2	2	10	7	8	9	9	2	0	3	1	0	1	1	1	0	1	0	6	2017	9	4	1	7	7	6	9995	9	7	3	1	7	6	9995	9	7	0	0	0	0	0	0	0	3	0	5	5	1	4	2	2	5	4	2020	6	25	21	1	0	1	0	0	0	0	6	0	0	5	2	4	2	2	2	4	4	4	4	2	4	1	1	2	2	3	2	9	69	20	0	""	6203415800101	1	0	1	12	12	4	3	12	1	0	6987	1	299	12	15	18	18	5	21	0	4705	1	1926	12	26	18	18	6	21	0	0	0	40	3	8	4	6	12	0	8	14	23	5	5	66	0	9			 	 	 	 	 											0	0	1	621893586950101	1	40	0	3	8	4	11	5	14	30	17	5	5	0	000	000	13	0	0	197.80516019861608	395.61032039723216	144793.37726538698
1	900001	1	1	4	3	3	0	0	1	3	6987	299	3	4	6	15	0	18	18	6	21	2	50	12	1	2	0	1	3	8	6	8	9	6	3	0	3	1	0	1	1	0	0	1	0	0	2004	1	5	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	1	0	1	3	0	5	1	5	5	2	2	5	4	2020	1	5	30	5	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	9	138	860	0	1	6203415800101	1	0	1	2	1	1	3	12	1	0	6987	1	299	6	15	18	18	6	21	0	6983	1	221	6	15	18	18	6	21	0	0	0	53	6	8	4	5	8	0	4	8	23	23	5	307	0	1			 	 	 	 	 											0	0	1	620341580010101	1	53	0	6	8	4	11	5	8	0	8	23	23	0	000	000	13	0	0	79.37419284774602	317.49677139098407	116203.81832910016
0	900001	1	1	4	3	3	0	0	1	3	6987	299	3	4	6	15	0	18	18	6	21	2	50	12	1	2	0	1	3	8	6	8	9	6	3	0	3	1	0	1	1	0	0	1	0	0	2004	1	5	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	1	0	1	3	0	5	1	5	5	2	2	5	4	2020	1	5	30	5	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	9	138	860	0	1	6203415800102	2	0	1	1	1	1	3	12	3	0	6983	1	221	6	15	18	18	6	21	0	6987	1	299	6	15	18	18	6	21	0	0	0	53	6	8	4	5	13	30	7	13	55	25	6	65	0	9			 	 	 	 	 											0	0	1	620341580010201	1	53	0	6	8	4	11	5	13	30	13	55	25	0	000	000	13	0	0	79.37419284774602	317.49677139098407	116203.81832910016
0	900001	1	1	4	3	3	0	0	1	3	6987	299	3	4	6	15	0	18	18	6	21	2	50	12	1	2	0	1	3	8	6	8	9	6	3	0	3	1	0	1	1	0	0	1	0	0	2004	1	5	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	1	0	1	3	0	5	1	5	5	2	2	5	4	2020	1	5	30	5	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	9	138	860	0	1	6203415800103	3	0	1	5	4	9	3	12	1	0	6987	1	299	6	15	18	18	6	21	0	6874	1	274	6	15	18	18	6	21	0	0	0	280	10	1	1	1	15	0	8	15	30	30	7	10	0	9			 	 	 	 	 											0	0	1	620341580010301	1	280	0	10	1	1	1	1	15	0	15	30	30	0	000	000	13	0	0	79.37419284774602	317.49677139098407	116203.81832910016
0	900001	1	1	4	3	3	0	0	1	3	6987	299	3	4	6	15	0	18	18	6	21	2	50	12	1	2	0	1	3	8	6	8	9	6	3	0	3	1	0	1	1	0	0	1	0	0	2004	1	5	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	1	0	1	3	0	5	1	5	5	2	2	5	4	2020	1	5	30	5	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	9	138	860	0	1	6203415800104	4	0	1	1	4	9	3	12	4	0	6874	1	274	6	15	18	18	6	21	0	6987	1	299	6	15	18	18	6	21	0	0	0	280	10	1	1	1	15	40	8	16	10	30	7	305	0	9			 	 	 	 	 											0	0	1	620341580010401	1	280	0	10	1	1	3	1	15	40	16	10	30	0	000	000	13	0	0	79.37419284774602	317.49677139098407	116203.81832910016
0	900001	1	1	4	3	3	0	0	1	3	6987	299	3	4	6	15	0	18	18	6	21	2	50	12	1	2	0	1	3	8	6	8	9	6	3	0	3	1	0	1	1	0	0	1	0	0	2004	1	5	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	1	0	1	3	0	5	1	5	5	2	2	5	4	2020	1	5	30	5	0	1	0	0	0	0	6	0	0	5	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	9	138	860	0	1	6203415800105	5	0	1	5	4	9	3	12	1	0	6987	1	299	6	15	18	18	6	21	0	6901	1	299	6	15	18	18	6	21	0	0	0	97	7	1	1	1	21	15	13	21	30	15	4	10	0	9			 	 	 	 	 											0	0	1	620341580010501	1	97	0	7	1	1	1	1	21	15	21	30	15	0	000	000	13	0	0	79.37419284774602	317.49677139098407	116203.81832910016
