OP	OPID	Steekproef	Mode	HHPers	HHSam	HHPlOP	HHLft1	HHLft2	HHLft3	HHLft4	WoPC	WoGem	Sted	GemGr	Prov	Corop	BuurtAdam	MRA	MRDH	Utr	Geslacht	Leeftijd	KLeeft	Herkomst	BetWerk	OnbBez	MaatsPart	Opleiding	HHBestInkG	HHGestInkG	HHLaagInk	HHSocInk	HHWelvG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto	HHAutoL	OPAuto	BrandstofPa1	XBrandstofPa1	BrandstofEPa1	BouwjaarPa1	KBouwjaarPa1	KGewichtPa1	TenaamPa1	BrandstofPa2	XBrandstofPa2	BrandstofEPa2	BouwjaarPa2	KBouwjaarPa2	KGewichtPa2	TenaamPa2	BrandstofPaL	XBrandstofPaL	BrandstofEPaL	BouwjaarPaL	KBouwjaarPaL	KGewichtPaL	HHMotor	OPMotor	HHBrom	OPBrom	HHSnor	OPSnor	HHEFiets	HHBezitVm	OPBezitVm	FqLopen	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqBrSnor	FqMotor	OVStKaart	WrkVervw	WrkVerg	VergVast	VergKm	VergBrSt	VergOV	VergAans	VergVoer	VergBudg	VergPark	VergStal	VergAnd	BerWrk	RdWrkA	RdWrkB	BerOnd	RdOndA	RdOndB	BerSup	RdSupA	RdSupB	BerZiek	RdZiekA	RdZiekB	BerArts	RdArtsA	RdArtsB	BerStat	RdStatA	RdStatB	BerHalte	RdHalteA	RdHalteB	BerFam	RdFamA	RdFamB	BerSport	RdSportA	RdSportB	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl	AantOVVpl	AantSVpl	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC	VertPCBL	VertGem	VertProv	VertCorop	VertMRA	VertMRDH	VertUtr	AankGeb	AankPC	AankPCBL	AankGem	AankProv	AankCorop	AankMRA	AankMRDH	AankUtr	PCG	GemG	PCBLG	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	SPlaats1	SPlaats2	SPlaats3	SPlaats4	SPlaats5	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RVertStat	RAankStat	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
1	900001	1	1	1	2	3	0	0	1	3	2332	546	3	3	9	25	0	21	6	21	1	50	7	1	2	0	2	2	9	8	9	9	11	0	1	0	1	0	1	0	0	0	1	0	0	2012	9	1	1	7	0	6	2003	9	7	2	7	7	6	9995	9	7	0	0	0	0	0	0	1	2	0	2	4	2	4	5	5	4	1	5	4	7	1	1	0	0	1	2	0	0	0	2	0	1	13	13	7	13	13	1	13	13	1	13	13	1	13	13	7	13	13	1	13	13	1	13	13	1	13	13	2022	11	38	9	5	0	1	0	0	0	0	4	0	0	5	1	1	2	2	2	2	4	4	2	4	4	3	3	3	3	3	2	9	48	78	0	""	30832787198001	1	0	1	5	1	7	3	12	1	0	2332	1	779	9	35	21	18	21	0	2675	1	758	9	27	21	5	21	0	0	0	19	8	1	4	5	8	0	3	7	26	25	6	620	0	1			 	 	 	 	 											0	0	1	3094529819800101	1	19	0	3	1	4	1	1	7	30	7	18	11	0	000	000	13	0	0	73.9093481988291	325.9267972374857	107907.64837029048
1	900002	1	1	2	3	3	0	0	0	2	2612	1991	3	5	9	27	0	21	18	21	2	27	10	3	3	0	1	2	8	11	8	10	6	2	0	1	1	1	1	1	0	1	1	0	6	2016	3	3	3	7	7	0	9995	9	7	3	7	7	6	9995	4	7	0	0	2	0	0	0	0	2	3	3	2	5	4	4	1	5	5	5	0	4	1	1	0	0	2	2	0	0	0	2	0	1	13	13	7	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2	13	13	1	13	13	2022	8	31	22	5	0	1	0	0	0	0	2	0	0	5	4	4	4	2	4	4	4	2	2	2	4	2	3	1	3	3	3	11	69	52	0	""	30304156988001	1	0	1	2	1	1	3	12	1	0	5409	1	1991	11	25	21	5	21	0	5751	1	503	9	27	21	18	21	0	0	0	110	5	8	1	5	7	45	4	8	25	25	3	422	0	9			 	 	 	 	 											0	0	1	3030415698800101	1	110	0	10	8	4	11	1	6	15	12	26	25	0	000	000	13	0	0	292.4681802465112	295.6373927953164	45047.60236434824
1	900003	1	1	2	2	3	0	1	1	2	3155	503	3	6	11	27	0	21	17	21	1	29	11	1	2	0	1	4	11	8	8	9	3	2	0	2	1	0	0	2	0	1	2	7	0	2013	2	3	2	7	7	6	9995	9	7	3	7	7	6	2019	9	7	0	0	0	1	0	0	1	3	0	3	1	3	5	5	1	2	5	5	4	3	1	0	0	0	2	0	2	0	0	0	0	2	13	13	7	13	13	1	13	13	7	13	13	1	13	13	1	14	14	1	13	13	1	13	13	1	13	13	2022	6	45	2	5	0	1	0	0	0	0	4	0	0	5	2	2	2	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	40	240	0	""	30482498198001	1	0	1	11	10	1	3	12	1	0	4941	1	546	11	33	21	6	21	0	2324	1	762	9	33	21	18	21	0	0	0	39	9	8	4	7	7	30	6	7	10	11	6	204	0	9			 	 	 	 	 											0	0	1	3048249819800101	1	39	0	5	1	1	11	5	12	45	7	55	18	0	000	000	13	0	0	73.16994915326251	292.4681802465112	106828.12576376327
1	900004	1	1	4	3	1	0	0	0	1	4941	779	1	4	11	33	0	21	5	21	2	43	12	1	3	0	2	3	7	4	8	9	7	3	0	2	0	0	1	2	0	0	7	0	0	2011	2	7	2	7	7	6	9995	9	7	3	1	7	0	9995	9	3	0	0	0	0	0	0	0	3	5	2	2	5	5	4	2	1	5	5	4	4	1	1	0	2	2	2	2	0	2	0	0	1	13	13	1	14	14	1	13	13	1	14	14	2	13	13	1	13	13	1	13	14	1	13	13	1	13	13	2022	9	37	15	4	0	1	0	0	0	0	4	0	0	5	4	4	4	4	2	4	2	4	4	2	2	1	3	3	2	3	3	11	100	560	0	""	30842557598001	1	0	1	2	1	1	3	12	1	0	3155	1	503	9	27	21	17	21	0	4817	1	546	11	25	21	6	21	0	0	0	160	10	1	4	1	12	15	2	7	55	25	4	620	0	1			 	 	 	 	 											0	0	1	3084255759800101	1	250	0	8	17	1	11	7	7	0	7	10	25	0	000	000	13	0	0	162.96339861874284	292.67979661305003	118963.28099168227
1	900005	6	1	4	1	3	0	0	0	2	5409	1842	1	6	9	35	0	21	18	21	1	49	7	1	3	1	2	4	3	7	8	9	6	1	0	3	1	0	1	1	1	0	1	0	0	9995	2	1	1	1	7	6	9995	1	2	3	7	0	6	9995	9	7	0	0	0	0	0	0	0	0	3	2	2	5	1	3	2	3	5	5	0	7	1	0	0	2	1	2	0	0	0	0	0	1	13	13	1	14	14	1	13	13	1	13	13	1	13	13	1	13	13	7	14	13	1	13	13	1	13	13	2022	9	22	4	5	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	2	2	2	4	4	2	2	2	3	3	2	3	11	45	320	0	""	30945298198001	1	0	1	2	4	9	3	12	1	0	2612	1	1842	9	27	21	18	21	0	2624	1	1783	11	36	21	17	21	0	0	0	250	3	17	1	1	6	0	3	12	18	18	6	10	0	1			 	 	 	 	 											0	0	1	3083278719800101	1	160	0	9	8	4	1	5	8	0	8	25	25	0	000	000	13	0	0	61.709044334723615	123.41808866944723	106750.8857899766
1	900001	6	1	2	2	3	0	0	0	2	3155	1842	3	3	9	27	0	21	5	21	1	49	11	1	3	0	2	2	8	8	8	9	7	2	1	2	1	1	1	1	0	0	1	0	0	2016	3	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	2	1	0	0	1	3	5	2	2	3	5	5	2	3	1	5	4	3	1	1	0	0	2	0	0	0	2	0	0	1	13	13	7	14	14	1	13	13	7	14	14	2	13	13	7	14	14	7	14	14	2	13	13	1	13	13	2022	11	45	9	4	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	69	240	0	1	30304156988001	1	0	1	2	1	1	3	12	1	0	3155	1	1842	9	27	21	5	21	0	2675	1	1783	9	27	21	5	21	0	0	0	110	8	17	4	7	6	45	2	7	10	25	6	620	0	1			 	 	 	 	 											0	0	1	3030415698800101	1	110	0	8	17	4	11	7	6	45	7	10	25	0	000	000	13	0	0	61.709044334723615	123.41808866944723	45047.60236434824
0	900001	6	1	2	2	3	0	0	0	2	3155	1842	3	3	9	27	0	21	5	21	1	49	11	1	3	0	2	2	8	8	8	9	7	2	1	2	1	1	1	1	0	0	1	0	0	2016	3	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	2	1	0	0	1	3	5	2	2	3	5	5	2	3	1	5	4	3	1	1	0	0	2	0	0	0	2	0	0	1	13	13	7	14	14	1	13	13	7	14	14	2	13	13	7	14	14	7	14	14	2	13	13	1	13	13	2022	11	45	9	4	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	69	240	0	1	30304156988002	2	0	1	1	1	1	3	12	3	0	2675	1	1783	9	27	21	5	21	0	3155	1	1842	9	27	21	5	21	0	0	0	110	8	17	4	7	17	30	10	18	0	30	7	60	0	9			 	 	 	 	 											0	0	1	3030415698800201	1	110	0	8	17	4	11	7	17	30	18	0	30	0	000	000	13	0	0	61.709044334723615	123.41808866944723	45047.60236434824
0	900001	6	1	2	2	3	0	0	0	2	3155	1842	3	3	9	27	0	21	5	21	1	49	11	1	3	0	2	2	8	8	8	9	7	2	1	2	1	1	1	1	0	0	1	0	0	2016	3	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	2	1	0	0	1	3	5	2	2	3	5	5	2	3	1	5	4	3	1	1	0	0	2	0	0	0	2	0	0	1	13	13	7	14	14	1	13	13	7	14	14	2	13	13	7	14	14	7	14	14	2	13	13	1	13	13	2022	11	45	9	4	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	69	240	0	1	30304156988003	3	0	1	11	10	7	3	12	1	0	3155	1	1842	9	27	21	5	21	0	3155	1	1842	9	27	21	5	21	0	0	0	10	3	8	4	5	19	0	12	19	4	4	1	45	0	9			 	 	 	 	 											0	0	1	3030415698800301	1	10	0	3	8	4	11	5	19	0	19	4	4	0	000	000	13	2	0	61.709044334723615	123.41808866944723	45047.60236434824
0	900001	6	1	2	2	3	0	0	0	2	3155	1842	3	3	9	27	0	21	5	21	1	49	11	1	3	0	2	2	8	8	8	9	7	2	1	2	1	1	1	1	0	0	1	0	0	2016	3	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	2	1	0	0	1	3	5	2	2	3	5	5	2	3	1	5	4	3	1	1	0	0	2	0	0	0	2	0	0	1	13	13	7	14	14	1	13	13	7	14	14	2	13	13	7	14	14	7	14	14	2	13	13	1	13	13	2022	11	45	9	4	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	69	240	0	1	30304156988004	4	0	1	1	10	7	3	12	4	0	3155	1	1842	9	27	21	5	21	0	3155	1	1842	9	27	21	5	21	0	0	0	10	3	8	4	5	19	49	12	19	59	10	3		0	9			 	 	 	 	 											0	0	1	3030415698800401	1	10	0	3	8	4	11	5	19	49	19	59	10	0	000	000	13	0	0	61.709044334723615	123.41808866944723	45047.60236434824
1	900002	1	1	1	1	1	0	0	0	1	2332	546	1	6	9	25	0	21	17	21	2	27	7	1	2	0	1	4	3	4	8	9	3	1	0	1	1	0	1	1	0	1	1	0	0	2012	2	1	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	3	3	1	5	4	3	2	4	5	5	0	7	1	0	0	2	1	2	2	0	0	0	0	1	13	13	7	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2022	9	38	22	5	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	40	52	0	1	30482498198001	1	0	1	11	10	7	3	12	1	0	2332	1	546	9	25	21	17	21	0	2324	1	546	9	25	21	17	21	0	0	0	19	3	8	4	5	12	15	6	12	26	11	3	204	0	9			 	 	 	 	 											0	0	1	3048249819800101	1	19	0	3	8	4	11	5	12	15	12	26	11	0	000	000	13	0	0	292.4681802465112	292.4681802465112	106750.8857899766
