OP	OPID	Steekproef	Mode	HHPers	HHSam	HHPlOP	HHLft1	HHLft2	HHLft3	HHLft4	WoPC	WoGem	Sted	GemGr	Prov	Corop	BuurtAdam	MRA	MRDH	Utr	Geslacht	Leeftijd	KLeeft	HerkLand	BetWerk	OnbBez	MaatsPart	Opleiding	HHBestInkG	HHGestInkG	HHLaagInk	HHSocInk	HHWelvG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto	HHAutoL	OPAuto	BrandstofPa1	XBrandstofPa1	BrandstofEPa1	BouwjaarPa1	KBouwjaarPa1	KGewichtPa1	TenaamPa1	BrandstofPa2	XBrandstofPa2	BrandstofEPa2	BouwjaarPa2	KBouwjaarPa2	KGewichtPa2	TenaamPa2	BrandstofPaL	XBrandstofPaL	BrandstofEPaL	BouwjaarPaL	KBouwjaarPaL	KGewichtPaL	HHMotor	OPMotor	HHBrom	OPBrom	HHSnor	OPSnor	HHEFiets	HHBezitVm	OPBezitVm	FqLopen	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqBrSnor	FqMotor	OVStKaart	WrkVervw	WrkVerg	VergVast	VergKm	VergBrSt	VergOV	VergAans	VergVoer	VergBudg	VergPark	VergStal	VergAnd	BerWrk	RdWrkA	RdWrkB	BerOnd	RdOndA	RdOndB	BerSup	RdSupA	RdSupB	BerZiek	RdZiekA	RdZiekB	BerArts	RdArtsA	RdArtsB	BerStat	RdStatA	RdStatB	BerHalte	RdHalteA	RdHalteB	BerFam	RdFamA	RdFamB	BerSport	RdSportA	RdSportB	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl	AantOVVpl	AantSVpl	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC	VertPCBL	VertGem	VertProv	VertCorop	VertMRA	VertMRDH	VertUtr	AankGeb	AankPC	AankPCBL	AankGem	AankProv	AankCorop	AankMRA	AankMRDH	AankUtr	PCG	GemG	PCBLG	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	SPlaats1	SPlaats2	SPlaats3	SPlaats4	SPlaats5	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RVertStat	RAankStat	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
1	900001	1	1	1	2	3	0	0	0	2	1625	405	4	4	11	18	0	22	18	21	2	81	16	3	0	0	4	4	6	1	8	9	8	2	0	2	0	0	0	1	0	0	1	0	0	2007	4	4	2	7	0	6	2006	9	7	2	7	7	6	9995	9	7	0	0	0	0	0	0	1	2	3	1	2	5	5	5	1	5	5	5	4	4	3	2	2	2	2	2	2	2	2	2	0	7	13	14	7	14	12	1	13	13	1	13	13	8	1	14	2	2	14	8	6	12	3	13	13	8	13	13	2023	4	9	29	6	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	4	4	4	4	2	4	1	1	2	2	2	3	11	195	980	0	""	27348737986901	1	0	1	2	9	7	1	12	1	0	1625	1	1705	8	29	22	18	21	0	2251	1	1705	11	25	22	17	21	0	0	0	41	4	8	4	1	7	45	5	11	45	35	7	75	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2744587869690101	1	41	0	5	8	4	11	5	9	30	8	30	15	0	000	000	13	0	0	86	213	62926
1	900002	4	1	6	2	3	0	0	0	2	5038	597	2	4	8	25	0	22	18	21	1	74	7	1	0	2	7	4	4	9	7	9	1	1	0	1	1	0	1	1	0	0	4	1	0	2017	3	5	1	7	7	0	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	0	1	1	5	4	4	5	3	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	7	14	14	7	14	13	3	13	13	1	13	11	4	13	13	1	13	13	3	13	14	2	13	13	3	13	13	2023	11	46	1	5	0	1	0	0	0	0	4	0	0	5	4	2	4	4	4	2	2	4	4	4	2	2	3	3	3	3	3	4	100	82	0	""	27176787596901	1	0	1	7	7	4	3	12	1	0	2983	1	597	9	18	19	17	21	0	2982	1	1948	9	35	22	18	21	0	0	0	30	12	7	4	5	9	0	3	8	20	10	4	90	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2717678759690101	1	30	0	3	1	4	1	6	11	30	9	45	30	0	000	000	13	0	0	308	172	79198
1	900003	1	1	2	3	4	0	0	0	2	2253	855	2	5	6	34	0	22	18	21	1	12	17	1	0	2	7	3	8	3	8	9	9	1	0	1	1	0	1	2	0	1	1	0	0	2008	1	3	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	3	2	5	5	5	4	6	2	5	5	4	12	1	0	1	2	2	2	2	2	0	2	2	1	1	6	1	1	14	1	13	13	2	6	14	1	13	13	3	13	13	1	13	13	8	13	14	1	10	14	2023	1	17	4	4	0	1	0	0	0	0	4	0	0	1	4	4	4	4	2	4	4	4	2	4	4	2	3	3	3	3	3	11	30	105	0	""	27324026796901	1	0	1	12	11	5	3	12	1	0	6681	1	405	6	15	22	18	21	0	1621	1	597	8	15	19	16	21	0	0	0	470	4	1	1	6	8	30	5	8	30	15	7	255	0	1	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2732402679690101	1	470	0	12	9	4	11	1	9	0	11	40	30	0	000	000	13	0	0	77	308	56059
1	900004	1	1	2	2	1	1	0	0	1	6681	1705	2	4	9	15	0	22	17	21	2	29	18	1	5	2	2	4	5	7	8	7	5	2	0	1	1	0	0	1	0	1	1	0	0	2019	4	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	0	1	3	5	3	4	2	4	5	5	0	13	3	2	2	0	2	2	0	0	2	2	2	5	14	13	8	13	14	8	1	14	8	13	13	1	13	6	1	13	6	1	14	13	1	11	12	1	14	14	2023	3	13	30	7	0	1	0	0	0	0	2	0	0	5	1	4	4	4	4	4	4	2	4	4	4	2	3	3	3	3	3	11	20	20	0	""	27441388787901	1	1	1	10	6	8	3	12	1	0	2253	1	855	11	25	22	18	21	0	6681	1	405	9	18	22	18	21	0	0	0	30	3	9	4	5	9	30	5	9	40	30	7	170	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2744138878790101	1	10	0	4	9	4	11	6	8	0	9	30	10	0	000	000	13	0	0	43	154	77787
1	900005	1	1	2	1	3	0	1	2	2	2983	626	1	7	9	29	0	19	16	21	1	75	3	1	3	9	7	7	5	6	8	9	8	1	0	2	0	0	1	1	0	1	1	0	3	2018	1	2	1	1	7	6	9995	1	1	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	3	1	2	1	4	3	5	2	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	8	14	14	5	14	14	1	14	12	3	14	13	1	14	13	8	14	13	2	13	13	2	14	13	7	14	12	2023	3	1	17	4	0	1	0	0	0	0	5	0	0	5	4	4	2	2	4	4	4	4	4	4	4	2	3	3	3	3	2	11	115	200	0	""	27445878696901	1	0	1	8	1	1	3	12	1	0	5038	1	626	9	34	22	16	21	0	5466	1	626	6	29	22	18	21	0	0	0	10	5	9	4	6	11	0	4	9	30	30	3	580	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2734873798690101	1	30	0	4	7	1	11	5	7	45	8	20	35	0	000	000	13	0	0	108	217	112404
1	900001	1	1	2	2	3	0	0	0	2	2253	626	2	4	9	25	0	22	17	21	2	75	17	1	0	2	7	4	4	3	8	9	5	1	0	1	0	0	0	1	0	0	4	1	3	2017	3	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	1	3	0	1	3	5	3	4	5	2	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	7	14	14	7	14	14	1	13	13	2	13	13	1	13	13	2	13	13	2	13	13	2	13	13	7	14	14	2023	4	17	29	7	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	100	105	0	1	27176787596901	1	0	1	8	7	4	1	12	1	0	2253	1	626	9	25	22	17	21	0	2251	1	626	9	25	22	17	21	0	0	0	30	4	9	4	6	11	0	5	11	30	30	7	75	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2717678759690101	1	30	0	4	9	4	11	6	11	0	11	30	30	0	000	000	13	0	0	108	217	79198
0	900001	1	1	2	2	3	0	0	0	2	2253	626	2	4	9	25	0	22	17	21	2	75	17	1	0	2	7	4	4	3	8	9	5	1	0	1	0	0	0	1	0	0	4	1	3	2017	3	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	1	3	0	1	3	5	3	4	5	2	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	7	14	14	7	14	14	1	13	13	2	13	13	1	13	13	2	13	13	2	13	13	2	13	13	7	14	14	2023	4	17	29	7	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	100	105	0	1	27176787596902	2	0	1	1	7	4	3	12	4	0	2251	1	626	9	25	22	17	21	0	2253	1	626	9	25	22	17	21	0	0	0	30	4	9	4	6	12	45	6	13	10	25	6	110	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2717678759690201	1	30	0	4	9	4	11	6	12	45	13	10	25	0	000	000	13	0	0	108	217	79198
0	900001	1	1	2	2	3	0	0	0	2	2253	626	2	4	9	25	0	22	17	21	2	75	17	1	0	2	7	4	4	3	8	9	5	1	0	1	0	0	0	1	0	0	4	1	3	2017	3	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	1	3	0	1	3	5	3	4	5	2	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	7	14	14	7	14	14	1	13	13	2	13	13	1	13	13	2	13	13	2	13	13	2	13	13	7	14	14	2023	4	17	29	7	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	100	105	0	1	27176787596903	3	0	1	6	5	9	3	12	1	0	2253	1	626	9	25	22	17	21	0	2253	1	626	9	25	22	17	21	0	0	0	10	3	9	4	6	15	0	8	15	5	5	2	5	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2717678759690301	1	10	0	3	9	4	11	6	15	0	15	5	5	0	000	000	13	0	0	108	217	79198
0	900001	1	1	2	2	3	0	0	0	2	2253	626	2	4	9	25	0	22	17	21	2	75	17	1	0	2	7	4	4	3	8	9	5	1	0	1	0	0	0	1	0	0	4	1	3	2017	3	3	2	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	1	3	0	1	3	5	3	4	5	2	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	7	14	14	7	14	14	1	13	13	2	13	13	1	13	13	2	13	13	2	13	13	2	13	13	7	14	14	2023	4	17	29	7	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	100	105	0	1	27176787596904	4	1	1	10	9	8	3	12	4	0	2253	1	626	9	25	22	17	21	0	2253	1	626	9	25	22	17	21	0	0	0	35	4	9	4	6	15	10	8	15	50	40	7	#NULL!	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2717678759690401	1	35	0	4	9	4	11	6	15	10	15	50	40	0	000	000	13	0	0	108	217	79198
1	900002	4	1	1	1	1	0	0	0	1	1625	405	2	5	8	18	0	19	18	21	2	74	16	1	0	2	7	3	5	7	8	9	9	1	0	1	1	0	1	1	0	1	1	0	0	2007	1	4	1	7	7	6	9995	9	7	3	7	7	6	9995	9	7	0	0	0	0	0	0	0	3	3	2	5	1	4	3	2	5	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	7	14	14	7	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2	13	13	1	13	13	2023	3	9	1	4	0	1	0	0	0	0	2	0	0	1	4	4	4	4	4	4	4	4	4	4	4	1	1	2	2	2	2	4	30	82	0	1	27324026796901	1	0	1	12	11	7	3	12	1	0	1625	1	405	8	18	19	18	21	0	1621	1	405	8	18	19	18	21	0	0	0	41	5	7	4	5	9	30	5	9	45	15	4	255	0	9	#NULL!	#NULL!						#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	2732402679690101	1	41	0	5	7	4	11	5	9	30	9	45	15	0	000	000	13	0	0	308	308	112404
