OP	OPID	Mode	HHPers_DANS24	HHSam_DANS24	HHLft1_DANS24	HHLft2_DANS24	HHLft3_DANS24	HHLft4_DANS24	Wogem_DANS24	Sted	GemGr	Prov	Corop	Geslacht	KLeeft	BetWerk	OnbBez_DANS24	MaatsPart_DANS24	Opleiding_DANS24	HHGestInkG	HHRijbewijsAu	HHRijbewijsMo	HHRijbewijsBr	OPRijbewijsAu	OPRijbewijsMo	OPRijbewijsBr	HHAuto_DANS24	HHAutoL_DANS24	OPAuto_DANS24	BrandstofPa1_DANS24	KBouwjaarPa1_DANS24	KGewichtPa1_DANS24	BrandstofPa2_DANS24	KBouwjaarPa2_DANS24	KGewichtPa2_DANS24	BrandstofPaL_DANS24	KBouwjaarPaL_DANS24	KGewichtPaL_DANS24	HHMotor_DANS24	HHBrSn_DANS24	HHEFiets_DANS24	HHBezitVm_DANS24	OPBezitVm_DANS24	FqLopen	FqNEFiets	FqEFiets	FqBTM	FqTrein	FqAutoB	FqAutoP	FqMotor	FqBrSnor	OVStKaart	WrkVervw	WrkVerg	VergVast	VergKm	VergBrSt	VergOV	VergAans	VergVoer	VergBudg	VergFisc	VergPark	VergStal	VergAnd	BrbWrk	RdWrkA	RdWrkB	BrbOnd	RdOndA	RdOndB	BrbSup	RdSupA	RdSupB	BrbZiek	RdZiekA	RdZiekB	BrbArts	RdArtsA	RdArtsB	BrbStat	RdStatA	RdStatB	BrbHalte	RdHalteA	RdHalteB	BrbFam	RdFamA	RdFamB	BrbSport	RdSportA	RdSportB	Jaar	Maand	Week	Dag	Weekdag	Feestdag	Weggeweest	RedenNW	RedenNWZ	RedenNWW	RedenNWB	AantVpl_DANS24	AantOVVpl_DANS24	AantSVpl_DANS24	EFiets	AutoEig	AutoHhL	AutoLWg	AutoLPl	AutoBed	AutoDOrg	AutoDPart	AutoDBek	AutoLeen	AutoHuur	AutoAnd	ByzDag	ByzAdr	ByzVvm	ByzTyd	ByzDuur	ByzRoute	ByzReden	ReisduurOP	AfstandOP	AfstandSOP	Verpl	VerplID	VerplNr	Toer	AantRit	Doel	MotiefV	KMotiefV	MeerWink	AardWerk	VertLoc	VertGeb	VertPC_PRAM	VertGem_DANS24	VertProv	VertCorop	AankGeb	AankPC_PRAM	AankGem_DANS24	AankProv	AankCorop	GemG_DANS24	AfstV	KAfstV	Hvm	HvmRol	KHvm	VertUur	VertMin	KVertTijd	AankUur	AankMin	Reisduur	KReisduur	ActDuur	Kind6	VolgWerk	SAantAdr	SDezPlts	AfstS	AfstSBL	SVvm1	SVvm2	SVvm3	SVvm4	SBegUur	SBegMin	SEindUur	SEindMin	CorrVerpl	GehBLVer	Rit	RitID	RitNr	AfstR	AfstRBL	KAfstR	Rvm	RvmRol	RAantIn	KRvm	RVertUur	RVertMin	RAankUur	RAankMin	RReisduur	RReisduurBL	RTSamen	RCorrSnelh	RVliegVer	FactorH	FactorP	FactorV
1	900001	1	1	2	0	0	0	2	532	3	5	8	18	1	2	3	6	2	5	7	2	0	2	1	0	0	0	0	1	6	5	2	6	5	4	6	3	4	0	0	1	2	0	2	5	4	4	5	3	2	5	5	0	4	1	0	1	0	2	2	1	2	0	2	2	0	4	14	14	1	13	13	1	13	13	1	14	13	1	13	13	6	13	13	1	13	14	6	13	13	1	3	14	2024	11	42	14	3	0	1	0	0	0	0	6	0	0	5	4	2	4	4	2	2	2	2	4	4	2	2	3	3	3	3	3	11	65	100	0	""	35696516985801	1	0	1	7	12	1	3	12	1	0	4501	1714	9	17	0	1442	439	8	23	0	5	2	1	4	7	5	0	5	6	35	5	7	534	0	1	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3528457798580101	1	50	0	11	9	4	1	6	11	30	7	55	5	0	13	0	0	149	299	44834
1	900002	1	4	1	0	0	0	1	935	1	7	9	27	2	11	0	5	5	2	4	1	0	2	0	0	1	0	0	1	1	9	3	6	5	4	6	3	4	0	0	1	3	1	1	2	5	4	3	6	3	5	1	4	12	3	2	2	2	2	2	0	0	0	0	2	0	3	14	14	1	13	13	1	14	13	6	13	14	1	13	13	1	13	13	1	13	13	1	13	12	2	13	13	2024	5	21	31	2	0	1	0	0	0	0	2	0	0	5	2	1	2	2	1	4	4	2	2	2	2	2	3	3	3	3	3	11	51	2140	0	""	35341906985801	1	0	1	10	9	5	3	12	2	0	3829	532	8	18	0	2612	503	7	31	0	50	15	9	1	7	11	30	5	11	55	15	9	315	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3569651698580101	1	300	0	2	11	4	11	6	5	0	6	35	75	0	13	0	0	117	257	109296
1	900003	1	2	2	0	0	1	2	307	1	6	7	39	1	13	5	2	2	2	9	1	0	2	1	0	1	1	0	0	3	7	2	6	5	4	6	3	4	0	1	0	3	2	1	5	5	5	5	1	3	5	5	4	13	3	1	0	2	2	2	0	2	0	2	2	2	1	13	7	5	14	14	1	13	13	1	13	13	1	13	13	1	14	14	6	13	13	1	11	13	6	13	14	2024	11	45	15	4	0	1	0	0	0	0	4	0	0	5	1	4	4	2	2	2	4	4	4	2	2	3	3	3	3	3	3	11	226	600	0	""	35665888595801	1	0	1	2	1	3	3	12	1	0	1788	400	7	18	0	4501	1714	9	18	0	25	11	11	4	1	7	15	3	7	45	90	10	30	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3590278888580101	1	25	0	4	18	1	11	1	7	50	11	15	15	0	13	0	0	31	234	108122
1	900004	1	2	1	0	0	0	2	400	2	4	8	18	1	6	3	1	3	2	7	2	0	1	1	0	1	1	0	0	6	5	4	6	5	4	6	3	4	0	0	1	2	0	2	3	5	5	4	3	3	5	5	4	5	1	2	0	0	2	2	2	0	2	0	0	0	1	3	13	4	14	14	1	13	13	1	13	13	6	13	14	1	13	13	1	14	13	3	14	14	5	14	13	2024	10	46	21	6	0	1	0	0	0	0	2	0	0	5	2	2	2	2	4	4	2	2	2	2	4	2	3	3	3	3	3	11	95	55	0	""	35902788885801	1	0	1	13	6	1	3	12	1	0	2614	307	10	27	0	3826	1911	8	17	0	300	4	18	4	6	10	50	2	7	15	35	4	535	0	1	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3534190698580101	1	5	0	6	9	1	1	7	7	15	11	45	90	0	13	0	0	257	295	94198
1	900005	1	1	3	0	1	0	1	503	2	6	12	17	1	16	3	0	2	3	10	2	0	1	1	0	1	1	0	0	4	9	4	6	5	4	6	3	4	0	0	1	2	1	2	2	5	3	4	1	3	5	5	4	3	1	0	2	0	2	0	2	0	2	2	2	2	6	13	13	6	14	14	6	13	14	1	13	13	1	14	13	5	14	14	5	14	14	1	13	13	1	14	7	2024	10	44	6	5	0	1	0	0	0	0	2	0	0	5	4	4	2	4	4	2	2	4	2	4	4	2	3	3	3	3	3	11	60	96	0	""	35284577985801	1	1	1	2	1	8	3	12	1	0	1611	503	8	31	0	1775	307	10	27	0	1070	6	9	1	6	7	0	3	11	45	75	2	355	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3566588859580101	1	1070	0	15	1	4	11	7	10	0	7	45	35	0	13	0	0	295	122	85589
1	900001	1	2	2	0	0	0	2	935	1	6	12	39	1	16	0	1	5	2	4	2	0	2	1	0	1	1	0	1	3	7	2	6	5	4	6	3	4	0	0	0	2	1	1	2	5	4	5	3	3	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	2	4	14	14	4	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	5	14	14	2024	10	44	31	5	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	95	55	0	1	35284577985801	1	1	1	10	9	8	3	12	2	0	4501	1714	10	31	0	4501	1714	10	31	0	50	6	9	4	6	10	30	5	11	45	75	9	315	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3528457798580101	1	50	0	6	9	4	11	6	10	30	11	45	75	0	13	0	0	149	299	109296
0	900001	1	2	2	0	0	0	2	935	1	6	12	39	1	16	0	1	5	2	4	2	0	2	1	0	1	1	0	1	3	7	2	6	5	4	6	3	4	0	0	0	2	1	1	2	5	4	5	3	3	5	5	4	12	3	2	2	2	2	2	2	2	2	2	2	2	4	14	14	4	14	14	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	5	14	14	2024	10	44	31	5	0	1	0	0	0	0	2	0	0	5	4	4	4	4	4	4	4	4	4	4	4	2	3	3	3	3	3	11	95	55	0	1	35284577985802	2	1	1	10	9	8	3	12	4	0	4501	1714	10	31	0	4501	1714	10	31	0	5	2	9	4	6	17	0	10	17	20	20	5	#NULL!	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3528457798580201	1	5	0	2	9	4	11	6	17	0	17	20	20	0	13	0	0	149	299	109296
1	900002	1	2	2	0	0	0	2	400	2	5	8	18	1	11	3	0	2	2	7	2	0	2	1	0	1	0	0	0	6	9	4	6	5	4	6	3	4	0	0	1	3	0	2	5	4	5	5	1	3	5	5	4	5	1	0	0	0	2	2	1	0	0	0	2	0	1	13	13	5	14	14	1	13	13	1	13	13	1	13	13	5	14	14	5	14	14	3	11	12	1	13	13	2024	10	42	14	2	0	1	0	0	0	0	2	0	0	5	2	2	2	2	1	2	2	2	2	2	2	2	3	3	3	3	3	11	226	2140	0	1	35341906985801	1	0	1	2	1	1	3	12	1	0	1788	400	8	18	0	1442	439	8	23	0	1070	15	11	1	7	5	15	2	6	45	90	10	534	0	1	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3534190698580101	1	1070	0	15	11	1	1	7	5	15	6	45	90	0	13	0	0	117	234	85589
0	900002	1	2	2	0	0	0	2	400	2	5	8	18	1	11	3	0	2	2	7	2	0	2	1	0	1	0	0	0	6	9	4	6	5	4	6	3	4	0	0	1	3	0	2	5	4	5	5	1	3	5	5	4	5	1	0	0	0	2	2	1	0	0	0	2	0	1	13	13	5	14	14	1	13	13	1	13	13	1	13	13	5	14	14	5	14	14	3	11	12	1	13	13	2024	10	42	14	2	0	1	0	0	0	0	2	0	0	5	2	2	2	2	1	2	2	2	2	2	2	2	3	3	3	3	3	11	226	2140	0	1	35341906985802	2	0	1	1	1	1	3	12	3	0	1442	439	8	23	0	1786	400	8	18	0	1070	15	11	1	7	15	39	8	17	55	136	11	#NULL!	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3534190698580201	1	1070	0	15	11	1	1	7	15	39	17	55	136	0	13	0	0	117	234	85589
1	900003	1	1	1	0	0	0	1	503	1	6	9	27	2	6	3	2	2	3	10	1	0	1	1	0	1	0	0	0	6	9	4	6	5	4	6	3	4	0	1	1	3	2	2	3	5	3	3	3	3	5	1	0	3	1	0	1	0	2	0	0	0	0	2	0	0	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	1	13	13	2024	5	21	21	3	0	1	0	0	0	0	4	0	0	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	11	51	100	0	1	35665888595801	1	0	1	13	12	3	3	12	1	0	2614	503	9	27	0	2612	503	9	27	0	25	4	18	4	7	11	0	5	11	15	15	4	30	0	9	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	#NULL!	0	0	1	3566588859580101	1	25	0	4	18	4	11	7	11	0	11	15	15	0	13	0	0	295	295	108122
