persid,hhid,persno,numstops,age,sex,relationship,persinc,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,worktype,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,additionaltravel,cycledwork,cycledshopping,cycledexercise,cycledother,nocycled,wdperswgt_LGA,weperswgt_LGA
Y13H0240434P01,Y13H0240434,1,4,83,M,Self,$600-799 p.w.,Full Licence,N,N,Some Licence,N,N,N,N,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Survey address,N,N,N,N,N,Y,,204.78
Y13H0240434P02,Y13H0240434,2,2,78,F,Spouse,$300-399 p.w.,Full Licence,N,N,Some Licence,N,N,N,N,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Survey address,N,N,N,N,N,Y,,193.79
Y16H1900201P01,Y16H1900201,1,4,55,M,Self,$1000-1249 p.w.,Full Licence,N,N,Some Licence,Y,N,N,Y,No Study,No other activity,Full-time Work,Fixed Hours,Paid Employee,Technicians and Trades Workers,TECHNICIANS AND TRADES WORKERS (NEC),Manufacturing,Manufacturing (NEC),Survey address,Y,N,N,N,N,Y,71.12,
Y16H1900201P02,Y16H1900201,2,2,53,F,Spouse,$400-599 p.w.,Full Licence,N,N,Some Licence,N,Y,N,Y,No Study,No other activity,Part-time Work,Fixed Hours,Paid Employee,Clerical and Administrative Workers,CLERICAL AND ADMINISTRATIVE WORKERS(NEC),Education and Training,Tertiary Education,Survey address,N,N,N,N,N,Y,68.62,
Y16H1900201P03,Y16H1900201,3,3,33,M,Child,$1250-1499 p.w.,Full Licence,N,N,Some Licence,Y,N,N,Y,No Study,No other activity,Full-time Work,Fixed Hours,Paid Employee,Professionals,ICT Professionals,Education and Training,Tertiary Education,Survey address,N,N,N,N,N,Y,91.77,
Y16H1900201P04,Y16H1900201,4,8,17,F,Child,Zero Income,No Car Licence,N,N,No Licence,N,N,N,N,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Survey address,N,N,N,N,N,Y,86.45,
Y16H1900201P05,Y16H1900201,5,7,12,M,Child,Zero Income,No Car Licence,N,N,No Licence,N,N,N,N,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Survey address,N,N,N,N,N,Y,89.6,
Y18H2980531P01,Y18H2980531,1,2,78,F,Self,$300-399 p.w.,Full Licence,N,N,Some Licence,N,N,N,N,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Survey address,N,N,N,N,N,Y,76.14,
Y18H2980531P02,Y18H2980531,2,2,75,M,Spouse,$300-399 p.w.,Full Licence,N,N,Some Licence,N,N,N,N,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Survey address,N,N,N,N,N,Y,78.91,
Y18H3150424P01,Y18H3150424,1,3,41,F,Self,$1000-1249 p.w.,Full Licence,N,N,Some Licence,Y,N,N,Y,No Study,No other activity,Full-time Work,Fixed Hours,Paid Employee,Professionals,"Business, Human Resource and Marketing Professionals","Professional, Scientific and Technical Services",Computer System Design and Related Services,Survey address,N,N,N,N,N,Y,46.71,
Y18H3150424P02,Y18H3150424,2,3,39,M,Spouse,$1250-1499 p.w.,Full Licence,N,N,Some Licence,Y,N,N,Y,No Study,No other activity,Full-time Work,Fixed Hours,Paid Employee,Managers,Specialist Managers,"Transport, Postal and Warehousing","Transport, Postal and Warehousing (NEC)",Survey address,N,N,N,N,N,Y,54.58,
Y18H3150424P03,Y18H3150424,3,2,7,M,Child,Zero Income,No Car Licence,N,N,No Licence,N,N,N,N,Primary,No other activity,Primary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Survey address,N,N,N,N,N,Y,52.6,
Y18H3150424P04,Y18H3150424,4,2,7,F,Child,Zero Income,No Car Licence,N,N,No Licence,N,N,N,N,Primary,No other activity,Primary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Survey address,N,N,N,N,N,Y,50.75,
