tripid,persid,hhid,stops,tripno,starthour,startime,arrhour,arrtime,triptime,travtime,waitime,duration,cumdist,origplace1,origplace2,origpurp1,origpurp2,destplace1,destplace2,destpurp1,destpurp2,origLGA,destLGA,trippurp,linkmode,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,wdtripwgt_LGA,wetripwgt_LGA
Y13H0240434P01T01,Y13H0240434P01,Y13H0240434,1,1,9,570,9,575,5,5,0,40,1.11,Accommodation,Survey Home,At Home,At home,Shops,Chemist,Buy Something,Bought something,Hobsons Bay (C),Hobsons Bay (C),Buy Something,Vehicle Driver,1.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,204.78
Y13H0240434P01T02,Y13H0240434P01,Y13H0240434,1,2,10,615,10,625,10,10,0,230,1.11,Shops,Chemist,Buy Something,Bought something,Accommodation,Survey Home,At or Go Home,Go home,Hobsons Bay (C),Hobsons Bay (C),Buy Something,Vehicle Driver,1.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,204.78
Y13H0240434P01T03,Y13H0240434P01,Y13H0240434,1,3,14,855,14,875,20,20,0,155,6.4,Accommodation,Survey Home,At Home,At home,Social Place,Theatre,Social,"Watched concert, movies etc",Hobsons Bay (C),Maribyrnong (C),Social,Vehicle Driver,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,204.78
Y13H0240434P01T04,Y13H0240434P01,Y13H0240434,1,4,17,1030,17,1050,20,20,0,N/A,6.4,Social Place,Theatre,Social,"Watched concert, movies etc",Accommodation,Survey Home,At or Go Home,Go home,Maribyrnong (C),Hobsons Bay (C),Social,Vehicle Driver,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,204.78
Y13H0240434P02T01,Y13H0240434P02,Y13H0240434,1,1,14,855,14,875,20,20,0,155,6.4,Accommodation,Survey Home,At Home,At home,Social Place,Theatre,Social,"Watched concert, movies etc",Hobsons Bay (C),Maribyrnong (C),Social,Vehicle Passenger,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,193.79
Y13H0240434P02T02,Y13H0240434P02,Y13H0240434,1,2,17,1030,17,1050,20,20,0,N/A,6.4,Social Place,Theatre,Social,"Watched concert, movies etc",Accommodation,Survey Home,At or Go Home,Go home,Maribyrnong (C),Hobsons Bay (C),Social,Vehicle Passenger,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,193.79
Y16H1900201P01T01,Y16H1900201P01,Y16H1900201,1,1,7,460,8,480,20,20,0,510,11.77,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Knox (C),Greater Dandenong (C),Work Related,Vehicle Driver,11.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.12,
Y16H1900201P01T02,Y16H1900201P01,Y16H1900201,1,2,16,990,16,1015,25,25,0,95,11.77,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Greater Dandenong (C),Knox (C),Work Related,Vehicle Driver,11.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.12,
Y16H1900201P01T03,Y16H1900201P01,Y16H1900201,1,3,18,1110,19,1140,30,30,0,0,2.28,Accommodation,Survey Home,At Home,At home,Recreational Place,Recreational NEC,Personal Business,Walked the dog,Knox (C),Greater Dandenong (C),Personal Business,Walking,2.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.12,
Y16H1900201P01T04,Y16H1900201P01,Y16H1900201,1,4,19,1140,19,1170,30,30,0,N/A,2.28,Recreational Place,Recreational NEC,Personal Business,Walked the dog,Accommodation,Survey Home,At or Go Home,Go home,Greater Dandenong (C),Knox (C),Personal Business,Walking,2.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.12,
