tripid,hhid,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y23H5340507P01T01,Y23H5340507,Y23H5340507P01,1,11,696,11,710,Accommodation,Survey Home,At Home,Go home,Brimbank (C),Retail venue,Shopping Centre,Buy Something,Bought something,Brimbank (C),14,14,4.41992,Vehicle Driver,Buy Something,60,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.41992,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,575.685053965,584.517768752,731.676597829,586.85977731,581.836119156,602.183313994,694.216147995,672.162160486,0.0,554.879493706,770.375378794,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P01T02,Y23H5340507,Y23H5340507P01,2,12,770,13,783,Retail venue,Shopping Centre,Buy Something,Bought something,Brimbank (C),Retail venue,Food Store,Buy Something,Bought something,Melton (S),13,13,4.59203,Vehicle Driver,Buy Something,7,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.59203,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,575.685053965,584.517768752,731.676597829,586.85977731,581.836119156,602.183313994,694.216147995,672.162160486,0.0,554.879493706,770.375378794,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P01T03,Y23H5340507,Y23H5340507P01,3,13,790,13,806,Retail venue,Food Store,Buy Something,Bought something,Melton (S),Accommodation,Survey Home,At Home,Go home,Brimbank (C),16,16,5.04715,Vehicle Driver,Buy Something,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.04715,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,575.685053965,584.517768752,731.676597829,586.85977731,581.836119156,602.183313994,694.216147995,672.162160486,0.0,554.879493706,770.375378794,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P02T01,Y23H5340507,Y23H5340507P02,1,11,696,11,710,Accommodation,Survey Home,At Home,Go home,Brimbank (C),Retail venue,Shopping Centre,Buy Something,Bought something,Brimbank (C),14,14,4.41992,Vehicle Passenger,Buy Something,60,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.41992,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,684.217181862,699.201595901,948.574009531,703.029354354,736.198711929,695.167487311,704.857031915,825.428609695,0.0,849.043374196,695.532513909,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P02T02,Y23H5340507,Y23H5340507P02,2,12,770,13,783,Retail venue,Shopping Centre,Buy Something,Bought something,Brimbank (C),Retail venue,Food Store,Buy Something,Bought something,Melton (S),13,13,4.59203,Vehicle Passenger,Buy Something,7,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.59203,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,684.217181862,699.201595901,948.574009531,703.029354354,736.198711929,695.167487311,704.857031915,825.428609695,0.0,849.043374196,695.532513909,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P02T03,Y23H5340507,Y23H5340507P02,3,13,790,13,806,Retail venue,Food Store,Buy Something,Bought something,Melton (S),Accommodation,Survey Home,At Home,Go home,Brimbank (C),16,16,5.04715,Vehicle Passenger,Buy Something,999,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.04715,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,684.217181862,699.201595901,948.574009531,703.029354354,736.198711929,695.167487311,704.857031915,825.428609695,0.0,849.043374196,695.532513909,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P03T01,Y23H5340507,Y23H5340507P03,1,11,696,11,710,Accommodation,Survey Home,At Home,Go home,Brimbank (C),Retail venue,Shopping Centre,Buy Something,Bought something,Brimbank (C),14,14,4.41992,Vehicle Passenger,Buy Something,60,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.41992,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,503.578025473,502.030357941,677.224206692,600.95521704,532.906575335,518.182006231,599.663972009,543.100202969,0.0,470.607445195,532.912887172,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P03T02,Y23H5340507,Y23H5340507P03,2,12,770,13,783,Retail venue,Shopping Centre,Buy Something,Bought something,Brimbank (C),Retail venue,Food Store,Buy Something,Bought something,Melton (S),13,13,4.59203,Vehicle Passenger,Buy Something,7,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.59203,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,503.578025473,502.030357941,677.224206692,600.95521704,532.906575335,518.182006231,599.663972009,543.100202969,0.0,470.607445195,532.912887172,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P03T03,Y23H5340507,Y23H5340507P03,3,13,790,13,806,Retail venue,Food Store,Buy Something,Bought something,Melton (S),Accommodation,Survey Home,At Home,Go home,Brimbank (C),16,16,5.04715,Vehicle Passenger,Buy Something,999,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.04715,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,503.578025473,502.030357941,677.224206692,600.95521704,532.906575335,518.182006231,599.663972009,543.100202969,0.0,470.607445195,532.912887172,MELB - Outer,Greater Melbourne,Weekend
Y23H5360239P01T01,Y23H5360239,Y23H5360239P01,1,6,414,7,420,Accommodation,Survey Home,At Home,Go home,Monash (C),Place of education,Childcare,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Monash (C),6,6,2.53638,Vehicle Driver,Pick-up or Drop-off Someone,5,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.53638,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,424.445440188,400.122467167,482.390844053,442.161432513,414.684213753,0.0,519.414914135,633.594650312,426.134081475,497.638371306,446.111028088,MELB - Middle,Greater Melbourne,Weekday
