persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y24H5750403P01,Y24H5750403,1,Wednesday,40->44,Male,Self,Green Probationary Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Technicians and Trades Workers,Construction Trades Workers,Construction,Construction Services,At Home,5,"$1,500-$1,749 ($78,000-$90,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,309.990096313,371.286878657,417.545578322,301.501586134,0.0,333.921527113,316.167749019,321.000609757,371.799701754,304.507717649,339.921925009,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P02,Y24H5750403,2,Wednesday,40->44,Female,Spouse,Learners Permit,No,No,No,No,No,No,No,No Study,Keeping House,Keeping House,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,6,"$1,500-$1,749 ($78,000-$90,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,447.520794748,529.12192069,719.987451741,463.565699403,0.0,448.254475067,496.680946493,489.762291843,506.778981587,427.635552873,457.382430015,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P03,Y24H5750403,3,Wednesday,20->24,Female,Other relative,Green Probationary Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Community and Personal Service Workers,Hospitality Workers,Accommodation and Food Services,Food and Beverage Services,At Home,2,"$800-$999 ($41,600-$51,999)",No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,No,377.900012669,400.112251651,523.405341595,371.794415499,0.0,473.561078468,392.612695374,540.030409319,354.396327025,432.66498111,409.084726581,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P04,Y24H5750403,4,Wednesday,10->14,Female,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,6,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,301.726008727,325.330152052,457.053737346,296.519554849,0.0,328.328709927,319.990390704,313.055366332,319.648728998,377.373932277,318.938698099,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P05,Y24H5750403,5,Wednesday,10->14,Male,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Primary,No other activity,Primary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,4,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,No,No,No,299.307393114,345.259131035,412.773966792,306.731195415,0.0,331.374844569,311.200994432,341.670608354,329.795933374,340.540458238,305.622221504,MELB - Outer,Greater Melbourne,Weekday
Y24H5780407P01,Y24H5780407,1,Sunday,25->29,Male,Self,Full Licence,No,No,No,Yes,No,Yes,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Design Engineering Science and Transport Professionals,Professional Scientific and Technical Services,Professional Scientific and Technical Services (Except Computer System Design and Related Services),At Home,7,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02,Y24H5780407,2,Sunday,25->29,Male,Unrelated,Full Licence,No,No,No,Yes,No,Yes,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Design Engineering Science and Transport Professionals,Professional Scientific and Technical Services,Professional Scientific and Technical Services (Except Computer System Design and Related Services),At another location,8,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5930312P01,Y24H5930312,1,Friday,60->64,Female,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$1,500-$1,749 ($78,000-$90,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,686.563280214,565.989426206,714.153938594,714.525697275,813.725408242,0.0,747.321926738,731.43552324,800.248525383,981.225106558,548.020927068,MELB - Inner,Greater Melbourne,Weekday
Y24H5930312P02,Y24H5930312,2,Friday,60->64,Female,Sibling,Full Licence,No,No,No,No,No,No,No,No Study,Keeping House,Keeping House,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$300-$399 ($15,600-$20,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,686.563280214,565.989426206,714.153938594,714.525697275,813.725408242,0.0,747.321926738,731.43552324,800.248525383,981.225106558,548.020927068,MELB - Inner,Greater Melbourne,Weekday
Y24H6080314P01,Y24H6080314,1,Sunday,35->39,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Hospitality Retail and Service Managers,Retail Trade,Retail Trade (NEC),At Home,6,"$3,000-$3,499 ($156,000-$181,999)",Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,No,No,474.716211411,465.30088028,533.52787601,486.911970989,503.76534928,449.817766992,609.125331888,579.214385395,480.007000537,622.740323713,0.0,MELB - Inner,Greater Melbourne,Weekend
